Code,Scheme Name,Scheme NAV Name
148456,ICICI Prudential Nifty Alpha Low- Volatility 30 ETF,ICICI Prudential Nifty Alpha Low- Volatility 30 ETF
148461,HDFC NIFTY BANK ETF,HDFC NIFTY Bank ETF - GROWTH
148466,ICICI Prudential Nifty IT ETF,ICICI Prudential Nifty IT ETF
148541,SBI Nifty Private Bank ETF,SBI Nifty Private Bank ETF
148542,SBI Nifty IT ETF,SBI Nifty IT ETF
148559,Axis NIFTY Bank ETF,Axis NIFTY Bank ETF
148572,Mirae Asset Nifty 100 ESG Sector Leaders ETF,Mirae Asset Nifty 100 ESG Sector Leaders ETF
148620,Motilal Oswal Nifty 5 year benchmark G-Sec ETF,Motilal Oswal Nifty 5 year Benchmark G-sec ETF
148763,Kotak Nifty IT ETF,Kotak Nifty IT ETF
148798,Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight
148799,Axis NIFTY IT ETF,Axis IT ETF
148800,Nippon India ETF Nifty 5 yr Benchmark G-Sec,Nippon India ETF Nifty 5 yr Benchmark G-Sec
148821,ICICI Prudential Nifty 100 Low Volatility 30 ETF FOF,ICICI Prudential Nifty 100 Low Volatility 30 ETF FOF - Growth
148822,ICICI Prudential Nifty 100 Low Volatility 30 ETF FOF,ICICI Prudential Nifty 100 Low Volatility 30 ETF FOF - Direct Plan - Growth
148927,Mirae Asset NYSE FANG+ ETF,Mirae Asset NYSE FANG + ETF
148934,Axis NIFTY Healthcare ETF,Axis NIFTY Healthcare ETF
148957,ICICI Prudential Nifty Healthcare ETF,ICICI Prudential Nifty Healthcare ETF
149008,Nippon India Nifty Pharma ETF,Nippon India Nifty Pharma ETF
149041,SBI Nifty Consumption ETF,SBI Nifty Consumption ETF
149072,ICICI Prudential Nifty FMCG ETF,ICICI Prudential Nifty FMCG ETF
149105,Mirae Asset Nifty Financial Services ETF,Mirae Asset Nifty Financial Services ETF
149156,Axis NIFTY India Consumption ETF,Axis NIFTY India Consumption ETF
149157,ICICI Prudential Nifty Alpha Low - Volatility 30 ETF FOF,ICICI Prudential Nifty Alpha Low - Volatility 30 ETF FOF - Growth
149158,ICICI Prudential Nifty Alpha Low - Volatility 30 ETF FOF,ICICI Prudential Nifty Alpha Low - Volatility 30 ETF FOF - Direct Plan - Growth
149169,Mirae Asset S&P 500 Top 50 ETF,Mirae Asset S&P 500 Top 50 ETF
149262,Aditya Birla Sun Life Nifty Healthcare ETF,Aditya Birla Sun Life Nifty Healthcare ETF
149267,Kotak Nifty AAA Bond Plus SDL Apr 2026 70 30 ETF,Kotak Nifty AAA Bond Plus SDL Apr 2026 70 30 ETF
149272,Kotak Nifty AAA Bond Plus SDL Apr 2031 70 30 ETF,Kotak Nifty AAA Bond Plus SDL Apr 2031 70 30 ETF
149285,ICICI Prudential Nifty India Consumption ETF,ICICI Prudential Nifty India Consumption ETF
149286,DSP Nifty 50 Equal Weight ETF,DSP Nifty 50 Equal Weight ETF
149293,Aditya Birla Sun Life Nifty IT ETF,Aditya Birla Sun Life Nifty IT ETF
149331,ICICI Prudential BSE 500 ETF FOF,ICICI Prudential BSE 500 ETF FOF - Direct Plan - Growth
149334,ICICI Prudential BSE 500 ETF FOF,ICICI Prudential BSE 500 ETF FOF - Growth
149379,Mirae Asset Hang Seng TECH ETF,Mirae Asset Hang Seng TECH ETF
149392,DSP Nifty 50 ETF,DSP Nifty 50 ETF
149397,Kotak Nifty Alpha 50 ETF,Kotak Nifty Alpha 50 ETF
149398,BHARAT Bond ETF - April 2032,BHARAT Bond ETF - April 2032
149403,DSP Nifty Midcap 150 Quality 50 ETF,DSP Nifty Midcap 150 Quality 50 ETF
149438,Motilal Oswal Nasdaq Q50 ETF,Motilal Oswal Nasdaq Q50 ETF
149463,ICICI Prudential Nifty Auto ETF,ICICI Prudential Nifty Auto ETF
149464,ICICI PRUDENTIAL SILVER ETF,ICICI PRUDENTIAL SILVER ETF
149465,Nippon India Nifty Auto ETF,Nippon India Nifty Auto ETF
149757,Kotak Nifty Midcap 50 ETF,Kotak Nifty Midcap 50 ETF
149758,Nippon India Silver ETF,Nippon India Silver ETF
149759,Nippon India Silver ETF FOF,Nippon India Silver ETF FOF-Regular Plan- Growth Option
149760,Nippon India Silver ETF FOF,Nippon India Silver ETF FOF- Direct Plan-Growth Option
149775,ICICI Prudential Silver ETF FOF,ICICI Prudential Silver ETF FOF - Direct Plan - Growth
149777,ICICI Prudential Silver ETF FOF,ICICI Prudential Silver ETF FOF - Growth
149779,Aditya Birla Sun Life Silver ETF,Aditya Birla Sun Life Silver ETF
149780,Aditya Birla Sun Life Silver ETF FOF,Aditya Birla Sun Life Silver ETF FOF-Direct Growth
149783,Aditya Birla Sun Life Silver ETF FOF,Aditya Birla Sun Life Silver ETF FOF-Regular Growth
149786,Mirae Asset Nifty India Manufacturing ETF,Mirae Asset Nifty India Manufacturing ETF
149801,Motilal Oswal Nifty 200 Momentum 30 ETF,Motilal Oswal Nifty 200 Momentum 30 ETF
149918,Mirae Asset Nifty Midcap 150 ETF,Mirae Asset Nifty Midcap 150 ETF
149921,Motilal Oswal BSE Low Volatility ETF,Motilal Oswal BSE Low Volatility ETF
149928,ICICI Prudential Nifty 5 yr Benchmark G-SEC ETF,ICICI Prudential Nifty 5 yr Benchmark G-SEC ETF
150000,Kotak Nifty 100 Low Volatility 30 ETF,Kotak Nifty 100 Low Volatility 30 ETF
150445,Motilal Oswal BSE Healthcare ETF,Motilal Oswal BSE Healthcare ETF
150455,ICICI Prudential Nifty 200 Momentum 30 ETF,ICICI Prudential Nifty 200 Momentum 30 ETF
150476,HDFC NIFTY 100 ETF,HDFC NIFTY 100 ETF - Growth Option
150477,HDFC NIFTY NEXT 50 ETF,HDFC NIFTY NEXT 50 ETF - Growth Option
150492,Kotak Nifty India Consumption ETF,Kotak Nifty India Consumption ETF
150497,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,Aditya Birla Sun Life Nifty 200 Quality 30 ETF
150498,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF
150517,Motilal Oswal BSE Enhanced Value ETF,Motilal Oswal BSE Enhanced Value ETF
