Code,Scheme Name,Scheme NAV Name
153930,Bandhan Gold ETF,Bandhan Gold ETF
153931,Motilal Oswal Nifty Energy ETF,Motilal Oswal Nifty Energy ETF
153933,Choice Gold ETF,Choice Gold ETF
153934,Kotak Nifty Chemicals ETF,Kotak Nifty Chemicals ETF
153940,Groww Nifty Midcap 150 ETF,Groww Nifty Midcap 150 ETF
153945,Mirae Asset Nifty Energy ETF,Mirae Asset Nifty Energy ETF
153946,Mirae Asset Nifty Smallcap 250 ETF,Mirae Asset Nifty Smallcap 250 ETF
153947,Edelweiss BSE Sensex ETF,Edelweiss BSE Sensex ETF - Growth
153957,ANGEL ONE NIFTY TOTAL MARKET MOMENTUM QUALITY 50 ETF,ANGEL ONE NIFTY TOTAL MARKET MOMENTUM QUALITY 50 ETF
153966,Edelweiss Nifty 50 ETF,Edelweiss Nifty 50 ETF - Growth
153975,DSP MSCI INDIA ETF,DSP MSCI INDIA ETF
154003,Motilal Oswal BSE Select IPO ETF,Motilal Oswal BSE Select IPO ETF
154024,DSP Nifty Smallcap 250 ETF,DSP Nifty Smallcap 250 ETF
154025,DSP Nifty Midcap 150 ETF,DSP Nifty Midcap 150 ETF
154033,Motilal Oswal Nifty Services Sector ETF,Motilal Oswal Nifty Services Sector ETF
154034,Groww Nifty Metal ETF,Groww Nifty Metal ETF
154060,Mirae Asset Nifty Top 20 Equal Weight ETF,Mirae Asset Nifty Top 20 Equal Weight ETF
154061,Mirae Asset BSE 500 Dividend Leaders 50 ETF,Mirae Asset BSE 500 Dividend Leaders 50 ETF
154062,Motilal Oswal Nifty MNC ETF,Motilal Oswal Nifty MNC ETF
154087,DSP Nifty Next 50 ETF,DSP Nifty Next 50 ETF
154092,The Wealth Company Gold ETF,The Wealth Company Gold ETF
154101,Kotak Nifty Next 50 ETF,Kotak Nifty Next 50 ETF
154111,Groww Nifty Chemicals ETF,Groww Nifty Chemicals ETF
154129,Bandhan Gold ETF FOF,Bandhan Gold ETF FOF-Direct-Growth
154130,Bandhan Gold ETF FOF,Bandhan Gold ETF FOF-Regular-Growth
154131,The Wealth Company Gold ETF FOF,THE WEALTH COMPANY GOLD ETF FOF DIRECT GROWTH
154135,Bandhan Silver ETF FOF,Bandhan Silver ETF FOF-Regular-Growth
154136,Bandhan Silver ETF FOF,Bandhan Silver ETF FOF-Direct-Growth
154163,Groww Nifty PSE ETF,Groww Nifty PSE ETF
154164,Groww Nifty PSE ETF FOF,Groww Nifty PSE ETF FOF Direct Growth
154169,Mirae Asset Nifty 500 Healthcare ETF,Mirae Asset Nifty 500 Healthcare ETF
154181,Mirae Asset Nifty India Infrastructure & Logistics ETF,Mirae Asset Nifty India Infrastructure & Logistics ETF
154182,Mirae Asset BSE India Defence ETF,Mirae Asset BSE India Defence ETF
154187,Mirae Asset BSE India Defence ETF FOF,Mirae Asset BSE India Defence ETF FOF - Direct Plan - Growth
154199,Groww BSE Hospitals ETF,Groww BSE Hospitals ETF
154200,Groww BSE Hospitals ETF FOF,Groww BSE Hospitals ETF FOF Direct Growth
154205,ANGEL ONE SILVER ETF,ANGEL ONE SILVER ETF
154206,ANGEL ONE SILVER ETF FOF,ANGEL ONE SILVER ETF FOF -DIRECT GROWTH
154207,ANGEL ONE SILVER ETF FOF,ANGEL ONE SILVER ETF FOF -REGULAR GROWTH
154216,Mirae Asset Nifty Metal ETF FOF,Mirae Asset Nifty Metal ETF FOF - Direct Plan - Growth
154220,Aditya Birla Sun Life MSCI India ETF,Aditya Birla Sun Life MSCI India ETF
154224,Aditya Birla Sun Life BSE Top 10 Banks ETF,Aditya Birla Sun Life BSE Top 10 Banks ETF
154237,SBI Nifty Midcap 150 Momentum 50 ETF,SBI Nifty Midcap 150 Momentum 50 ETF
154256,DSP BSE Top 10 Banks ETF,DSP BSE Top 10 Banks ETF
154277,Groww Nifty PSU Bank ETF,Groww Nifty PSU Bank ETF
154279,Mirae Asset Silver ETF FOF,Mirae Asset Silver ETF FOF - Direct Plan - Growth
154294,HSBC Gold ETF,HSBC Gold ETF
154299,Mirae Asset Nifty 500 Value 50 ETF,Mirae Asset Nifty 500 Value 50 ETF
154305,SBI Nifty Midcap 150 ETF,SBI Nifty Midcap 150 ETF
154322,Motilal Oswal BSE Top 10 Banks ETF,Motilal Oswal BSE Top 10 Banks ETF
154345,Groww Nifty Private Bank ETF,Groww Nifty Private Bank ETF
154347,Edelweiss Nifty Next 50 ETF,Edelweiss Nifty Next 50 ETF
154353,SBI Nifty Smallcap 250 ETF,SBI Nifty Smallcap 250 ETF
154354,SBI Nifty200 Value 30 ETF,SBI Nifty200 Value 30 ETF
154357,DSP Nifty FMCG ETF,DSP Nifty FMCG ETF
154366,360 ONE MSCI India ETF,360 ONE MSCI India ETF
154384,Groww Nifty Smallcap 250 Momentum Quality 100 ETF,Groww Nifty Smallcap 250 Momentum Quality 100 ETF
154404,ICICI Prudential Nifty Smallcap 250 ETF,ICICI Prudential Nifty Smallcap 250 ETF
