Metric,Weekly,Monthly
Total Return,3.735663776682885,2.001514339019872
CAGR,0.617231466271595,0.3330445109893887
Volatility,15.125830654466704,15.17071119487369
Sharpe,0.11570738323202148,0.09789730348261541
Max DD,-28.882261834100337,-39.76699442376237
Win %,46.366559485530544,45.98070739549839
