Date,Close
2024-12-09,23292.0
2024-12-10,23314.900390625
2024-12-11,23358.150390625
2024-12-12,23256.400390625
2024-12-13,23358.94921875
2024-12-16,23352.44921875
2024-12-17,23095.75
2024-12-18,22934.400390625
2024-12-19,22752.150390625
2024-12-20,22319.400390625
2024-12-23,22412.30078125
2024-12-24,22402.69921875
2024-12-26,22430.349609375
2024-12-27,22445.19921875
2024-12-30,22357.150390625
2024-12-31,22375.400390625
2025-01-02,22819.75
2025-01-03,22708.150390625
2025-01-06,22225.400390625
2025-01-07,22341.650390625
2025-01-08,22231.80078125
2025-01-09,22046.55078125
2025-01-10,21799.0
2025-01-13,21243.44921875
2025-01-14,21481.05078125
2025-01-15,21551.19921875
2025-01-16,21714.55078125
2025-01-17,21680.25
2025-01-20,21809.0
2025-01-21,21433.19921875
2025-01-22,21396.55078125
2025-01-23,21538.05078125
2025-01-24,21318.900390625
2025-01-27,20910.94921875
2025-01-28,20924.75
2025-01-29,21245.5
2025-01-30,21297.5
2025-01-31,21580.900390625
2025-02-03,21402.55078125
2025-02-04,21727.44921875
2025-02-05,21784.25
2025-02-06,21672.44921875
2025-02-07,21646.150390625
2025-02-10,21371.30078125
2025-02-11,20950.44921875
2025-02-12,20907.849609375
2025-02-13,20904.349609375
2025-02-14,20633.099609375
2025-02-17,20652.349609375
2025-02-18,20611.400390625
2025-02-19,20731.44921875
2025-02-20,20831.099609375
2025-02-21,20690.25
2025-02-24,20468.44921875
2025-02-25,20418.75
2025-02-27,20315.55078125
2025-02-28,19880.900390625
2025-03-03,19896.94921875
2025-03-04,19917.849609375
2025-03-05,20256.5
2025-03-06,20447.099609375
2025-03-07,20443.400390625
2025-03-10,20266.5
2025-03-11,20302.5
2025-03-12,20264.349609375
2025-03-13,20176.05078125
2025-03-17,20288.30078125
2025-03-18,20657.19921875
2025-03-19,20864.5
2025-03-20,21070.05078125
2025-03-21,21273.900390625
2025-03-24,21538.099609375
2025-03-25,21437.75
2025-03-26,21275.44921875
2025-03-27,21407.94921875
2025-03-28,21339.55078125
2025-04-01,21070.75
2025-04-02,21265.650390625
2025-04-03,21243.400390625
2025-04-04,20805.349609375
2025-04-07,20105.69921875
2025-04-08,20480.80078125
2025-04-09,20356.75
2025-04-11,20752.849609375
2025-04-15,21279.400390625
2025-04-16,21404.349609375
2025-04-17,21681.55078125
2025-04-21,22005.75
2025-04-22,22085.150390625
2025-04-23,22237.599609375
2025-04-24,22180.650390625
2025-04-25,21848.150390625
2025-04-28,22101.849609375
2025-04-29,22112.400390625
2025-04-30,22030.05078125
2025-05-02,22006.0
2025-05-05,22195.150390625
2025-05-06,21956.599609375
2025-05-07,22072.44921875
2025-05-08,21843.05078125
2025-05-09,21675.55078125
2025-05-12,22511.400390625
2025-05-13,22349.400390625
2025-05-14,22499.5
2025-05-15,22788.80078125
2025-05-16,22870.900390625
2025-05-19,22865.80078125
2025-05-20,22585.599609375
2025-05-21,22730.650390625
2025-05-22,22595.0
2025-05-23,22781.05078125
2025-05-26,22908.30078125
2025-05-27,22816.5
2025-05-28,22779.400390625
2025-05-29,22861.349609375
2025-05-30,22801.94921875
2025-06-02,22834.5
2025-06-03,22711.30078125
2025-06-04,22807.849609375
2025-06-05,22934.5
2025-06-06,23165.099609375
2025-06-09,23330.55078125
2025-06-10,23339.94921875
2025-06-11,23337.849609375
2025-06-12,23046.44921875
2025-06-13,22906.19921875
2025-06-16,23095.05078125
2025-06-17,22981.5
2025-06-18,22925.19921875
2025-06-19,22763.5
2025-06-20,23041.099609375
2025-06-23,23001.5
2025-06-24,23113.19921875
2025-06-25,23296.849609375
2025-06-26,23517.55078125
2025-06-27,23620.150390625
2025-06-30,23617.19921875
2025-07-01,23615.44921875
2025-07-02,23547.25
2025-07-03,23521.849609375
2025-07-04,23562.44921875
2025-07-07,23551.19921875
2025-07-08,23572.55078125
2025-07-09,23557.44921875
2025-07-10,23471.400390625
2025-07-11,23282.69921875
2025-07-14,23309.05078125
2025-07-15,23449.150390625
2025-07-16,23472.5
2025-07-17,23419.69921875
2025-07-18,23275.150390625
2025-07-21,23378.44921875
2025-07-22,23320.900390625
2025-07-23,23428.400390625
2025-07-24,23301.099609375
2025-07-25,23014.80078125
2025-07-28,22846.94921875
2025-07-29,23007.349609375
2025-07-30,23033.55078125
2025-07-31,22914.94921875
2025-08-01,22673.650390625
2025-08-04,22860.400390625
2025-08-05,22798.5
2025-08-06,22666.849609375
2025-08-07,22694.099609375
2025-08-08,22443.150390625
2025-08-11,22633.44921875
2025-08-12,22568.599609375
2025-08-13,22698.099609375
2025-08-14,22680.25
2025-08-18,22931.5
2025-08-19,23066.599609375
2025-08-20,23143.150390625
2025-08-21,23137.150390625
2025-08-22,22991.30078125
2025-08-25,23052.0
2025-08-26,22768.650390625
2025-08-28,22541.650390625
2025-08-29,22462.94921875
2025-09-01,22713.55078125
2025-09-02,22724.400390625
2025-09-03,22864.650390625
2025-09-04,22819.650390625
2025-09-05,22829.150390625
2025-09-08,22878.650390625
2025-09-09,22949.099609375
2025-09-10,23074.150390625
2025-09-11,23102.650390625
2025-09-12,23190.25
2025-09-15,23215.849609375
2025-09-16,23369.30078125
2025-09-17,23445.19921875
2025-09-18,23518.900390625
2025-09-19,23486.650390625
2025-09-22,23381.44921875
2025-09-23,23325.25
2025-09-24,23178.25
2025-09-25,23022.400390625
2025-09-26,22713.150390625
2025-09-29,22739.099609375
2025-09-30,22734.099609375
2025-10-01,22928.30078125
2025-10-03,23027.69921875
2025-10-06,23169.650390625
2025-10-07,23209.5
2025-10-08,23109.349609375
2025-10-09,23241.75
2025-10-10,23337.55078125
2025-10-13,23294.80078125
2025-10-14,23184.05078125
2025-10-15,23377.349609375
2025-10-16,23563.80078125
2025-10-17,23598.05078125
2025-10-20,23716.099609375
2025-10-21,23759.19921875
2025-10-23,23755.900390625
2025-10-24,23686.599609375
2025-10-27,23840.900390625
2025-10-28,23812.55078125
2025-10-29,23952.400390625
2025-10-30,23841.30078125
2025-10-31,23710.400390625
2025-11-03,23810.69921875
2025-11-04,23675.44921875
2025-11-06,23513.150390625
2025-11-07,23521.5
2025-11-10,23596.900390625
2025-11-11,23682.650390625
2025-11-12,23836.900390625
2025-11-13,23816.0
2025-11-14,23836.349609375
2025-11-17,23954.55078125
2025-11-18,23824.650390625
2025-11-19,23906.30078125
2025-11-20,23975.44921875
2025-11-21,23790.25
2025-11-24,23674.55078125
2025-11-25,23655.05078125
2025-11-26,23955.19921875
2025-11-27,23947.75
2025-11-28,23933.19921875
2025-12-01,23922.44921875
2025-12-02,23822.25
2025-12-03,23716.30078125
2025-12-04,23741.099609375
2025-12-05,23835.25
2025-12-08,23526.19921875
2025-12-09,23516.25
2025-12-10,23408.80078125
2025-12-11,23550.849609375
2025-12-12,23726.19921875
2025-12-15,23725.19921875
2025-12-16,23570.150390625
2025-12-17,23496.05078125
2025-12-18,23491.5
2025-12-19,23677.55078125
2025-12-22,23867.650390625
2025-12-23,23895.150390625
2025-12-24,23850.25
2025-12-26,23780.25
2025-12-29,23682.099609375
2025-12-30,23668.80078125
2025-12-31,23871.55078125
2026-01-02,24099.0
2026-01-05,24058.44921875
2026-01-06,24010.5
2026-01-07,24016.599609375
2026-01-08,23680.099609375
2026-01-09,23467.349609375
2026-01-12,23510.44921875
2026-01-13,23480.650390625
