date,ema50,trend,sma200,breadth,mom
2017-08-18,0.43312101910828027,0.7622080679405521,0.6877729257641921,0.5201072386058981,0.3582474226804124
2017-08-25,0.4288747346072187,0.7537154989384289,0.6768558951965066,0.5134048257372654,0.3524804177545692
2017-09-01,0.597457627118644,0.7372881355932204,0.7161572052401747,0.532171581769437,0.36272040302267
2017-09-08,0.6228813559322034,0.7245762711864406,0.7008733624454149,0.5348525469168901,0.3383458646616541
2017-09-15,0.6885593220338984,0.7288135593220338,0.7254901960784313,0.5442359249329759,0.31527093596059114
2017-09-22,0.492600422832981,0.7251585623678647,0.691304347826087,0.5402144772117963,0.3200992555831266
2017-09-29,0.4472573839662447,0.7194092827004219,0.6434782608695652,0.5187667560321716,0.330749354005168
2017-10-06,0.5957894736842105,0.7157894736842105,0.6760869565217391,0.532171581769437,0.3526448362720403
2017-10-13,0.6589473684210526,0.7136842105263158,0.6934782608695652,0.5388739946380697,0.3308457711442786
2017-10-20,0.6701680672268907,0.7142857142857143,0.7021739130434783,0.5455764075067024,0.3366093366093366
2017-10-27,0.7175732217573222,0.7259414225941423,0.7608695652173914,0.5670241286863271,0.31678486997635935
2017-11-03,0.7807933194154488,0.7494780793319415,0.7956521739130434,0.5857908847184986,0.2974828375286041
2017-11-10,0.66875,0.7729166666666667,0.7613882863340564,0.5804289544235925,0.28868360277136257
2017-11-17,0.6369294605809128,0.7738589211618258,0.7424242424242424,0.5804289544235925,0.2863741339491917
2017-11-24,0.7199170124481328,0.7780082987551867,0.7705627705627706,0.5924932975871313,0.3054298642533937
2017-12-01,0.6327800829875518,0.7863070539419087,0.7424242424242424,0.5817694369973191,0.2995391705069124
2017-12-08,0.6514522821576764,0.7863070539419087,0.7467532467532467,0.5884718498659517,0.30068337129840544
2017-12-15,0.6307053941908713,0.7800829875518672,0.7337662337662337,0.5817694369973191,0.27880184331797236
2017-12-22,0.8381742738589212,0.7821576763485477,0.803030303030303,0.5978552278820375,0.28699551569506726
2017-12-29,0.8195020746887967,0.8008298755186722,0.8228941684665226,0.6005361930294906,0.2857142857142857
2018-01-05,0.8775933609958506,0.8298755186721992,0.857451403887689,0.6058981233243967,0.28761061946902655
2018-01-12,0.8609958506224067,0.8464730290456431,0.8596112311015118,0.6058981233243967,0.2920353982300885
2018-01-19,0.6556016597510373,0.8485477178423236,0.8142548596112311,0.5898123324396782,0.30227272727272725
2018-01-26,0.5817805383022774,0.8509316770186336,0.796976241900648,0.5898123324396782,0.29318181818181815
2018-02-02,0.21855670103092784,0.8350515463917526,0.6198704103671706,0.5134048257372654,0.31592689295039167
2018-02-09,0.2845360824742268,0.8123711340206186,0.6241900647948164,0.5160857908847185,0.3220779220779221
2018-02-16,0.27835051546391754,0.7917525773195876,0.6004319654427646,0.5026809651474531,0.34933333333333333
2018-02-23,0.27422680412371137,0.7546391752577319,0.5969827586206896,0.4906166219839142,0.3469945355191257
2018-03-02,0.3230452674897119,0.7325102880658436,0.584051724137931,0.49463806970509383,0.36585365853658536
2018-03-09,0.1762295081967213,0.6926229508196722,0.45689655172413796,0.43699731903485256,0.3773006134969325
2018-03-16,0.23155737704918034,0.6577868852459017,0.4849137931034483,0.44638069705093836,0.3813813813813814
2018-03-23,0.12883435582822086,0.5930470347648262,0.38924731182795697,0.3820375335120643,0.4245614035087719
2018-03-30,0.23373983739837398,0.5691056910569106,0.4344086021505376,0.40884718498659517,0.43278688524590164
2018-04-06,0.4908722109533469,0.5537525354969574,0.5106837606837606,0.4691689008042895,0.39714285714285713
2018-04-13,0.5040485829959515,0.5526315789473685,0.509594882729211,0.4718498659517426,0.4034090909090909
2018-04-20,0.5748987854251012,0.5546558704453441,0.5543710021321961,0.4718498659517426,0.39488636363636365
2018-04-27,0.5688259109311741,0.5748987854251012,0.5394456289978679,0.47050938337801607,0.396011396011396
2018-05-04,0.43724696356275305,0.5668016194331984,0.488272921108742,0.4450402144772118,0.4307228915662651
2018-05-11,0.40606060606060607,0.5555555555555556,0.4690831556503198,0.43297587131367293,0.43034055727554177
2018-05-18,0.2787878787878788,0.5474747474747474,0.4118895966029724,0.39544235924932974,0.46440677966101696
2018-05-25,0.27419354838709675,0.5100806451612904,0.3821656050955414,0.38605898123324395,0.4583333333333333
2018-06-01,0.2963709677419355,0.5060483870967742,0.38004246284501064,0.3900804289544236,0.4570446735395189
2018-06-08,0.34274193548387094,0.4798387096774194,0.3707627118644068,0.3900804289544236,0.44329896907216493
2018-06-15,0.34475806451612906,0.4737903225806452,0.3686440677966102,0.39812332439678283,0.4276094276094276
2018-06-22,0.25553319919517103,0.4567404426559356,0.3023255813953488,0.3726541554959786,0.43884892086330934
2018-06-29,0.21730382293762576,0.4104627766599598,0.2558139534883721,0.33378016085790885,0.4738955823293173
2018-07-06,0.23046092184368738,0.3847695390781563,0.2510548523206751,0.3284182305630027,0.49795918367346936
2018-07-13,0.280561122244489,0.36072144288577157,0.2694736842105263,0.32707774798927614,0.5
2018-07-20,0.22044088176352705,0.3486973947895792,0.23319327731092437,0.28820375335120646,0.5348837209302325
2018-07-27,0.4729458917835671,0.3486973947895792,0.3039832285115304,0.3445040214477212,0.47470817120622566
2018-08-03,0.6312625250501002,0.35070140280561124,0.34518828451882844,0.3726541554959786,0.4460431654676259
2018-08-10,0.542,0.358,0.3333333333333333,0.36595174262734587,0.4249084249084249
2018-08-17,0.502,0.36,0.33471933471933474,0.3605898123324397,0.4646840148698885
2018-08-24,0.5149700598802395,0.3592814371257485,0.35892116182572614,0.36595174262734587,0.4468864468864469
2018-08-31,0.6287425149700598,0.3772455089820359,0.4170124481327801,0.38337801608579086,0.43006993006993005
2018-09-07,0.5169660678642715,0.38323353293413176,0.37344398340248963,0.3753351206434316,0.4642857142857143
2018-09-14,0.4810379241516966,0.3872255489021956,0.35892116182572614,0.36595174262734587,0.4725274725274725
2018-09-21,0.26746506986027946,0.37924151696606784,0.29045643153526973,0.3163538873994638,0.538135593220339
2018-09-28,0.10756972111553785,0.34462151394422313,0.1970954356846473,0.2292225201072386,0.6549707602339181
2018-10-05,0.03386454183266932,0.33067729083665337,0.12655601659751037,0.18096514745308312,0.7555555555555555
2018-10-12,0.09722222222222222,0.2916666666666667,0.15975103734439833,0.225201072386059,0.6785714285714286
2018-10-19,0.11706349206349206,0.2718253968253968,0.15975103734439833,0.20241286863270777,0.6622516556291391
2018-10-26,0.08531746031746032,0.23412698412698413,0.12836438923395446,0.17292225201072386,0.7751937984496124
2018-11-02,0.3531746031746032,0.22420634920634921,0.22107438016528927,0.2520107238605898,0.6276595744680851
2018-11-09,0.44752475247524753,0.23366336633663368,0.25773195876288657,0.2587131367292225,0.6217616580310881
2018-11-16,0.4178217821782178,0.24356435643564356,0.24123711340206186,0.2587131367292225,0.616580310880829
2018-11-23,0.36633663366336633,0.24158415841584158,0.2309278350515464,0.25603217158176944,0.6230366492146597
2018-11-30,0.43366336633663366,0.2396039603960396,0.2613168724279835,0.2707774798927614,0.6237623762376238
2018-12-07,0.3142292490118577,0.24308300395256918,0.24435318275154005,0.2546916890080429,0.6842105263157895
2018-12-14,0.5039525691699605,0.2490118577075099,0.2930327868852459,0.27479892761394104,0.6341463414634146
2018-12-21,0.5404339250493096,0.26232741617357,0.3135245901639344,0.2761394101876676,0.5825242718446602
2018-12-28,0.5325443786982249,0.26627218934911245,0.3231083844580777,0.2828418230563003,0.5687203791469194
2019-01-04,0.48520710059171596,0.2603550295857988,0.3048780487804878,0.27882037533512066,0.5625
2019-01-11,0.48717948717948717,0.27218934911242604,0.305668016194332,0.2828418230563003,0.5924170616113744
2019-01-18,0.40828402366863903,0.27416173570019725,0.29959514170040485,0.2801608579088472,0.6076555023923444
2019-01-25,0.28007889546351084,0.2682445759368836,0.2611336032388664,0.2640750670241287,0.6192893401015228
2019-02-01,0.2938856015779093,0.26627218934911245,0.26720647773279355,0.2734584450402145,0.6225490196078431
2019-02-08,0.265748031496063,0.2559055118110236,0.25101214574898784,0.2640750670241287,0.6598984771573604
2019-02-15,0.16535433070866143,0.25196850393700787,0.18181818181818182,0.2292225201072386,0.7309941520467836
2019-02-22,0.29133858267716534,0.2421259842519685,0.2202020202020202,0.257372654155496,0.625
2019-03-01,0.5304518664047151,0.2357563850687623,0.29435483870967744,0.2949061662198391,0.6045454545454545
2019-03-08,0.7098039215686275,0.2549019607843137,0.36693548387096775,0.3445040214477212,0.4591439688715953
2019-03-15,0.7784313725490196,0.2803921568627451,0.45161290322580644,0.36863270777479895,0.48727272727272725
2019-03-22,0.6843137254901961,0.307843137254902,0.43661971830985913,0.36863270777479895,0.48363636363636364
2019-03-29,0.7455968688845401,0.3268101761252446,0.5030181086519114,0.3820375335120643,0.49122807017543857
2019-04-05,0.7397260273972602,0.3542074363992172,0.5140562248995983,0.3900804289544236,0.44673539518900346
2019-04-12,0.72265625,0.384765625,0.5090180360721442,0.38873994638069703,0.46551724137931033
2019-04-19,0.6731517509727627,0.40077821011673154,0.5190380761523046,0.3967828418230563,0.4358108108108108
2019-04-26,0.5281553398058253,0.39611650485436894,0.4709418837675351,0.3739946380697051,0.48028673835125446
2019-05-03,0.39029126213592236,0.4,0.4228456913827655,0.36193029490616624,0.4777777777777778
2019-05-10,0.2655038759689923,0.3875968992248062,0.352,0.3445040214477212,0.5214007782101168
2019-05-17,0.24806201550387597,0.3643410852713178,0.326,0.3297587131367292,0.5365853658536586
2019-05-24,0.560077519379845,0.38953488372093026,0.472,0.40884718498659517,0.4721311475409836
2019-05-31,0.6027131782945736,0.40891472868217055,0.5229540918163673,0.4195710455764075,0.45686900958466453
2019-06-07,0.5213178294573644,0.4186046511627907,0.48502994011976047,0.4101876675603217,0.4869281045751634
2019-06-14,0.4263565891472868,0.41472868217054265,0.45109780439121755,0.39544235924932974,0.4847457627118644
2019-06-21,0.3546511627906977,0.3992248062015504,0.42714570858283435,0.37667560321715815,0.5338078291814946
2019-06-28,0.4263565891472868,0.39341085271317827,0.45109780439121755,0.39544235924932974,0.5220338983050847
2019-07-05,0.402321083172147,0.40038684719535783,0.4402390438247012,0.3900804289544236,0.5154639175257731
2019-07-12,0.26305609284332687,0.38878143133462284,0.37773359840954274,0.36595174262734587,0.5567765567765568
2019-07-19,0.1760154738878143,0.36750483558994196,0.3492063492063492,0.3257372654155496,0.6337448559670782
2019-07-26,0.18375241779497098,0.3520309477756286,0.32341269841269843,0.3203753351206434,0.6401673640167364
2019-08-02,0.13539651837524178,0.3307543520309478,0.23412698412698413,0.28418230563002683,0.6698113207547169
2019-08-09,0.23166023166023167,0.30694980694980695,0.2633663366336634,0.29624664879356566,0.6425339366515838
2019-08-16,0.1969111969111969,0.29922779922779924,0.2396039603960396,0.2855227882037534,0.6572769953051644
2019-08-23,0.16698656429942418,0.2667946257197697,0.21188118811881188,0.2640750670241287,0.6954314720812182
2019-08-30,0.2763915547024952,0.2629558541266795,0.24752475247524752,0.2935656836461126,0.639269406392694
2019-09-06,0.32629558541266795,0.2495201535508637,0.26732673267326734,0.30160857908847183,0.6177777777777778
2019-09-13,0.5057471264367817,0.24904214559386972,0.3438735177865613,0.34316353887399464,0.55859375
2019-09-20,0.6030534351145038,0.2633587786259542,0.3774703557312253,0.3646112600536193,0.5294117647058824
2019-09-27,0.6202290076335878,0.2900763358778626,0.40236686390532544,0.38337801608579086,0.48951048951048953
2019-10-04,0.4026717557251908,0.30725190839694655,0.3234714003944773,0.3605898123324397,0.516728624535316
2019-10-11,0.3931297709923664,0.32251908396946566,0.3254437869822485,0.3552278820375335,0.5622641509433962
2019-10-18,0.5760456273764258,0.33079847908745247,0.4161735700197239,0.39544235924932974,0.5050847457627119
2019-10-25,0.5475285171102662,0.3365019011406844,0.39447731755424065,0.38873994638069703,0.5
2019-11-01,0.7376425855513308,0.3517110266159696,0.49506903353057197,0.42091152815013405,0.4394904458598726
2019-11-08,0.6102661596958175,0.3745247148288973,0.4418145956607495,0.42091152815013405,0.45222929936305734
2019-11-15,0.5513307984790875,0.3821292775665399,0.4389763779527559,0.41152815013404825,0.46905537459283386
2019-11-22,0.5684410646387833,0.3916349809885932,0.4468503937007874,0.4075067024128686,0.4769736842105263
2019-11-29,0.6216730038022814,0.4011406844106464,0.4822834645669291,0.43297587131367293,0.44891640866873067
2019-12-06,0.44022770398481975,0.40037950664136623,0.4027504911591356,0.40884718498659517,0.46229508196721314
2019-12-13,0.49242424242424243,0.3939393939393939,0.4176470588235294,0.41420911528150134,0.4563106796116505
2019-12-20,0.5303030303030303,0.3958333333333333,0.4392156862745098,0.4128686327077748,0.44805194805194803
2019-12-27,0.5776515151515151,0.4034090909090909,0.4745098039215686,0.42091152815013405,0.4299363057324841
2020-01-03,0.7424242424242424,0.4166666666666667,0.5420743639921722,0.4517426273458445,0.3857566765578635
