Rank,Ticker,Beta (6m),252d Sharpe,% off 252d High,Last Close (INR),Median 252d Turnover (INR),Weight %
1,SHRIRAMFIN,2.083,1.59,3.5,1101.0,5176817230.0,5.0
2,APOLLO,1.891,1.31,14.2,386.35,1587150140.0,5.0
3,ABCAPITAL,1.872,1.07,3.5,410.0,1373854146.0,5.0
4,LTF,1.768,1.13,4.1,321.9,1405696662.0,5.0
5,MTARTECH,1.721,2.73,15.4,7081.5,1128438128.0,5.0
6,MOTHERSON,1.654,1.48,2.6,166.0,2019610118.0,5.0
7,UJJIVANSFB,1.618,1.24,5.4,68.57,620307518.0,5.0
8,SKYGOLD,1.592,2.36,0.6,843.05,273255615.0,5.0
9,MAHABANK,1.583,1.2,9.8,84.69,1027369302.0,5.0
10,DIACABS,1.581,1.81,8.1,338.6,278145773.0,5.0
11,DCBBANK,1.572,1.49,0.0,217.51,233137827.0,5.0
12,RATEGAIN,1.565,1.49,7.3,918.25,229044418.0,5.0
13,JAYNECOIND,1.53,1.07,12.3,101.09,450971864.0,5.0
14,PARAS,1.523,1.62,4.7,1454.8,577385545.0,5.0
15,KRN,1.522,1.18,0.3,1535.4,184664748.0,5.0
16,HFCL,1.511,2.55,0.0,245.84,1752121512.0,5.0
17,PNBHOUSING,1.497,1.1,0.6,1178.0,883236598.0,5.0
18,TMB,1.494,1.98,0.4,893.85,121469604.0,5.0
19,STLTECH,1.466,2.81,0.0,695.85,733209273.0,5.0
20,SANSERA,1.44,2.64,4.0,3842.8,368939037.0,5.0
