Date,Equity,Nifty,Net_Return,Holdings,Cash_Wt
2020-04-10,2002242.3679656426,2046427.8755383552,0.00112118398282135,0,1.0
2020-04-17,2004487.250038332,2013921.6437214867,0.00112118398282135,0,1.0
2020-04-24,2006734.6490368447,2153527.779457513,0.00112118398282135,0,1.0
2020-05-01,2008984.5677831175,2029657.4012483791,0.00112118398282135,0,1.0
2020-05-08,2011237.0091022511,2016770.474289976,0.00112118398282135,0,1.0
2020-05-15,2013491.9758225142,1993106.367539457,0.00112118398282135,0,1.0
2020-05-22,2015749.4707753456,2102329.456504942,0.00112118398282135,0,1.0
2020-05-29,2018009.4967953595,2230513.3942069304,0.00112118398282135,0,1.0
2020-06-05,2014898.3336882635,2202844.7992044776,-0.0015416989424661665,14,0.06985338874415203
2020-06-12,2128854.2427889938,2258477.622570263,0.05655665459414737,14,0.08350701091922785
2020-06-19,2129053.689300688,2300296.305254883,9.368725565409663e-05,14,0.10220904113322005
2020-06-26,2135956.7235298427,2337183.285964806,0.0032423016215350348,14,0.10001602315222091
2020-07-03,2127263.013505884,2368816.055579072,-0.004070171426316044,14,0.09348873611256592
2020-07-10,2129939.6726392102,2390679.4864042243,0.0012582643125613395,14,0.04829196408802228
2020-07-17,2207922.6857325295,2441918.122996916,0.036612780209258435,14,0.062223524572749045
2020-07-24,2214603.253120897,2428426.4914367106,0.003025725235551358,15,0.035499969506114004
2020-07-31,2326519.73021939,2472207.104607177,0.05053567809077164,16,0.009945370051951286
2020-08-07,2310093.433777165,2476440.036819791,-0.007060458688083269,17,1.1102230246251565e-16
2020-08-14,2364988.192208147,2532650.6890272987,0.023763003534114653,18,0.0
2020-08-21,2394128.8680571485,2591105.4672014937,0.012321700355634046,19,2.220446049250313e-16
2020-08-28,2439038.120292414,2520395.342430778,0.018758076407018702,20,0.0
2020-09-04,2471449.7217650334,2538791.800205599,0.013288681797533236,19,0.0
2020-09-11,2676013.8359269206,2569188.2848561807,0.08277089853796163,18,0.006878756829324928
2020-09-18,2557508.602265564,2460771.4686930985,-0.044284238022375175,19,0.0
2020-09-25,2649005.703265386,2542903.7914978527,0.035775872237055154,17,0.002942113787494649
2020-10-02,2583950.9879869884,2620426.9214488715,-0.02455816353970318,18,0.0030941085433687787
2020-10-09,2583942.0352414213,2587127.85470964,-3.4647505345507474e-06,19,1.1102230246251565e-16
2020-10-16,2662539.9109297018,2628543.4009930585,0.030417816892296074,18,0.0010199549952707443
2020-10-23,2699012.3321186695,2575141.26571392,0.013698356610261085,18,0.0023233759367055073
2020-10-30,2749833.542220595,2696579.387635805,0.018829558315515922,17,0.016719855356356117
2020-11-06,2869340.9962601284,2791638.951039083,0.04345988664573017,19,0.005884487394409832
2020-11-13,2875820.6140635936,2838228.081137918,0.0022582250809195462,20,0.00546596762566276
2020-11-20,3055019.8926051673,2880826.1608648603,0.06231239795181852,20,0.012625239856699388
2020-11-27,3200013.4951113723,2950649.385552934,0.04746077197636897,20,0.0048292514233495565
2020-12-04,3165632.3100444386,3002398.6615871466,-0.010744075023264042,20,0.0007129819430615747
2020-12-11,3173468.252984657,3051742.5570941917,0.0024753168317606868,20,0.0
2020-12-18,3177760.2252241876,3043747.018470365,0.0013524547584474272,20,0.0
2020-12-25,3301373.6560507272,3110828.9156302693,0.03889954624182458,20,0.0
2021-01-01,3447962.252917058,3205095.644111184,0.044402304052334245,20,1.1102230246251565e-16
