Metric,21x63,50x200
Total Trades,132,21
Win Rate (%),25.76,28.57
Avg Return (%),1.69,-5.02
Total Return (%),12.39,51.15
CAGR (%),2.36,8.61
Final Equity,"INR 1,123,931.53","INR 1,511,501.56"
