,Total Return,CAGR,Ann. Volatility,Sharpe Ratio,Max Drawdown,Calmar Ratio,Win Rate,Avg Positions Held,Avg Regime Score,Exits / Year,Entries / Year,  - 52H Exits/Yr,  - ADTV Exits/Yr,  - RelDD Exits/Yr,  - Rank Exits/Yr
Z Equal Weight,9.864184372922209,0.3095217580432654,0.2556730875255185,1.186176437453261,-0.4390168912408938,0.705033824936424,0.6130434782608696,19.008695652173913,0.5609075361301129,70.19999999999999,72.4608695652174,28.93913043478261,0.0,7.3478260869565215,33.91304347826087
Z Weighted v1 (PRIMARY),10.027240518824142,0.3117288739035562,0.25924849030349256,1.1798680180915644,-0.43949236921018975,0.7092930292823129,0.6086956521739131,19.017391304347825,0.5611562128873825,72.68695652173912,75.06086956521739,30.069565217391304,0.0,7.234782608695652,35.38260869565217
Z Weighted v2 (Trend+Vol),11.021635697531838,0.3245941648890829,0.2540014411414795,1.2376506190904384,-0.4362267323461331,0.7440950790506047,0.6195652173913043,18.9,0.5568091379257009,67.14782608695651,69.4086956521739,28.373913043478257,0.0,7.3478260869565215,31.426086956521736
NIFTY500 Buy & Hold,1.5322707616654623,0.11074454692605662,0.1778625068462519,0.6813586283885195,-0.37834204630321133,0.29271012304380145,0.5630434782608695,,,,,,,,
