,Z Equal Weight,Z Weighted v1 (PRIMARY),Z Weighted v2 (Trend+Vol),NIFTY500 Buy & Hold
2017-11-13,0.000570837402823695,-0.0025828448469222636,0.000570837402823695,-0.020559467707670587
2017-11-20,-0.01400942639467442,-0.012377227218377645,-0.01400942639467442,0.008747639678720942
2017-11-27,0.021128809256817184,0.022440008816741328,0.021128809256817184,0.011525993516628752
2017-12-04,-0.01929349199542138,-0.021400880333273527,-0.01929349199542138,-0.022460210412732606
2017-12-11,0.022894835933472923,0.02083546015330545,0.022894835933472923,0.019046620342519027
2017-12-18,-0.007041617040432546,-0.010150929826312645,-0.007041617040432546,0.004219066497687551
2017-12-22,0.05639976027988771,0.058640829181381256,0.05454316534830514,0.017328508173468427
2018-01-01,-0.0017695912145636015,0.002550021774336724,0.003003357912936889,0.0003180830196680695
2018-01-08,0.09409983634982529,0.08928861719685822,0.09851386302161515,0.021702262971010633
2018-01-15,0.008542386596970833,0.007008543900320356,0.010794899665669202,0.00628679617190131
2018-01-22,-0.023602612165169356,-0.023602612165169356,-0.023602612165169356,0.009015603334072031
2018-01-29,-0.022520263129667383,-0.022520263129667383,-0.022520263129667383,0.0032848691671862884
2018-02-05,-0.10757960604856266,-0.10757960604856266,-0.10757960604856265,-0.04837847333608314
2018-02-12,0.08017767533335711,0.08017767533335712,0.08017767533335711,0.0004334146654683124
2018-02-19,-0.04176207003157737,-0.04176207003157737,-0.04176207003157737,-0.020163770464622477
2018-02-26,0.024568727202667416,0.024568727202667416,0.024568727202667416,0.018853814704228533
2018-03-05,-0.01785656825299661,-0.01785656825299661,-0.01785656825299661,-0.02106047049873283
2018-03-12,-0.025616071600624374,-0.025616071600624374,-0.025616071600624374,-0.0015706920896225718
2018-03-19,0.0029844480873959587,0.0029844480873959587,0.0029844480873959587,-0.02494587113218394
2018-03-26,-0.017576939744738056,-0.017576939744738056,-0.017576939744738056,0.002265521350992783
2018-04-02,0.03958662343043555,0.03958662343043555,0.03958662343043555,0.012255520593200897
2018-04-09,0.022527595545197336,0.022527595545197336,0.022527595545197336,0.02012500554102581
2018-04-16,-0.0006676789421098826,-0.0006676789421098826,-0.0006676789421098826,0.011526093946899518
2018-04-23,0.0282544059035634,0.02591778817119959,0.03518302341065775,0.006669315777603657
2018-04-30,0.015498909469472522,0.01744967333551956,0.01744967333551956,0.013132908016301403
2018-05-07,-0.031009409425564422,-0.031990082700777654,-0.031990082700777654,-0.008181961775390989
2018-05-14,-0.016740281518550035,-0.011328188938601534,-0.011328188938601534,-0.0030630228903892887
2018-05-21,-0.03534765928882265,-0.043133731132496994,-0.043133731132496994,-0.029952236167391733
2018-05-28,0.04932100449374507,0.05130066843501591,0.050721169544676294,0.021830777169079996
2018-06-04,-0.06159099846810001,-0.06010083544851073,-0.06010083544851073,-0.014144431133864432
