,Z Equal Weight,Z Weighted v1 (PRIMARY),Z Weighted v2 (Trend+Vol),NIFTY500 Buy & Hold
2017-11-13,1.0005708374028237,0.9974171551530777,1.0005708374028237,0.9794405322923294
2017-11-20,0.9865534139035711,0.9850718963922402,0.9865534139035711,0.9880083251555574
2017-11-27,1.0073981128076015,1.0071769184324062,1.0073981128076015,0.9993961027056756
2017-12-04,0.9879618853819454,0.9856224457265992,0.9879618853819454,0.9769494559532412
2017-12-11,1.0105811106562896,1.0061583429207392,1.0105811106562896,0.9955570413346131
2017-12-18,1.003464985486753,0.9959449001875919,1.003464985486753,0.9997573626942449
2017-12-22,1.060060170117467,1.0543479349535603,1.0581971421113916,1.0170816663251774
2018-01-01,1.0581842969535185,1.057036545145419,1.061375286871599,1.0174051827328512
2018-01-08,1.1577592661247995,1.1514178765879979,1.1659354664969952,1.0394851775565888
2018-01-15,1.1676492933622629,1.1594876393236786,1.1785216228744755,1.0460202089915998
2018-01-22,1.1400897199460993,1.132120702262414,1.1507054340815033,1.0554507122752912
2018-01-29,1.1144145994614845,1.1066250461529206,1.1247912449212496,1.0589177297775292
2018-02-05,0.9945263158766512,0.987574759644317,1.0037866459057492,1.0076889066223813
2018-02-12,1.074265123941489,1.0667562080904973,1.08426792570514,1.0081256537727412
2018-02-19,1.0294015886029635,1.022206260621602,1.0389866526588487,0.9877980394905702
2018-02-26,1.054692675415342,1.0473205673836727,1.0645132322952364,1.0064218006923256
2018-03-05,1.0358594836708523,1.028619016189419,1.0455046791065385,0.9852260840495632
2018-03-12,1.009324832968954,1.0022698378209471,1.0187229563877576,0.9836785972328568
2018-03-19,1.0123371105362693,1.0052610601214864,1.0217632821665354,0.9591398777107984
2018-03-26,0.994543322143011,0.9875916470399996,1.0038038105225084,0.9613128295823409
2018-04-02,1.0339139341219408,1.0266870656744158,1.0435410139676993,0.9730942187617955
2018-04-09,1.0572055290583837,1.0498158566414144,1.0670494838651887,0.9926777453063168
2018-04-16,1.0564996551891492,1.049114916700842,1.0663370373946228,1.0041194422577138
2018-04-23,1.0863504252838383,1.07630565487914,1.1038539983449294,1.0108162318965617
2018-04-30,1.1031876721774356,1.0950868369659537,1.1231158900261555,1.0240911884914436
2018-05-07,1.0689784739776502,1.0600549184868797,1.0871873198216613,1.0157121135326919
2018-05-14,1.0510834733859944,1.0480464160849665,1.0748714564510697,1.0126009640788955
2018-05-21,1.013930132884634,1.0028402637591805,1.028508240046514,0.9822713008594759
2018-05-28,1.0639381855249805,1.0542866396235742,1.0806753808680098,1.0037150467481215
2018-06-04,0.9984091703701583,0.9909231317799944,1.015725887629205,0.9895180683913691
2018-06-11,1.007507356402931,1.0073405638696613,1.0331534569093022,1.0063948409916863
2018-06-18,1.006622538734628,1.0034675048165924,1.029181151521221,1.0049012735762588
2018-06-25,1.0047938066022886,1.0009494332691755,1.0265985549126173,0.9958266383410086
2018-07-02,1.0007454834691323,1.0028384876259264,1.0285360158954944,0.9823036525002434
2018-07-09,1.0337412140713438,1.0363773720659641,1.0629343272937735,1.000523018192407
2018-07-16,1.0363931590410216,1.0382608269925444,1.064866045362243,0.9954869461129513
2018-07-23,1.0397014248119039,1.040704130463333,1.067371957977761,1.0097863713321338
2018-07-30,1.0510521055091155,1.0550525296236075,1.0820880318908435,1.0372690901640238
2018-08-06,1.0672915056499044,1.0797000849466152,1.0968703740895582,1.0470446776159006
2018-08-13,1.0641532377731717,1.076513793888079,1.0936334119793742,1.0413453969007136
2018-08-20,1.0815678790202465,1.096770316828359,1.1142120710024093,1.0611068574694555
2018-08-27,1.116553473884774,1.121421943443139,1.1392557282956353,1.0739450669139776
2018-09-03,1.130005277962066,1.1308926272855675,1.1488770228328513,1.0699388553989502
2018-09-10,1.093559076203529,1.093955357428834,1.1113523457762544,1.050360720794557
2018-09-17,1.0664782161844746,1.070342876802167,1.0873643598352924,1.0456535570629029
2018-09-24,1.0036202825470053,1.0094577060941239,1.0255109424815836,0.9967702278633902
2018-10-01,0.951374450728086,0.9555028677020293,0.97177864580001,0.9883965448447665
2018-10-08,0.8859148210938326,0.8938906421912806,0.9091169342600385,0.9276940828849041
2018-10-15,0.8852232912618524,0.8931928865708927,0.908407293258635,0.950275528140536
2018-10-22,0.8903673471200063,0.8983832539572693,0.9136860719629502,0.9249280175992931
2018-10-29,0.8736652949002051,0.8815308344817302,0.8965465929200677,0.9285028739040886
2018-11-05,0.878494786813141,0.8864038059285582,0.9015025692480186,0.9573821052291038
2018-11-12,0.8782653996985462,0.8861723536599052,0.9012671744838565,0.9553709115613983
2018-11-19,0.8757732962292918,0.8836578139801328,0.8987098028134852,0.976237719856359
2018-11-26,0.860948363160584,0.8641257407237241,0.8834966046807424,0.9644024112756254
2018-12-03,0.8752118162055922,0.8805608032569786,0.8981336176254286,0.9842339670660298
2018-12-10,0.8268105631556569,0.8252512381477055,0.847181822523657,0.9457031629120792
2018-12-17,0.868511050979258,0.8732360323872986,0.8914775186400915,0.9871510066752223
2018-12-24,0.8452526213833349,0.8463699612109267,0.8674317442591872,0.9708134280876949
2018-12-31,0.8590632199003775,0.8555855328001634,0.8768935501026103,0.9888818194562771
2019-01-07,0.8549830017875145,0.8500219790256436,0.8734776053595271,0.9793003418490044
2019-01-14,0.8546807631293452,0.8601101822945052,0.8777142502283208,0.9760975294130338
2019-01-21,0.8544567370517807,0.8555624826834105,0.8760656769998549,0.9872965890586753
2019-01-28,0.8112537646059881,0.8148826751501187,0.8385631646421563,0.9572419147857786
2019-02-04,0.8235947127780427,0.8247064961730365,0.8517405661435062,0.9750784527288612
2019-02-11,0.8119062718602752,0.817489244951591,0.837956562512897,0.9670067183573996
2019-02-18,0.7872146070808531,0.7977711027746162,0.823187920037534,0.9440586211730708
2019-02-25,0.7947733820819489,0.8111262028771031,0.8353789826786622,0.9688076263601173
2019-03-01,0.7986271090070861,0.8129031750073582,0.8406466790802961,0.9745931781173506
2019-03-11,0.8076791323780009,0.8220727955268458,0.8532398757161243,1.0078183131854508
2019-03-18,0.8155164203323297,0.8267654289356949,0.8608008123497647,1.0262695323031137
2019-03-25,0.8052716603961471,0.815659860819124,0.8519836444148351,1.0149410660944023
2019-04-01,0.833202535526525,0.8450360975780999,0.8848337543299309,1.0462520624170992
2019-04-08,0.8245879462952375,0.8351893336423192,0.875645564760747,1.0389621593641827
2019-04-15,0.8389825577978649,0.852702219853037,0.8913607933182786,1.0478157250541893
2019-04-22,0.8261432009163963,0.8360080151340875,0.8762021706405922,1.035230936795678
2019-04-26,0.836745707593916,0.8473838028101506,0.8900210205895074,1.0449256451456366
2019-05-06,0.8197293877460184,0.8305996502259333,0.871453877998452,1.027967993443401
2019-05-13,0.7908227887896804,0.8011294885134218,0.8406639800800234,0.9877980394905697
2019-05-20,0.8384853504663954,0.8494132307102608,0.8898168677501654,1.043006114460105
2019-05-27,0.8609996251075742,0.8722209312257491,0.9159912894001978,1.0573486752003105
2019-06-03,0.8824666869577588,0.8899399190484018,0.935374169190321,1.0700413022613797
2019-06-10,0.8746555178280078,0.8770650498326067,0.9222808163921932,1.053137569960423
