date,regime_score,dyn_n,n_held,exits,entries,exits_52h,exits_adtv,exits_reldd,exits_rank,exits_data
2017-11-06,0.6769133103826468,23,23,0,23,0,0,0,0,0
2017-11-13,0.6175009500304844,21,23,0,0,0,0,0,0,0
2017-11-20,0.6395020939822812,22,23,0,0,0,0,0,0,0
2017-11-27,0.6639338478979494,22,23,0,0,0,0,0,0,0
2017-12-04,0.6220286016716461,21,23,0,0,0,0,0,0,0
2017-12-11,0.6482262908071645,22,22,1,0,0,0,0,1,0
2017-12-18,0.635968843534192,21,21,4,3,0,0,2,2,0
2017-12-22,0.7016003778290534,23,23,0,2,0,0,0,0,0
2018-01-01,0.7046817918016006,23,23,1,1,0,0,0,1,0
2018-01-08,0.7314372598730704,24,24,0,1,0,0,0,0,0
2018-01-15,0.724170817898316,24,24,0,0,0,0,0,0,0
2018-01-22,0.6650316228601244,22,24,0,0,0,0,0,0,0
2018-01-29,0.6000632077464475,21,24,0,0,0,0,0,0,0
2018-02-05,0.475670585663554,17,18,6,0,6,0,0,0,0
2018-02-12,0.5358085113049599,19,19,1,2,1,0,0,0,0
2018-02-19,0.4750474630406559,17,19,0,0,0,0,0,0,0
2018-02-26,0.5038360970443186,18,18,1,0,1,0,0,0,0
2018-03-05,0.4652974695091291,17,17,1,0,1,0,0,0,0
2018-03-12,0.44561353152708744,16,17,0,0,0,0,0,0,0
2018-03-19,0.40768430261943484,15,16,1,0,1,0,0,0,0
2018-03-26,0.4026463915205414,15,16,0,0,0,0,0,0,0
2018-04-02,0.45465316579389137,17,17,0,1,0,0,0,0,0
2018-04-09,0.5217309030674635,18,18,0,1,0,0,0,0,0
2018-04-16,0.5256183387677773,19,19,3,4,1,0,0,2,0
2018-04-23,0.5522342311399262,19,19,1,1,1,0,0,0,0
2018-04-30,0.5583275535958161,19,19,1,1,0,0,0,1,0
2018-05-07,0.5110317102820983,18,18,1,0,1,0,0,0,0
2018-05-14,0.4705446876626501,17,17,1,0,1,0,0,0,0
2018-05-21,0.4008939508302483,15,15,4,2,4,0,0,0,0
2018-05-28,0.45085220884797117,17,17,1,3,0,0,0,1,0
2018-06-04,0.3959889901578909,15,14,3,0,3,0,0,0,0
2018-06-11,0.4407623816111091,16,16,0,2,0,0,0,0,0
2018-06-18,0.42822034834269634,16,16,2,2,0,0,0,2,0
2018-06-25,0.3872311534417704,15,15,1,0,1,0,0,0,0
2018-07-02,0.3527077600153965,14,14,1,0,1,0,0,0,0
2018-07-09,0.3939864800509524,15,14,0,0,0,0,0,0,0
2018-07-16,0.3429324561223201,14,13,1,0,1,0,0,0,0
2018-07-23,0.36949564874426444,14,13,0,0,0,0,0,0,0
2018-07-30,0.4711533371078527,17,17,1,5,0,0,1,0,0
2018-08-06,0.5149585227528128,18,18,1,2,0,0,0,1,0
2018-08-13,0.44308481264446814,16,18,0,0,0,0,0,0,0
2018-08-20,0.4804460717091609,17,17,1,0,0,0,1,0,0
2018-08-27,0.4897247726904105,18,18,0,1,0,0,0,0,0
2018-09-03,0.5015855303402182,18,18,0,0,0,0,0,0,0
2018-09-10,0.4422719326604636,16,17,1,0,0,0,0,1,0
2018-09-17,0.4474400316841335,16,17,0,0,0,0,0,0,0
