date,regime_score,dyn_n,n_held,exits,entries,exits_52h,exits_adtv,exits_reldd,exits_rank,exits_data
2019-05-20,0.4577162187616062,17,17,0,1,0,0,0,0,0
2019-05-27,0.5405375750341783,19,19,1,3,0,0,0,1,0
2019-06-03,0.5251885227919221,19,19,0,0,0,0,0,0,0
2019-06-10,0.4887234087741432,18,18,1,0,0,0,0,1,0
2019-06-17,0.4297558298069214,16,16,2,0,1,0,0,1,0
2019-06-24,0.42088858201991247,16,16,1,1,0,0,0,1,0
2019-07-01,0.46093320434622914,17,17,1,2,0,0,0,1,0
2019-07-08,0.3968009887395823,15,17,0,0,0,0,0,0,0
2019-07-15,0.39282186818506293,15,17,0,0,0,0,0,0,0
2019-07-22,0.3551188769042126,14,16,1,0,0,0,0,1,0
2019-07-29,0.3532811863614906,14,15,1,0,1,0,0,0,0
2019-08-05,0.3186337980974331,13,13,2,0,2,0,0,0,0
2019-08-09,0.3602352456168553,14,11,2,0,1,0,0,1,0
2019-08-19,0.35676038651978426,14,10,1,0,0,0,0,1,0
2019-08-26,0.34512213663972735,14,8,2,0,0,0,0,2,0
2019-08-30,0.36660869970352344,14,8,0,0,0,0,0,0,0
2019-09-09,0.4134368446566838,16,16,2,10,0,0,0,2,0
2019-09-16,0.47008905158402636,17,17,0,1,0,0,0,0,0
2019-09-23,0.5363053982718472,19,19,0,2,0,0,0,0,0
2019-09-30,0.48770834589034306,18,19,0,0,0,0,0,0,0
2019-10-07,0.41554226937187166,16,17,2,0,1,0,0,1,0
2019-10-14,0.4426407476157065,16,17,0,0,0,0,0,0,0
2019-10-18,0.49691322427094164,18,18,1,2,0,0,0,1,0
2019-10-25,0.4903318234406205,18,18,1,1,0,0,0,1,0
2019-11-04,0.565069055895123,20,20,4,6,0,0,1,3,0
2019-11-11,0.5300626990177136,19,19,1,0,0,0,0,1,0
2019-11-18,0.5055443501163297,18,18,1,0,1,0,0,0,0
2019-11-25,0.5258524506440442,19,19,2,3,0,0,0,2,0
2019-12-02,0.5187271709135971,18,18,1,0,0,0,1,0,0
2019-12-09,0.46808846679382604,17,17,1,0,0,0,0,1,0
2019-12-16,0.4752857210304735,17,17,2,2,0,0,0,2,0
2019-12-23,0.49455861417347047,18,18,0,1,0,0,0,0,0
2019-12-30,0.5344838790162901,19,19,0,1,0,0,0,0,0
2020-01-06,0.5281707558830004,19,19,1,1,0,0,0,1,0
2020-01-13,0.6080980238685232,21,21,0,2,0,0,0,0,0
2020-01-20,0.6246557586026146,21,21,0,0,0,0,0,0,0
2020-01-27,0.6193692573340311,21,21,1,1,0,0,0,1,0
2020-02-03,0.5082795773676396,18,20,1,0,1,0,0,0,0
2020-02-10,0.5505748417210322,19,19,2,1,0,0,0,2,0
2020-02-17,0.5140899665149742,18,18,2,1,0,0,0,2,0
2020-02-24,0.4928498854587116,18,18,1,1,1,0,0,0,0
2020-03-02,0.41053749688433977,15,17,1,0,1,0,0,0,0
2020-03-09,0.35354557640750667,14,13,4,0,4,0,0,0,0
2020-03-16,0.279590352976743,12,8,5,0,5,0,0,0,0
2020-03-23,0.22514580909504778,11,1,7,0,7,0,0,0,0
2020-03-30,0.21786008251190978,10,1,0,0,0,0,0,0,0
2020-04-03,0.21015713332808011,10,1,0,0,0,0,0,0,0
2020-04-13,0.2586893507226511,11,1,0,0,0,0,0,0,0
2020-04-20,0.3180567807582024,13,1,0,0,0,0,0,0,0
2020-04-27,0.30265926144390887,13,1,0,0,0,0,0,0,0
2020-05-04,0.2889356586689732,12,1,0,0,0,0,0,0,0
2020-05-11,0.29833503986105425,12,1,0,0,0,0,0,0,0
2020-05-18,0.28066547422117555,12,1,0,0,0,0,0,0,0
2020-05-22,0.3068254552487243,13,1,0,0,0,0,0,0,0
2020-06-01,0.42251139202682625,16,16,0,15,0,0,0,0,0
2020-06-08,0.5447743017060076,19,19,0,3,0,0,0,0,0
