,Z Equal Weight,Z Weighted v1 (PRIMARY),Z Weighted v2 (Trend+Vol),Sharpe Composite,NIFTY500 Buy & Hold
2017-12-29,1.045700575935913,1.045700575935913,1.0425066859082592,1.056281504569041,1.0367196460757004
2018-01-31,1.0515068384437989,1.0515068384437989,1.0569627001171031,1.031861862473715,1.0593587852968485
2018-02-28,1.0313441878939047,1.0229707531507086,1.036695433383704,0.9975758580649304,1.0117319351138783
2018-03-28,0.9749917736732615,0.9697384607745347,0.9792820752640484,0.9478181840448824,0.9735212190725873
2018-04-30,1.079633408524447,1.0738162803557345,1.0884394307411196,1.0483239987043078,1.0373586760609534
2018-05-31,1.0429943204821481,1.037374605870152,1.0515014962378353,1.0391183261182881,1.0175705936970887
2018-06-29,0.9862069790081003,0.9826859651559263,0.9959085619542624,1.0158834555097287,1.0008684253645748
2018-07-31,1.0668455072678988,1.0630365930245644,1.0709327497260717,1.0843934594394489,1.0541919274673657
2018-08-31,1.1770493243773195,1.164521675003779,1.1666381776905437,1.148686101481692,1.0914850619913703
2018-09-28,0.9803231837575486,0.9634868604948138,0.9730446257348785,0.9837638769796658,0.9957944180457698
2018-10-31,0.9733878185491505,0.9684672909025686,1.0194721399517643,0.9136725250289005,0.9561909443443116
2018-11-30,0.928499046365429,0.9314630447297835,0.9864148239111415,0.9109598825959978,0.9950461521656015
2018-12-31,0.9237612402539346,0.9278924827761884,0.9813814938291249,0.9246665882903037,1.0016931563711835
2019-01-31,0.8571731474627534,0.8506579861337473,0.9126952925553107,0.8861645020501798,0.9835436124310448
2019-02-28,0.8454249680276053,0.8393283402161377,0.900186141868202,0.8604801722625096,0.9783112130646131
2019-03-29,0.9442707104820771,0.9374612746447252,0.9706929147474508,0.9437897965649609,1.0556229176907534
2019-04-30,0.9533475283748003,0.929221528744035,0.9834409040597081,0.9446847416698264,1.0556884592277023
2019-05-31,1.0180775447030521,0.9917983671566568,1.0506930236963046,1.0149185107176744,1.0710634114369981
2019-06-28,0.9985969662796322,0.9728206321382007,1.024497867435191,1.018375532485428,1.0549948112949916
2019-07-31,0.9095168325337665,0.9037150323525002,0.9331072362444236,0.9120642621076839,0.9880332077120543
2019-08-30,0.8779253704178613,0.8652113995927916,0.8980408932102234,0.8808770781225824,0.9806707083947785
2019-09-30,0.9510755122736408,0.9373021931249642,0.9728670925024842,0.9221442525435795,1.020361570812169
2019-10-31,0.9822969514177144,0.9676746042929052,1.0148237170315586,0.9495343378999939,1.0584575891637993
2019-11-29,1.0085336967655827,0.993520792796076,1.0419292388376746,0.9533672571719141,1.072002840133268
2019-12-31,1.0276653789131118,1.0123676831634423,1.0616944277268394,0.9664663014545247,1.0784368343437654
2020-01-31,1.093099905900917,1.0768281601288152,1.1279029560355243,1.0473398076415328,1.0772243159102082
2020-02-28,1.0631051758333245,1.0383494588524593,1.1078205991776453,1.0569110380123656,1.0089081872303238
2020-03-31,0.9246664264183054,0.9099832343555402,0.9644543272202202,0.8451943466345961,0.7642962477470097
2020-04-30,1.1262224470528717,1.10673417689215,1.1865844498370153,1.0175341768553705,0.875296302364957
2020-05-29,1.1466460825087894,1.1268043996395298,1.2151461841939954,1.029689594347538,0.8544868643836364
2020-06-30,1.2722717277668223,1.252703752997636,1.3420883703161819,1.189039848239392,0.9257523622262274
2020-07-31,1.331488389235719,1.299945845157485,1.400615336687981,1.161403351778602,0.9870282374788354
2020-08-31,1.5474834725327744,1.4568616088357098,1.679435625502847,1.3951937715645353,1.0237642689387731
2020-09-30,1.7298804269235772,1.642251490072853,1.8773853604268462,1.4985218501247475,1.0204544213228466
2020-10-30,1.872888498883076,1.7926408484953598,1.9589292643840535,1.5302816976675353,1.0466601125129715
2020-11-27,2.1829885494944765,2.0750420997644268,2.283275355671345,1.7421582496310546,1.170905019389371
2020-12-31,2.3691172075734106,2.2443408044845574,2.48592614886754,1.8389311272518931,1.2582118084002398
2021-01-29,2.5438212641999502,2.418133790344356,2.5972054621194913,1.8977036012750208,1.2346277786880764
2021-02-26,3.1075699518250723,2.9203391424699525,3.137726662233669,2.2840473321464083,1.330646130318422
2021-03-31,3.19307736227571,3.0006947391520438,3.074042235753789,2.4231867778936156,1.345098039215686
2021-04-30,3.2997188148963534,3.1009110538692775,3.176708188452272,2.593880158021922,1.350630837293134
2021-05-31,3.713754633202531,3.490001251460482,3.5753091142002695,2.861503469852343,1.4447921787099236
2021-06-30,3.6874441744866826,3.4708872889783073,3.5499794863340246,3.0417705416050365,1.4717952919329287
2021-07-30,3.885645863133236,3.657448953162179,3.7660892924430986,3.1732278883165197,1.4926265770932323
2021-08-31,3.7812173590702507,3.559153345091125,3.664873925724031,2.9252938643151905,1.5900267627942537
2021-09-30,4.200253349907297,3.9700562481879427,4.071016691644326,3.1538095365518357,1.6442896935933142
2021-10-29,4.45190460110937,4.186839430770045,4.293312775021566,3.144845483548072,1.6480310229941555
2021-11-30,4.835600159753266,4.55507594449525,4.687861428125194,3.515374651501339,1.6001256212791521
2021-12-31,5.585156969544086,5.237914435138554,5.4206420234110455,4.168704013327796,1.638123327325359
2022-01-31,5.978935475365029,5.657121417926813,5.813247791388419,4.220069695537391,1.6299579441804577
2022-02-28,5.009242331176451,4.860011457404261,4.870426690206593,3.7385570346602517,1.5629417226500628
2022-03-31,5.668350335543469,5.515823068051144,5.5112695570447015,4.16469248367894,1.6270140368124963
2022-04-29,5.574103344895969,5.520347040906098,5.419634329923751,4.062003907019431,1.6148724670926864
2022-05-31,4.928396963784544,4.880867811744235,4.844291282050644,3.6339802020188383,1.5423671418428093
2022-06-30,4.423561699747988,4.411957272226255,4.352805570678723,3.3509894473191015,1.4624010049702327
2022-07-29,4.753247716039784,4.755848186558912,4.677218165256427,3.71534303424706,1.6020154022611826
2022-08-30,4.986950949340385,4.989679277359213,4.908981397125902,4.178339746147585,1.6740455513681791
2022-09-30,4.818602849644442,4.835572525567648,4.722389148243494,4.137023798057684,1.6198973182587795
2022-10-31,4.977714004107358,4.991651566657848,4.878323308547992,4.3753992601266996,1.6848544431700252
2022-11-30,5.293049988834336,5.27189916714722,5.2037466120456015,4.620527088225791,1.7418919656999283
2022-12-30,5.203485425797744,5.162899063784603,5.07282995649976,4.446496916833155,1.6875689551586646
2023-01-31,5.022214988912957,5.00991211980644,4.902493857982817,4.186653269377063,1.6314927085040138
2023-02-28,4.405481005692069,4.394688943567304,4.343416492504463,3.8275421497590987,1.5859686492981588
2023-03-31,4.3569640684230615,4.346290857747305,4.329957800174917,3.778139423763284,1.590239772789338
2023-04-28,4.731864108042013,4.683003170003512,4.730277198912365,4.053547001921873,1.662521164454639
2023-05-31,5.315813879236276,5.260923111740198,5.314031132863206,4.5197428314596735,1.7222568135889444
2023-06-30,5.994560382494056,5.9326609203097345,5.980184485313165,4.8802808968986335,1.794745753454584
2023-07-31,7.104121608195411,7.029926226671033,7.1691955658276925,5.638423701079052,1.8634551313561625
2023-08-31,7.933076779463783,7.860140972736257,8.015857633716005,6.235588410719199,1.8487410563111026
2023-09-29,8.180027264018335,8.104821022588933,8.198814126209275,6.4680561722124965,1.8889726364083224
2023-10-31,8.861011971898893,9.124414995889362,9.238997519653157,6.852906563143798,1.835283194057566
2023-11-30,10.092599818668328,10.45812930008607,10.549355220018528,7.768519377813743,1.9649298159375161
2023-12-29,10.899784599222457,11.294548355212196,11.393070331213908,8.364988015456753,2.1223605876891134
2024-01-31,12.654155971857064,13.352808503239451,13.059200607599449,9.713452470318853,2.1631001146976883
2024-02-29,13.493425553697765,14.422243928616371,13.925334220737248,10.571212798611766,2.1945545906384822
2024-03-28,13.24452847606242,14.169453307387505,13.75108590319617,10.829860820921796,2.2125894368889605
2024-04-30,15.561945161295842,16.523092466381446,16.04560789489819,12.138495280800145,2.2936479327106873
2024-05-31,15.408393057541486,16.331938134823154,15.687749965976089,11.888766596274056,2.3052378611611757
2024-06-28,17.028943019941853,18.10797406125913,17.52491991765483,13.417954699985575,2.4643290185154823
2024-07-31,17.612013290435435,18.727990307812124,18.291458666335352,13.883433889645616,2.5704079960675053
2024-08-30,17.02942585478354,17.910387679695123,17.81939311935661,15.032351159757146,2.5926648096564504
2024-09-30,18.62148425388981,19.675977105121927,19.73510511368083,15.578413462648651,2.6484461193948308
2024-10-31,18.515371909148026,19.563855856501583,19.467559396576938,14.956255561779347,2.4784914522912205
