,Total Return,CAGR,Ann. Volatility,Sharpe Ratio,Max Drawdown,Calmar Ratio,Win Rate
Z Equal Weight,22.969291521216487,0.4377218720538718,0.2938752326206988,1.3973018047544348,-0.281742106708357,1.5536260347019268,0.6190476190476191
Z Weighted v1 (PRIMARY),23.435342638853438,0.44088950492837964,0.292608634690756,1.4095854036201192,-0.27925056421692285,1.5788312054613973,0.6285714285714286
Z Weighted v2 (Trend+Vol),24.466774836143905,0.447713875804693,0.29384130906812067,1.421201627221582,-0.2551568493967875,1.7546614047913145,0.6285714285714286
Sharpe Composite,16.783762526763585,0.3895041421649261,0.2830288176676515,1.3162488847024902,-0.2767070756156853,1.4076407019887816,0.6571428571428571
NIFTY500 Buy & Hold,1.5650772843956502,0.11366440177077353,0.17616744896278952,0.7041216365746361,-0.29976481184947956,0.37917860028163564,0.6190476190476191
