,Z Equal Weight,Z Weighted v1 (PRIMARY),Z Weighted v2 (Trend+Vol),Sharpe Composite,NIFTY500 Buy & Hold
2017-12-29,0.04570057593591305,0.04570057593591305,0.042506685908259144,0.05628150456904096,0.03671964607570044
2018-01-31,0.005552509620346274,0.005552509620346274,0.013866591365070523,-0.023118498231481627,0.02183728195645185
2018-02-28,-0.019175006583632297,-0.027138278373275242,-0.019175006583632297,-0.03322732010522187,-0.044958186823951585
2018-03-28,-0.05463977485122573,-0.05203696411869121,-0.05538112378122684,-0.04987858679395726,-0.037767628672302545
2018-04-30,0.10732565922782138,0.10732565922782138,0.11146671447819431,0.10603912897145473,0.06557377049180313
2018-05-31,-0.03393660084340505,-0.03393660084340505,-0.03393660084340505,-0.008781323901196103,-0.019075448849576127
2018-06-29,-0.0544464532153891,-0.05271831448809448,-0.05287004771983563,-0.022360177878254894,-0.01641376867213784
2018-07-31,0.08176633300740035,0.08176633300740035,0.07533240564233129,0.06743884208188507,0.05327723480073554
2018-08-31,0.10329875915365028,0.09546715761728199,0.08936642192420771,0.05928903525061606,0.03537603879551532
2018-09-28,-0.16713500152072433,-0.1726329520730585,-0.16594138239063935,-0.14357466699500657,-0.08767013610888708
2018-10-31,-0.0070745702267441144,0.005169173148035511,0.04771365360743053,-0.07124814560782464,-0.03977073277753396
2018-11-30,-0.04611602007782351,-0.0382090820416855,-0.0324259141031426,-0.0029689438596361027,0.04063540661110743
2018-12-31,-0.005102650487408022,-0.0038332835358282193,-0.005102650487408022,0.015046442720666704,0.006680096386600276
2019-01-31,-0.07208366176186033,-0.08323647197934073,-0.06998929744009788,-0.041638885548264164,-0.018118865866957434
2019-02-28,-0.013705724998412532,-0.013318685185221201,-0.013705724998412532,-0.02898370418612834,-0.005319946467344461
2019-03-29,0.11691840931204238,0.11691840931204238,0.07832465931204238,0.09681759904286999,0.07902567566813135
2019-04-30,0.009612516614106665,-0.008789425359263886,0.013132875617593182,0.000948246217666987,6.20880201163132e-05
2019-05-31,0.06789760753730469,0.06734329379690827,0.06838450521935316,0.07434625113527565,0.014563910474633346
2019-06-28,-0.019134670560975585,-0.019134670560975585,-0.02493131263873799,0.0034062062434049136,-0.015002473215332768
2019-07-31,-0.08920529177826583,-0.07103632211604169,-0.08920529177826583,-0.10439299353381246,-0.06347102646006653
2019-08-30,-0.03473433474331244,-0.04260594477384987,-0.0375801855050824,-0.034194064257085474,-0.0074516719274292376
2019-09-30,0.08332159466010489,0.08332159466010489,0.08332159466010489,0.04684782411292844,0.040473180322025515
2019-10-31,0.03282750816434714,0.03240407564467477,0.04312677944646119,0.029702603774695323,0.037335802759905334
2019-11-29,0.026709586454484773,0.026709586454484773,0.026709586454484773,0.004036630502902211,0.012797159856135165
2019-12-31,0.018969799629784685,0.018969799629784685,0.018969799629784685,0.013739767318491681,0.006001844369831755
2020-01-31,0.0636729896038831,0.0636729896038831,0.06236119035723105,0.08367959241340747,-0.001124329580503347
2020-02-28,-0.027440062802742016,-0.03573337204680175,-0.01780503965382494,0.009138610316346107,-0.06341866561205511
2020-03-31,-0.13022112257754995,-0.12362526257661285,-0.1294128959723699,-0.2003164729700671,-0.2424521305103372
2020-04-30,0.21797700757374025,0.21621381044009097,0.23031689147688864,0.20390556433203672,0.14523171472469354
2020-05-29,0.018134637175242684,0.018134637175242684,0.024070544967029716,0.011945955004413622,-0.023774164160291544
2020-06-30,0.1095592155019375,0.11173132923370013,0.1044665965077995,0.15475562224441664,0.08340151360196346
2020-07-31,0.04654403629076753,0.03771210236003675,0.04360887678209341,-0.02324269998327755,0.06619035257469208
2020-08-31,0.1622207786738852,0.1207094620616406,0.19906985273643316,0.2012999354857214,0.03721882522203468
2020-09-30,0.11786681901828197,0.12725291140405753,0.117866819018282,0.0740600199528862,-0.0032330173227841374
2020-10-30,0.0826693392986847,0.09157510852118955,0.04343482466416347,0.021194117082873398,0.025680413198811758
2020-11-27,0.16557315120271882,0.15753364735948,0.16557315120271882,0.13845591454597078,0.11870606837027031
2020-12-31,0.08526323150986606,0.08158808187041164,0.08875442582640689,0.05554769645141751,0.07456351075888246
2021-01-29,0.07374225980380324,0.07743609415848597,0.04476372449867204,0.031960127898295644,-0.01874408549872808
2021-02-26,0.2216148970680238,0.20768302983520187,0.20811645747621235,0.20358486468161444,0.0777710928652322
2021-03-31,0.02751584414066674,0.02751584414066674,-0.020296358904170753,0.06091793448800934,0.010860820595333998
2021-04-30,0.03339770400822366,0.03339770400822366,0.03339770400822366,0.070441693428471,0.0041133046931465245
2021-05-31,0.12547609100419144,0.12547609100419144,0.12547609100419144,0.10317489456972802,0.06971656415420147
2021-06-30,-0.007084598018571792,-0.005476778116963626,-0.007084598018571792,0.06299732768172933,0.01868996359539854
2021-07-30,0.053750424214664604,0.053750424214664604,0.06087635349471985,0.04321737781118686,0.014153656608688836
2021-08-31,-0.026875455906518908,-0.026875455906518908,-0.026875455906518908,-0.07813306599068896,0.06525422178312024
2021-09-30,0.11082039222947011,0.11544962052942886,0.11082039222947011,0.07811716799609156,0.0341270550086219
2021-10-29,0.05991335051435097,0.05460456200867405,0.05460456200867405,-0.002842293708568272,0.0022753468658343046
2021-11-30,0.08618683305753758,0.0879509519803769,0.09189841825620221,0.11782110437274314,-0.02906826452087563
2021-12-31,0.15500802072706224,0.14990715829194992,0.1563144744188633,0.18584914172588515,0.0237467018469657
2022-01-31,0.07050446531193655,0.08003318648659265,0.07242790914466593,0.012321738853459701,-0.004984596097678096
2022-02-28,-0.1621849153890351,-0.14090380984162648,-0.16218491538903512,-0.1141006418416088,-0.04111530715848666
2022-03-31,0.13157838267573332,0.1349403425063432,0.13157838267573332,0.11398393686868387,0.040994691762271884
2022-04-29,-0.016626881732507346,0.0008201809229809147,-0.016626881732507346,-0.024656940953488422,-0.0074624861526066955
2022-05-31,-0.11584040358754343,-0.11584040358754343,-0.106159016060628,-0.10537254882028475,-0.04489848376721106
2022-06-30,-0.10243396945218673,-0.09607114095360215,-0.10145668019448044,-0.07787349929493914,-0.051846369585540786
2022-07-29,0.07452953946829279,0.07794520506748483,0.07452953946829277,0.10873015049911695,0.09546929796714121
2022-08-30,0.049167063713505384,0.049167063713505384,0.049551511963044886,0.12461748690033253,0.04496220760757286
2022-09-30,-0.03375772118195984,-0.030885101671930544,-0.03801038011503845,-0.00988812557140532,-0.03234573459792944
2022-10-31,0.03302018436208248,0.032277261950874624,0.03302018436208248,0.057620036457351885,0.04009953234632668
2022-11-30,0.06334955854570583,0.05614326175354647,0.06670802300605835,0.05602410512177899,0.03385308609958493
2022-12-30,-0.0169211632660805,-0.020675680605173698,-0.02515815340485584,-0.0376645711776276,-0.031186211091705496
2023-01-31,-0.03483634949491505,-0.0296319842956637,-0.03357812108381297,-0.05843783371858389,-0.03322901057360261
