date,breadth,mom,ema50_lv,trend_lv,sma200_lv,ema50_asof,trend_asof,sma200_asof,n_valid_asof,n_valid_lv,asof_empty
2017-08-18,0.5201072386058981,0.3582474226804124,0.43312101910828027,0.7622080679405521,0.6877729257641921,0.4340425531914894,0.7638297872340426,0.6892778993435449,470,471,0
2017-08-25,0.5134048257372654,0.3524804177545692,0.4288747346072187,0.7537154989384289,0.6768558951965066,0.5,0.5,0.5,0,471,1
2017-09-01,0.532171581769437,0.36272040302267,0.597457627118644,0.7372881355932204,0.7161572052401747,0.597872340425532,0.7382978723404255,0.7171052631578947,470,472,0
2017-09-08,0.5348525469168901,0.3383458646616541,0.6228813559322034,0.7245762711864406,0.7008733624454149,0.6234042553191489,0.725531914893617,0.7017543859649122,470,472,0
2017-09-15,0.5442359249329759,0.31527093596059114,0.6885593220338984,0.7288135593220338,0.7254901960784313,0.6893617021276596,0.7297872340425532,0.7264770240700219,470,472,0
2017-09-22,0.5402144772117963,0.3200992555831266,0.492600422832981,0.7251585623678647,0.691304347826087,0.49256900212314225,0.7261146496815286,0.6921397379912664,471,473,0
2017-09-29,0.5187667560321716,0.330749354005168,0.4472573839662447,0.7194092827004219,0.6434782608695652,0.44820295983086683,0.7209302325581395,0.644880174291939,473,474,0
2017-10-06,0.532171581769437,0.3526448362720403,0.5957894736842105,0.7157894736842105,0.6760869565217391,0.5970464135021097,0.7172995780590717,0.6775599128540305,474,475,0
2017-10-13,0.5388739946380697,0.3308457711442786,0.6589473684210526,0.7136842105263158,0.6934782608695652,0.6603375527426161,0.7151898734177216,0.6949891067538126,474,475,0
2017-10-20,0.5455764075067024,0.3366093366093366,0.6701680672268907,0.7142857142857143,0.7021739130434783,0.5,0.5,0.5,0,476,1
2017-10-27,0.5670241286863271,0.31678486997635935,0.7175732217573222,0.7259414225941423,0.7608695652173914,0.7190775681341719,0.7274633123689728,0.7625272331154684,477,478,0
2017-11-03,0.5857908847184986,0.2974828375286041,0.7807933194154488,0.7494780793319415,0.7956521739130434,0.7824267782426778,0.7510460251046025,0.7973856209150327,478,479,0
2017-11-10,0.5804289544235925,0.28868360277136257,0.66875,0.7729166666666667,0.7613882863340564,0.6701461377870563,0.7745302713987474,0.7630434782608696,479,480,0
2017-11-17,0.5804289544235925,0.2863741339491917,0.6369294605809128,0.7738589211618258,0.7424242424242424,0.6382536382536382,0.7754677754677755,0.7440347071583514,481,482,0
2017-11-24,0.5924932975871313,0.3054298642533937,0.7199170124481328,0.7780082987551867,0.7705627705627706,0.7214137214137214,0.7796257796257796,0.7722342733188721,481,482,0
2017-12-01,0.5817694369973191,0.2995391705069124,0.6327800829875518,0.7863070539419087,0.7424242424242424,0.6340956340956341,0.7879417879417879,0.7440347071583514,481,482,0
2017-12-08,0.5884718498659517,0.30068337129840544,0.6514522821576764,0.7863070539419087,0.7467532467532467,0.6528066528066528,0.7879417879417879,0.7483731019522777,481,482,0
2017-12-15,0.5817694369973191,0.27880184331797236,0.6307053941908713,0.7800829875518672,0.7337662337662337,0.632016632016632,0.7817047817047817,0.735357917570499,481,482,0
2017-12-22,0.5978552278820375,0.28699551569506726,0.8381742738589212,0.7821576763485477,0.803030303030303,0.83991683991684,0.7837837837837838,0.8047722342733189,481,482,0
2017-12-29,0.6005361930294906,0.2857142857142857,0.8195020746887967,0.8008298755186722,0.8228941684665226,0.8212058212058212,0.8024948024948025,0.8246753246753247,481,482,0
2018-01-05,0.6058981233243967,0.28761061946902655,0.8775933609958506,0.8298755186721992,0.857451403887689,0.8775933609958506,0.8298755186721992,0.857451403887689,482,482,0
2018-01-12,0.6058981233243967,0.2920353982300885,0.8609958506224067,0.8464730290456431,0.8596112311015118,0.8609958506224067,0.8464730290456431,0.8596112311015118,482,482,0
2018-01-19,0.5898123324396782,0.30227272727272725,0.6556016597510373,0.8485477178423236,0.8142548596112311,0.6556016597510373,0.8485477178423236,0.8142548596112311,482,482,0
2018-01-26,0.5898123324396782,0.29318181818181815,0.5817805383022774,0.8509316770186336,0.796976241900648,0.5,0.5,0.5,0,483,1
2018-02-02,0.5134048257372654,0.31592689295039167,0.21855670103092784,0.8350515463917526,0.6198704103671706,0.21855670103092784,0.8350515463917526,0.6198704103671706,485,485,0
2018-02-09,0.5160857908847185,0.3220779220779221,0.2845360824742268,0.8123711340206186,0.6241900647948164,0.2845360824742268,0.8123711340206186,0.6241900647948164,485,485,0
2018-02-16,0.5026809651474531,0.34933333333333333,0.27835051546391754,0.7917525773195876,0.6004319654427646,0.27835051546391754,0.7917525773195876,0.6004319654427646,485,485,0
2018-02-23,0.4906166219839142,0.3469945355191257,0.27422680412371137,0.7546391752577319,0.5969827586206896,0.27422680412371137,0.7546391752577319,0.5969827586206896,485,485,0
2018-03-02,0.49463806970509383,0.36585365853658536,0.3230452674897119,0.7325102880658436,0.584051724137931,0.5,0.5,0.5,0,486,1
2018-03-09,0.43699731903485256,0.3773006134969325,0.1762295081967213,0.6926229508196722,0.45689655172413796,0.1762295081967213,0.6926229508196722,0.45689655172413796,488,488,0
2018-03-16,0.44638069705093836,0.3813813813813814,0.23155737704918034,0.6577868852459017,0.4849137931034483,0.23155737704918034,0.6577868852459017,0.4849137931034483,488,488,0
2018-03-23,0.3820375335120643,0.4245614035087719,0.12883435582822086,0.5930470347648262,0.38924731182795697,0.12883435582822086,0.5930470347648262,0.38924731182795697,489,489,0
2018-03-30,0.40884718498659517,0.43278688524590164,0.23373983739837398,0.5691056910569106,0.4344086021505376,0.5,0.5,0.5,0,492,1
2018-04-06,0.4691689008042895,0.39714285714285713,0.4908722109533469,0.5537525354969574,0.5106837606837606,0.4908722109533469,0.5537525354969574,0.5106837606837606,493,493,0
2018-04-13,0.4718498659517426,0.4034090909090909,0.5040485829959515,0.5526315789473685,0.509594882729211,0.5040485829959515,0.5526315789473685,0.509594882729211,494,494,0
2018-04-20,0.4718498659517426,0.39488636363636365,0.5748987854251012,0.5546558704453441,0.5543710021321961,0.5748987854251012,0.5546558704453441,0.5543710021321961,494,494,0
