Ticker,EntryDate,ExitDate,EntryPrice,ExitPrice,PnL
GODFRYPHLP,2025-05-12,2025-05-13,2867.638,2997.8034,9111.57799999999
FORCEMOT,2025-05-12,2025-05-14,10757.5,10417.5,-6120.0
CEATLTD,2025-05-12,2025-06-04,3750.0,3620.8,-6976.79999999999
BDL,2025-05-13,2025-07-18,1746.7,1671.6,-9087.100000000017
