DATES,360ONE,3MINDIA,ABB,ACC,ACMESOLAR,AIAENG,APLAPOLLO,AUBANK,AWL,AADHARHFC,AARTIIND,AAVAS,ABBOTINDIA,ACE,ADANIENSOL,ADANIENT,ADANIGREEN,ADANIPORTS,ADANIPOWER,ATGL,ABCAPITAL,ABFRL,ABREL,ABSLAMC,AEGISLOG,AFCONS,AFFLE,AJANTPHARM,AKUMS,APLLTD,ALIVUS,ALKEM,ALKYLAMINE,ALOKINDS,ARE&M,AMBER,AMBUJACEM,ANANDRATHI,ANANTRAJ,ANGELONE,APARINDS,APOLLOHOSP,APOLLOTYRE,APTUS,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ASTERDM,ASTRAZEN,ASTRAL,ATUL,AUROPHARMA,AIIL,DMART,AXISBANK,BASF,BEML,BLS,BSE,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BAJAJHLDNG,BAJAJHFL,BALKRISIND,BALRAMCHIN,BANDHANBNK,BANKBARODA,BANKINDIA,MAHABANK,BATAINDIA,BAYERCROP,BERGEPAINT,BDL,BEL,BHARATFORG,BHEL,BPCL,BHARTIARTL,BHARTIHEXA,BIKAJI,BIOCON,BSOFT,BLUEDART,BLUESTARCO,BBTC,BOSCHLTD,FIRSTCRY,BRIGADE,BRITANNIA,MAPMYINDIA,CCL,CESC,CGPOWER,CRISIL,CAMPUS,CANFINHOME,CANBK,CAPLIPOINT,CGCL,CARBORUNIV,CASTROLIND,CEATLTD,CENTRALBK,CDSL,CENTURYPLY,CERA,CHALET,CHAMBLFERT,CHENNPETRO,CHOLAHLDNG,CHOLAFIN,CIPLA,CUB,CLEAN,COALINDIA,COCHINSHIP,COFORGE,COHANCE,COLPAL,CAMS,CONCORDBIO,CONCOR,COROMANDEL,CRAFTSMAN,CREDITACC,CROMPTON,CUMMINSIND,CYIENT,DCMSHRIRAM,DLF,DOMS,DABUR,DALBHARAT,DATAPATTNS,DEEPAKFERT,DEEPAKNTR,DELHIVERY,DEVYANI,DIVISLAB,DIXON,LALPATHLAB,DRREDDY,EIDPARRY,EIHOTEL,EICHERMOT,ELECON,ELGIEQUIP,EMAMILTD,EMCURE,ENDURANCE,ENGINERSIN,ERIS,ESCORTS,ETERNAL,EXIDEIND,NYKAA,FEDERALBNK,FACT,FINCABLES,FINPIPE,FSL,FIVESTAR,FORTIS,GAIL,GVT&D,GMRAIRPORT,GRSE,GICRE,GILLETTE,GLAND,GLAXO,GLENMARK,MEDANTA,GODIGIT,GPIL,GODFRYPHLP,GODREJAGRO,GODREJCP,GODREJIND,GODREJPROP,GRANULES,GRAPHITE,GRASIM,GRAVITA,GESHIP,FLUOROCHEM,GUJGASLTD,GMDCLTD,GNFC,GPPL,GSPL,HEG,HBLENGINE,HCLTECH,HDFCAMC,HDFCBANK,HDFCLIFE,HFCL,HAPPSTMNDS,HAVELLS,HEROMOTOCO,HSCL,HINDALCO,HAL,HINDCOPPER,HINDPETRO,HINDUNILVR,HINDZINC,POWERINDIA,HOMEFIRST,HONASA,HONAUT,HUDCO,HYUNDAI,ICICIBANK,ICICIGI,ICICIPRULI,IDBI,IDFCFIRSTB,IFCI,IIFL,INOXINDIA,IRB,IRCON,ITC,ITI,INDGN,INDIACEM,INDIAMART,INDIANB,IEX,INDHOTEL,IOC,IOB,IRCTC,IRFC,IREDA,IGL,INDUSTOWER,INDUSINDBK,NAUKRI,INFY,INOXWIND,INTELLECT,INDIGO,IGIL,IKS,IPCALAB,JBCHEPHARM,JKCEMENT,JBMA,JKTYRE,JMFINANCIL,JSWENERGY,JSWHL,JSWINFRA,JSWSTEEL,JPPOWER,J&KBANK,JINDALSAW,JSL,JINDALSTEL,JIOFIN,JUBLFOOD,JUBLINGREA,JUBLPHARMA,JWL,JUSTDIAL,JYOTHYLAB,JYOTICNC,KPRMILL,KEI,KNRCON,KPITTECH,KAJARIACER,KPIL,KALYANKJIL,KANSAINER,KARURVYSYA,KAYNES,KEC,KFINTECH,KIRLOSBROS,KIRLOSENG,KOTAKBANK,KIMS,LTF,LTTS,LICHSGFIN,LTFOODS,LTIM,LT,LATENTVIEW,LAURUSLABS,LEMONTREE,LICI,LINDEINDIA,LLOYDSME,LUPIN,MMTC,MRF,LODHA,MGL,MAHSEAMLES,M&MFIN,M&M,MANAPPURAM,MRPL,MANKIND,MARICO,MARUTI,MASTEK,MFSL,MAXHEALTH,MAZDOCK,METROPOLIS,MINDACORP,MSUMI,MOTILALOFS,MPHASIS,MCX,MUTHOOTFIN,NATCOPHARM,NBCC,NCC,NHPC,NLCINDIA,NMDC,NSLNISP,NTPCGREEN,NTPC,NH,NATIONALUM,NAVA,NAVINFLUOR,NESTLEIND,NETWEB,NETWORK18,NEULANDLAB,NEWGEN,NAM-INDIA,NIVABUPA,NUVAMA,OBEROIRLTY,ONGC,OIL,OLAELEC,OLECTRA,PAYTM,OFSS,POLICYBZR,PCBL,PGEL,PIIND,PNBHOUSING,PNCINFRA,PTCIL,PVRINOX,PAGEIND,PATANJALI,PERSISTENT,PETRONET,PFIZER,PHOENIXLTD,PIDILITIND,PEL,PPLPHARMA,POLYMED,POLYCAB,POONAWALLA,PFC,POWERGRID,PRAJIND,PREMIERENE,PRESTIGE,PNB,RRKABEL,RBLBANK,RECLTD,RHIM,RITES,RADICO,RVNL,RAILTEL,RAINBOW,RKFORGE,RCF,RTNINDIA,RAYMONDLSL,RAYMOND,REDINGTON,RELIANCE,RPOWER,ROUTE,SBFC,SBICARD,SBILIFE,SJVN,SKFINDIA,SRF,SAGILITY,SAILIFE,SAMMAANCAP,MOTHERSON,SAPPHIRE,SARDAEN,SAREGAMA,SCHAEFFLER,SCHNEIDER,SCI,SHREECEM,RENUKA,SHRIRAMFIN,SHYAMMETL,SIEMENS,SIGNATURE,SOBHA,SOLARINDS,SONACOMS,SONATSOFTW,STARHEALTH,SBIN,SAIL,SWSOLAR,SUMICHEM,SUNPHARMA,SUNTV,SUNDARMFIN,SUNDRMFAST,SUPREMEIND,SUZLON,SWANENERGY,SWIGGY,SYNGENE,SYRMA,TBOTEK,TVSMOTOR,TANLA,TATACHEM,TATACOMM,TCS,TATACONSUM,TATAELXSI,TATAINVEST,TATAMOTORS,TATAPOWER,TATASTEEL,TATATECH,TTML,TECHM,TECHNOE,TEJASNET,NIACL,RAMCOCEM,THERMAX,TIMKEN,TITAGARH,TITAN,TORNTPHARM,TORNTPOWER,TARIL,TRENT,TRIDENT,TRIVENI,TRITURBINE,TIINDIA,UCOBANK,UNOMINDA,UPL,UTIAMC,ULTRACEMCO,UNIONBANK,UBL,UNITDSPR,USHAMART,VGUARD,DBREALTY,VTL,VBL,MANYAVAR,VEDL,VIJAYA,VMM,IDEA,VOLTAS,WAAREEENER,WELCORP,WELSPUNLIV,WESTLIFE,WHIRLPOOL,WIPRO,WOCKPHARMA,YESBANK,ZFCVINDIA,ZEEL,ZENTEC,ZENSARTECH,ZYDUSLIFE,ECLERX
24-06-2024, ? 848.45 ," ? 38,166.85 "," ? 8,465.30 "," ? 2,588.25 ", ? 253.15 ," ? 4,296.10 "," ? 1,618.80 ", ? 679.50 , ? 336.65 , ? 388.20 , ? 705.95 ," ? 1,879.40 "," ? 26,834.45 "," ? 1,478.75 "," ? 1,017.25 "," ? 3,194.60 "," ? 1,812.35 "," ? 1,460.25 ", ? 738.45 , ? 911.75 , ? 239.35 , ? 116.07 ," ? 2,329.50 ", ? 655.40 , ? 805.40 ,#N/A," ? 1,316.80 "," ? 2,329.20 ", ? 796.25 , ? 902.55 , ? 833.55 ," ? 5,005.75 "," ? 2,107.45 ", ? 28.32 ," ? 1,380.05 "," ? 4,108.90 ", ? 657.75 ," ? 1,944.73 ", ? 449.20 ," ? 2,577.85 "," ? 8,470.70 "," ? 6,259.55 ", ? 499.15 , ? 340.00 , ? 708.85 , ? 240.30 ," ? 2,896.05 ", ? 364.25 ," ? 6,317.55 "," ? 2,384.40 "," ? 6,462.15 "," ? 1,218.65 "," ? 1,145.00 "," ? 4,833.70 "," ? 1,228.10 "," ? 5,277.35 "," ? 4,500.00 ", ? 353.20 , ? 832.64 ," ? 9,745.25 ", ? 708.19 ," ? 1,587.65 "," ? 8,724.80 ", ? 165.00 ," ? 3,223.00 ", ? 442.70 , ? 207.94 , ? 280.60 , ? 120.51 , ? 66.01 ," ? 1,454.85 "," ? 6,595.65 ", ? 502.80 ," ? 1,553.00 ", ? 309.75 ," ? 1,743.10 ", ? 294.70 , ? 305.25 ," ? 1,419.80 "," ? 1,120.30 ", ? 726.25 , ? 342.20 , ? 685.25 ," ? 7,700.65 "," ? 1,693.85 "," ? 2,014.40 "," ? 33,015.50 ", ? 679.10 ," ? 1,420.65 "," ? 5,297.75 "," ? 2,406.50 ", ? 594.70 , ? 152.07 , ? 701.75 ," ? 4,219.20 ", ? 283.45 , ? 882.65 , ? 118.27 ," ? 1,420.85 ", ? 216.56 ," ? 1,689.95 ", ? 208.21 ," ? 2,465.55 ", ? 64.14 ," ? 1,016.33 ", ? 701.45 ," ? 9,142.25 ", ? 842.15 , ? 521.80 , ? 968.15 ," ? 1,287.75 "," ? 1,434.75 "," ? 1,504.40 ", ? 162.26 ," ? 1,465.30 ", ? 473.70 ," ? 2,143.15 "," ? 1,070.33 ", ? 699.30 ," ? 2,832.75 "," ? 3,648.12 "," ? 1,522.00 "," ? 1,049.35 "," ? 1,531.85 "," ? 4,830.75 "," ? 1,407.70 ", ? 431.05 ," ? 4,042.50 "," ? 1,872.65 "," ? 1,002.55 ", ? 840.45 ," ? 2,026.75 ", ? 599.75 ," ? 1,818.60 "," ? 2,992.60 ", ? 678.05 ," ? 2,509.00 ", ? 392.45 , ? 170.07 ," ? 4,519.55 "," ? 11,605.15 "," ? 2,689.65 "," ? 1,210.99 ", ? 772.80 , ? 448.10 ," ? 4,870.90 ", ? 657.25 , ? 769.20 , ? 718.28 ," ? 1,359.15 "," ? 2,667.30 ", ? 247.59 ," ? 1,040.20 "," ? 4,249.65 ", ? 198.92 , ? 573.85 , ? 176.48 , ? 175.84 ," ? 1,021.00 "," ? 1,611.75 ", ? 332.90 , ? 213.96 , ? 799.40 , ? 485.00 , ? 212.65 ," ? 1,593.45 ", ? 96.91 ," ? 1,753.10 ", ? 396.85 ," ? 7,458.00 "," ? 1,823.20 "," ? 2,626.27 "," ? 1,219.85 "," ? 1,310.20 ", ? 332.45 , ? 226.73 ," ? 4,324.35 ", ? 631.05 ," ? 1,380.80 ", ? 832.25 ," ? 3,111.25 ", ? 487.60 , ? 584.80 ," ? 2,515.10 "," ? 1,497.40 "," ? 1,198.55 "," ? 3,305.20 ", ? 607.80 , ? 396.85 , ? 706.95 , ? 213.78 , ? 301.70 , ? 450.69 , ? 498.35 ," ? 1,436.02 "," ? 3,968.90 "," ? 1,672.40 ", ? 579.50 , ? 116.75 , ? 917.35 ," ? 1,911.85 "," ? 5,524.45 ", ? 392.10 , ? 685.25 ," ? 5,325.05 ", ? 332.00 , ? 337.95 ," ? 2,432.50 ", ? 659.50 ," ? 11,605.35 "," ? 1,011.95 ", ? 455.40 ," ? 57,206.75 ", ? 275.30 ,#N/A," ? 1,170.10 "," ? 1,771.50 ", ? 605.40 , ? 85.65 , ? 82.94 , ? 60.97 , ? 470.65 ," ? 1,302.35 ", ? 66.32 , ? 279.45 , ? 400.45 , ? 312.35 , ? 568.15 , ? 234.52 ," ? 2,642.30 ", ? 541.70 , ? 182.69 , ? 648.15 , ? 166.30 , ? 65.86 ," ? 1,010.25 ", ? 176.87 , ? 189.64 , ? 237.28 , ? 339.85 ," ? 1,490.40 "," ? 1,318.82 "," ? 1,527.15 ", ? 139.24 ," ? 1,066.00 "," ? 4,315.65 ", ? 471.15 ," ? 1,960.85 "," ? 1,125.40 "," ? 1,753.85 "," ? 4,223.35 "," ? 1,031.75 ", ? 392.40 , ? 82.78 , ? 747.10 ," ? 7,413.10 ", ? 323.95 , ? 935.35 , ? 20.14 , ? 118.16 , ? 282.93 , ? 800.90 ," ? 1,070.90 ", ? 355.35 , ? 569.60 , ? 525.75 , ? 732.80 , ? 681.35 ," ? 1,019.55 ", ? 429.05 ," ? 1,232.80 ", ? 892.00 ," ? 4,472.85 ", ? 348.15 ," ? 1,609.50 "," ? 1,399.75 "," ? 1,173.35 ", ? 446.10 , ? 277.25 , ? 209.77 ," ? 3,887.40 ", ? 876.15 , ? 690.65 ," ? 2,165.50 "," ? 1,402.55 "," ? 1,772.55 ", ? 410.96 , ? 180.51 ," ? 4,824.30 ", ? 733.90 , ? 268.64 ," ? 5,111.20 "," ? 3,531.60 ", ? 514.10 , ? 429.35 , ? 147.04 ," ? 1,015.45 "," ? 8,304.25 ", ? 728.60 ," ? 1,566.75 ", ? 83.69 ," ? 1,25,245.30 "," ? 1,548.95 "," ? 1,487.20 ", ? 678.70 , ? 297.09 ," ? 2,915.80 ", ? 193.66 , ? 224.36 ," ? 2,165.00 ", ? 623.05 ," ? 12,183.40 "," ? 2,709.40 ", ? 988.00 , ? 897.85 ," ? 1,982.63 "," ? 1,936.20 ", ? 492.70 , ? 76.00 , ? 647.80 ," ? 2,394.20 "," ? 3,828.40 "," ? 1,731.60 "," ? 1,196.15 ", ? 108.67 , ? 322.05 , ? 99.81 , ? 233.77 , ? 88.00 , ? 57.87 , ? 121.65 , ? 362.75 ," ? 1,187.30 ", ? 189.98 , ? 375.78 ," ? 3,657.75 "," ? 2,530.05 "," ? 2,589.50 ", ? 82.70 ," ? 6,704.85 "," ? 1,000.30 ", ? 651.35 , ? 74.02 ," ? 4,977.55 "," ? 1,906.90 ", ? 269.90 , ? 466.04 , ? 91.20 ," ? 1,737.95 ", ? 410.70 ," ? 9,782.05 "," ? 1,285.05 ", ? 274.26 , ? 328.66 ," ? 3,803.10 ", ? 768.40 , ? 475.65 ," ? 13,651.45 "," ? 1,421.10 "," ? 40,307.45 "," ? 1,459.90 "," ? 3,968.10 ", ? 324.30 ," ? 4,607.50 "," ? 1,799.83 "," ? 3,107.10 ", ? 869.40 , ? 156.99 ," ? 2,041.90 "," ? 7,260.60 ", ? 417.25 , ? 487.75 , ? 332.95 , ? 681.45 , ? 839.90 ," ? 2,056.80 ", ? 125.07 ," ? 1,752.75 ", ? 256.62 , ? 521.50 , ? 650.20 , ? 353.18 ," ? 1,832.95 ", ? 416.60 , ? 494.95 ," ? 1,270.55 ", ? 896.80 , ? 194.29 , ? 84.93 ,#N/A, ? 529.15 , ? 216.77 ," ? 1,441.48 ", ? 29.70 ," ? 1,750.05 ", ? 85.62 , ? 729.95 ," ? 1,452.75 ", ? 131.19 ," ? 6,683.00 "," ? 2,420.25 ", ? 29.32 , ? 764.65 , ? 174.68 , ? 188.28 , ? 316.87 , ? 234.00 , ? 543.55 ," ? 4,652.95 ", ? 886.85 , ? 260.94 ," ? 27,318.80 ", ? 50.02 , ? 576.45 , ? 653.80 ," ? 3,952.42 "," ? 1,409.65 "," ? 1,993.50 "," ? 10,001.20 ", ? 637.55 , ? 588.35 , ? 520.65 , ? 832.70 , ? 149.85 , ? 743.60 , ? 488.50 ," ? 1,494.50 ", ? 755.90 ," ? 4,753.65 "," ? 1,329.85 "," ? 5,958.05 ", ? 54.70 , ? 624.75 , ? 456.00 , ? 707.05 , ? 499.80 ," ? 1,699.85 "," ? 2,439.70 ", ? 948.05 ," ? 1,103.45 "," ? 1,849.35 "," ? 3,756.91 "," ? 1,101.95 "," ? 7,250.70 "," ? 6,801.55 ", ? 958.05 , ? 435.60 , ? 177.96 , ? 995.20 , ? 77.38 ," ? 1,401.70 "," ? 1,506.80 "," ? 1,419.45 ", ? 245.47 , ? 855.20 ," ? 5,198.25 "," ? 4,446.20 "," ? 1,609.80 "," ? 3,412.35 "," ? 2,840.45 "," ? 1,491.00 ", ? 372.43 ," ? 5,395.75 ", ? 38.54 , ? 400.35 , ? 586.55 ," ? 4,288.15 ", ? 56.20 ," ? 1,076.65 ", ? 548.78 ," ? 1,018.30 "," ? 10,786.00 ", ? 141.49 ," ? 2,082.30 "," ? 1,298.35 ", ? 397.40 , ? 419.95 , ? 196.04 , ? 476.45 , ? 631.30 ," ? 1,092.70 ", ? 463.35 , ? 764.10 , ? 111.93 , ? 17.26 ," ? 1,512.60 "," ? 2,338.90 ", ? 512.35 , ? 145.96 , ? 838.30 ," ? 1,829.40 ", ? 245.28 , ? 590.90 , ? 23.96 ," ? 15,995.15 ", ? 151.13 ," ? 1,182.90 ", ? 753.50 ," ? 1,080.35 "," ? 2,362.45 "
25-06-2024, ? 836.60 ," ? 37,862.90 "," ? 8,399.65 "," ? 2,569.70 ", ? 228.85 ," ? 4,208.05 "," ? 1,624.95 ", ? 682.20 , ? 335.20 , ? 390.30 , ? 695.20 ," ? 1,855.15 "," ? 26,855.60 "," ? 1,494.90 "," ? 1,014.20 "," ? 3,171.10 "," ? 1,797.10 "," ? 1,456.15 ", ? 725.30 , ? 889.50 , ? 237.52 , ? 115.98 ," ? 2,290.30 ", ? 656.85 , ? 821.40 , ? 474.20 ," ? 1,290.10 "," ? 2,331.35 ", ? 793.75 , ? 907.50 , ? 825.85 ," ? 5,092.70 "," ? 2,120.65 ", ? 27.96 ," ? 1,646.20 "," ? 4,051.55 ", ? 648.80 ," ? 1,940.33 ", ? 442.05 ," ? 2,557.80 "," ? 8,509.25 "," ? 6,295.35 ", ? 519.25 , ? 335.85 , ? 701.40 , ? 241.86 ," ? 2,858.45 ", ? 354.70 ," ? 6,328.95 "," ? 2,385.45 "," ? 6,368.30 "," ? 1,217.95 "," ? 1,149.80 "," ? 4,783.35 "," ? 1,271.45 "," ? 5,217.90 "," ? 4,520.30 ", ? 352.35 , ? 840.17 ," ? 9,659.95 ", ? 707.45 ," ? 1,603.35 "," ? 8,611.55 ", ? 181.50 ," ? 3,184.65 ", ? 440.70 , ? 203.45 , ? 280.65 , ? 123.30 , ? 64.98 ," ? 1,459.25 "," ? 6,366.35 ", ? 500.05 ," ? 1,545.35 ", ? 309.70 ," ? 1,719.45 ", ? 293.90 , ? 296.30 ," ? 1,414.95 "," ? 1,160.85 ", ? 720.20 , ? 339.25 , ? 695.75 ," ? 7,662.50 "," ? 1,674.45 "," ? 1,943.15 "," ? 33,817.95 ", ? 641.95 ," ? 1,390.70 "," ? 5,352.05 "," ? 2,413.90 ", ? 595.55 , ? 151.46 , ? 692.10 ," ? 4,203.70 ", ? 288.65 , ? 899.60 , ? 118.05 ," ? 1,402.55 ", ? 214.50 ," ? 1,716.30 ", ? 203.46 ," ? 2,476.45 ", ? 63.31 ," ? 1,017.58 ", ? 702.25 ," ? 9,002.00 ", ? 830.50 , ? 506.70 , ? 958.95 ," ? 1,298.20 "," ? 1,431.35 "," ? 1,499.70 ", ? 168.23 ," ? 1,460.95 ", ? 469.25 ," ? 2,188.55 "," ? 1,070.13 ", ? 720.60 ," ? 2,831.15 "," ? 3,676.51 "," ? 1,541.25 "," ? 1,051.40 "," ? 1,525.35 "," ? 5,463.80 "," ? 1,359.10 ", ? 430.10 ," ? 4,006.80 "," ? 1,866.40 ", ? 995.75 , ? 824.65 ," ? 2,005.25 ", ? 593.35 ," ? 1,816.60 "," ? 2,971.65 ", ? 673.85 ," ? 2,459.75 ", ? 395.95 , ? 167.43 ," ? 4,539.30 "," ? 11,684.25 "," ? 2,718.95 "," ? 1,215.68 ", ? 767.50 , ? 442.90 ," ? 4,775.05 ", ? 666.30 , ? 743.30 , ? 709.01 ," ? 1,361.95 "," ? 2,664.90 ", ? 252.78 ," ? 1,014.75 "," ? 4,198.70 ", ? 202.27 , ? 579.65 , ? 175.55 , ? 176.00 , ? 999.05 ," ? 1,641.70 ", ? 334.70 , ? 212.57 , ? 794.10 , ? 484.90 , ? 213.15 ," ? 1,571.10 ", ? 95.07 ," ? 1,946.05 ", ? 390.35 ," ? 7,499.20 "," ? 1,823.30 "," ? 2,629.55 "," ? 1,213.35 "," ? 1,280.10 ", ? 331.00 , ? 224.60 ," ? 4,413.65 ", ? 674.00 ," ? 1,375.50 ", ? 842.85 ," ? 3,077.20 ", ? 487.80 , ? 585.85 ," ? 2,516.95 "," ? 1,490.70 "," ? 1,189.70 "," ? 3,332.25 ", ? 612.90 , ? 399.35 , ? 694.65 , ? 213.02 , ? 301.25 , ? 439.52 , ? 504.00 ," ? 1,443.10 "," ? 4,113.60 "," ? 1,711.35 ", ? 590.95 , ? 115.09 , ? 830.55 ," ? 1,916.85 "," ? 5,510.00 ", ? 400.60 , ? 685.50 ," ? 5,371.65 ", ? 329.55 , ? 334.65 ," ? 2,422.54 ", ? 663.90 ," ? 11,414.90 "," ? 1,012.55 ", ? 453.25 ," ? 57,904.10 ", ? 275.15 ," ? 1,819.60 "," ? 1,197.95 "," ? 1,780.30 ", ? 600.35 , ? 84.95 , ? 82.91 , ? 61.99 , ? 460.10 ," ? 1,295.55 ", ? 65.71 , ? 271.90 , ? 400.45 , ? 306.30 , ? 574.10 , ? 229.38 ," ? 2,679.65 ", ? 532.55 , ? 179.47 , ? 659.75 , ? 164.37 , ? 64.28 , ? 995.10 , ? 175.61 , ? 185.05 , ? 236.98 , ? 344.20 ," ? 1,495.55 "," ? 1,329.72 "," ? 1,541.95 ", ? 142.92 ," ? 1,075.45 "," ? 4,233.50 ", ? 482.20 ," ? 1,885.80 "," ? 1,101.75 "," ? 1,744.40 "," ? 4,333.85 "," ? 1,074.00 ", ? 401.35 , ? 82.70 , ? 720.10 ," ? 7,258.30 ", ? 318.15 , ? 929.90 , ? 19.95 , ? 117.04 , ? 279.20 , ? 811.95 ," ? 1,064.05 ", ? 359.05 , ? 558.75 , ? 529.70 , ? 725.50 , ? 656.45 ," ? 1,028.25 ", ? 419.05 ," ? 1,349.35 ", ? 891.00 ," ? 4,500.00 ", ? 344.35 ," ? 1,579.05 "," ? 1,437.45 "," ? 1,184.30 ", ? 438.15 , ? 274.85 , ? 206.69 ," ? 4,030.30 ", ? 857.25 , ? 687.30 ," ? 2,118.85 "," ? 1,375.75 "," ? 1,781.90 ", ? 425.62 , ? 185.51 ," ? 4,834.85 ", ? 769.85 , ? 263.43 ," ? 5,123.85 "," ? 3,587.80 ", ? 502.30 , ? 427.40 , ? 150.74 ," ? 1,007.65 "," ? 8,267.45 ", ? 726.15 ," ? 1,558.85 ", ? 82.44 ," ? 1,26,954.85 "," ? 1,480.30 "," ? 1,495.80 ", ? 662.55 , ? 297.77 ," ? 2,909.40 ", ? 193.10 , ? 215.95 ," ? 2,128.20 ", ? 615.05 ," ? 12,116.60 "," ? 2,687.75 ", ? 979.65 , ? 893.45 ," ? 1,987.03 "," ? 1,935.65 ", ? 481.25 , ? 75.61 , ? 632.80 ," ? 2,408.30 "," ? 3,941.60 "," ? 1,780.80 "," ? 1,192.95 ", ? 106.52 , ? 323.90 , ? 99.88 , ? 233.84 , ? 86.02 , ? 57.63 , ? 127.75 , ? 360.85 ," ? 1,189.15 ", ? 188.47 , ? 366.78 ," ? 3,536.85 "," ? 2,515.45 "," ? 2,558.80 ", ? 80.86 ," ? 7,342.05 "," ? 1,012.65 ", ? 672.40 , ? 72.57 ," ? 4,998.40 "," ? 1,829.30 ", ? 267.00 , ? 466.17 , ? 109.44 ," ? 1,808.20 ", ? 412.80 ," ? 9,727.05 "," ? 1,326.30 ", ? 270.56 , ? 327.28 ," ? 3,784.40 ", ? 781.60 , ? 489.80 ," ? 13,459.70 "," ? 1,428.10 "," ? 40,455.85 "," ? 1,528.55 "," ? 3,974.20 ", ? 318.20 ," ? 4,605.35 "," ? 1,852.45 "," ? 3,138.60 ", ? 880.40 , ? 159.75 ," ? 1,993.50 "," ? 7,227.60 ", ? 424.70 , ? 483.70 , ? 327.40 , ? 683.80 , ? 841.90 ," ? 1,989.80 ", ? 124.13 ," ? 1,761.50 ", ? 253.72 , ? 521.55 , ? 643.90 , ? 348.88 ," ? 1,818.85 ", ? 407.15 , ? 474.95 ," ? 1,271.40 ", ? 919.15 , ? 189.18 , ? 86.20 ," ? 2,869.00 ", ? 563.32 , ? 216.98 ," ? 1,454.15 ", ? 29.55 ," ? 1,681.75 ", ? 84.93 , ? 732.00 ," ? 1,462.00 ", ? 129.34 ," ? 6,612.80 "," ? 2,393.85 ", ? 28.58 , ? 736.40 , ? 173.61 , ? 192.89 , ? 315.03 , ? 233.45 , ? 552.10 ," ? 4,758.75 ", ? 893.30 , ? 260.79 ," ? 27,217.55 ", ? 51.51 , ? 597.97 , ? 661.45 ," ? 3,934.75 "," ? 1,413.10 "," ? 2,046.95 "," ? 9,993.25 ", ? 633.90 , ? 576.45 , ? 524.95 , ? 842.25 , ? 147.01 , ? 720.60 , ? 480.75 ," ? 1,505.20 ", ? 750.50 ," ? 4,879.20 "," ? 1,350.05 "," ? 5,887.95 ", ? 53.60 , ? 627.75 , ? 430.70 , ? 702.15 , ? 491.30 ," ? 1,864.65 "," ? 2,414.70 ", ? 947.85 ," ? 1,097.05 "," ? 1,837.50 "," ? 3,778.22 "," ? 1,094.60 "," ? 7,106.05 "," ? 6,733.90 ", ? 955.00 , ? 430.75 , ? 175.68 , ? 996.50 , ? 77.42 ," ? 1,427.75 "," ? 1,556.80 "," ? 1,411.50 ", ? 238.71 , ? 851.25 ," ? 5,115.65 "," ? 4,503.35 "," ? 1,618.15 "," ? 3,402.45 "," ? 2,830.45 "," ? 1,512.85 ", ? 374.75 ," ? 5,338.80 ", ? 38.28 , ? 400.80 , ? 597.20 ," ? 4,205.70 ", ? 55.60 ," ? 1,052.80 ", ? 547.82 ," ? 1,020.15 "," ? 10,846.20 ", ? 140.21 ," ? 1,996.00 "," ? 1,281.90 ", ? 393.60 , ? 423.15 , ? 193.19 , ? 478.90 , ? 635.54 ," ? 1,107.55 ", ? 454.05 , ? 770.60 , ? 105.13 , ? 17.19 ," ? 1,504.50 "," ? 2,380.20 ", ? 541.75 , ? 145.11 , ? 879.85 ," ? 1,845.65 ", ? 248.43 , ? 620.40 , ? 24.02 ," ? 15,673.80 ", ? 148.73 ," ? 1,175.65 ", ? 751.30 ," ? 1,071.75 "," ? 2,365.90 "
