Date,Equity,Nifty,Net_Return,Holdings,Cash_Wt,Regime_Score
2020-04-10,2002242.3679656426,2046427.8755383552,0.00112118398282135,0,1.0,0.12616233766233764
2020-04-17,2004487.250038332,2013921.6437214867,0.00112118398282135,0,1.0,0.14575082997499517
2020-04-24,2006734.6490368447,2153527.779457513,0.00112118398282135,0,1.0,0.13128571428571428
2020-05-01,2008984.5677831175,2029657.4012483791,0.00112118398282135,0,1.0,0.35371576266020877
2020-05-08,2011237.0091022511,2016770.474289976,0.00112118398282135,0,1.0,0.15547418012977884
2020-05-15,2013491.9758225142,1993106.367539457,0.00112118398282135,0,1.0,0.15732719380977395
2020-05-22,2015749.4707753456,2102329.456504942,0.00112118398282135,0,1.0,0.16404546759388688
2020-05-29,2018009.4967953595,2230513.3942069304,0.00112118398282135,0,1.0,0.3570323722548576
2020-06-05,2018235.9145758632,2202844.7992044776,0.00011219857035525888,14,0.330852266148599,0.46416666666666667
2020-06-12,2077323.2069670227,2258477.622570263,0.029276702472900384,14,0.33398906225417246,0.43714787207307026
2020-06-19,2091156.0838971492,2300296.305254883,0.00665899118814686,14,0.33138356102207256,0.4643163265306122
2020-06-26,2079411.7426897136,2337183.285964806,-0.00561619541356685,14,0.3314859550969762,0.4717558139534883
2020-07-03,2071482.7514847603,2368816.055579072,-0.0038130934062616598,14,0.33886161836748696,0.4749999999999999
2020-07-10,2086963.3803276801,2390679.4864042243,0.007473211559122912,14,0.30772504126683087,0.4763877005347594
2020-07-17,2142512.3350114515,2441918.122996916,0.026617119977950528,14,0.31342674801363324,0.4730195530726257
2020-07-24,2185211.3700884474,2428426.4914367106,0.01992942321929153,15,0.2690035825664423,0.5228127307629096
2020-07-31,2252423.3197349394,2472207.104607177,0.03075764228875089,16,0.2128130383757727,0.569819253004482
2020-08-07,2258314.3820533133,2476440.036819791,0.0026154330168573193,17,0.19419944625141006,0.6222241038766078
2020-08-14,2307864.106635531,2532650.6890272987,0.02194102157608635,18,0.15591916290877517,0.6649641392811144
2020-08-21,2334830.9510103175,2591105.4672014937,0.011684762676126356,19,0.11172872088148278,0.7187999916369422
2020-08-28,2371730.356332362,2520395.342430778,0.0158038873461386,20,0.10636528851035465,0.7531629213483146
2020-09-04,2390977.3967281245,2538791.800205599,0.008115189125262,19,0.10972968449327758,0.680683411648661
2020-09-11,2602906.36565369,2569188.2848561807,0.08863696043951493,18,0.15167147890983979,0.6826183738324622
2020-09-18,2484226.232374176,2460771.4686930985,-0.045595237249231056,19,0.12965146699312025,0.7023969134385202
2020-09-25,2565073.0861663437,2542903.7914978527,0.03254407861030522,17,0.1820631605034656,0.5462988928698771
2020-10-02,2561273.8104747226,2620426.9214488715,-0.0014811568965075505,18,0.13944622415591712,0.6519095023944766
2020-10-09,2578301.263950476,2587127.85470964,0.006648041066955308,19,0.11518375775532663,0.7314236535837949
2020-10-16,2607330.7226281287,2628543.4009930585,0.011259141467888017,19,0.12396458571527103,0.658229118200438
2020-10-23,2620658.3091031513,2575141.26571392,0.005111582646327558,19,0.11284234265108761,0.690271968525703
2020-10-30,2636053.9417580087,2696579.387635805,0.0058747195700329284,18,0.149411344239901,0.6019940592213878
2020-11-06,2702904.870750711,2791638.951039083,0.02536022800357352,19,0.11402737462798784,0.7470330578512396
2020-11-13,2709210.027870538,2838228.081137918,0.0023327336407797427,20,0.0892739582419595,0.751029411764706
2020-11-20,2869990.008972976,2880826.1608648603,0.05934570574021238,20,0.08478826015730379,0.7574530685920577
2020-11-27,2982460.1450409493,2950649.385552934,0.03918833714275575,20,0.08379966691280327,0.7665479452054794
2020-12-04,2966100.3301538997,3002398.6615871466,-0.0054853423319844935,20,0.07557298835921045,0.7734320388349514
2020-12-11,2989987.1698661586,3051742.5570941917,0.008053281094176358,20,0.09784431248013148,0.7763878504672896
2020-12-18,3006178.664919235,3043747.018470365,0.005415238973684471,20,0.07441297563258686,0.7795550458715595
2020-12-25,3112421.33523382,3110828.9156302693,0.035341435808320304,20,0.08022523545190297,0.7750886075949367
2021-01-01,3246511.638698849,3205095.644111184,0.04308231085138589,20,0.08209053591937876,0.7804846625766871
2021-01-08,3249140.6251841346,3206600.686675669,0.0008097880980766199,20,0.10239668227778498,0.7872155425219941
2021-01-15,3224343.7036356144,3185986.97869424,-0.007631840049125314,20,0.10119567279902042,0.7863141592920354
2021-01-22,3184269.1291815154,3037605.9072920643,-0.012428753922515384,20,0.09366379489313181,0.779489590174707
2021-01-29,3501908.766664215,3300303.0241949013,0.0997527610250538,18,0.1615072834112572,0.5882271765990366
2021-02-05,3628983.6937880046,3361767.8874980663,0.03628733230672841,20,0.09135514614037121,0.7881734104046242
2021-02-12,3754461.526879214,3343022.0448422036,0.034576576716505845,20,0.09761132967088482,0.7886551724137931
2021-02-19,3807907.788028728,3273843.8383960524,0.014235399874756473,20,0.09432768593857754,0.7935254237288135
2021-02-26,4068754.6888489146,3369951.556442453,0.06850137013302537,19,0.1210823232922148,0.6956415275497829
2021-03-05,4167540.1949237483,3384706.3487264225,0.024279051854753354,20,0.12199214946955939,0.7689519365313546
2021-03-12,4183907.9697393854,3309615.475062652,0.003927442580055635,20,0.11062985894452715,0.7530119320491331
2021-03-19,4240460.243180209,3265109.2163700233,0.013516615052206025,19,0.12325087304275728,0.6584373658189767
2021-03-26,4454922.277408853,3353826.1003944,0.050575178619716187,18,0.14573585939840428,0.6092528037427984
2021-04-02,4570664.860325986,3366833.968273163,0.025980831024610535,18,0.1520222583515597,0.6965324966956834
2021-04-09,4424336.846297675,3305194.412529477,-0.03201460148576163,19,0.11607620433179755,0.7024088386623469
2021-04-16,4427624.683672844,3253472.0122553445,0.0007431254647623843,18,0.13737130175303447,0.6360915341635542
2021-04-23,4624834.531773763,3323013.0414625765,0.044540777999576765,18,0.13506105292967474,0.588135839222079
2021-04-30,4812115.2597107,3376428.6146217547,0.04049457913580957,18,0.14878672387656222,0.6549047405127191
2021-05-07,4581179.903004941,3351985.110828913,-0.047990404269668954,19,0.12877166707800847,0.7031608739761763
2021-05-14,4722076.706394451,3471770.3735058727,0.030755570916804927,18,0.14922110603914074,0.6631016433468834
2021-05-21,4755441.740631749,3525306.887585411,0.007065754394060753,20,0.08329746984999264,0.7668362698657615
2021-05-28,4904072.3358073635,3599712.429367139,0.03125484513997423,20,0.08764541281696969,0.7896796128412988
2021-06-04,4997603.739450082,3645387.783623252,0.01907219087283733,21,0.08221043374641612,0.8050481283422459
2021-06-11,4926575.552383342,3597737.061001253,-0.014212448759404136,21,0.08420952292512962,0.8079960212201591
2021-06-18,5062502.83401826,3638816.66028367,0.02759062155641967,19,0.11954351775799466,0.749344551277165
2021-06-25,5302607.610390278,3626736.0061276695,0.04742807742419342,20,0.09887530469552508,0.7626625763152358
2021-07-02,5357420.01333877,3635739.3857544996,0.010336877056693715,19,0.1311023817547805,0.7278005373243006
2021-07-09,5411415.63888079,3693361.015366212,0.010078662006634393,19,0.13127598620242287,0.714610695422195
2021-07-16,5313046.474188833,3678485.2821618826,-0.018178083380840163,19,0.11802569674621266,0.7486970294772861
2021-07-23,5394288.469536832,3672371.046743662,0.015291037965257636,19,0.11669672090145389,0.7184387882228417
2021-07-30,5367852.781213165,3750418.2540162425,-0.004900681243310697,18,0.14874748734877286,0.6993907771656438
2021-08-06,5406733.470704583,3780156.282544861,0.007243248106113612,19,0.11674559510609928,0.7499295753351626
2021-08-13,5343766.342070907,3747542.5476876725,-0.011646057453146537,19,0.12097976282304745,0.7487608799912292
2021-08-20,5382946.481026443,3814342.249366735,0.007331933405672011,19,0.12425207076404443,0.6837631339628906
