Rebalance_Date,State,Regime,Exposure,Eligible_Count,Turnover_Pct,Gross_Return,Net_Return,Nifty_Return,Equity,Nifty_Equity,Top20_Tickers
2023-12-22,Bull,Bull (exp=1.00),1.0,634,2.9621797841899102,0.018800051698370564,0.01868156450700297,0.019651319621930563,21532786.08132747,4521430.025889401,"TITAGARH, AURIONPRO, PFC, JAIBALAJI, ANANDRATHI, RECLTD, BSE, SUZLON, CUPID, BSOFT, MAHSEAMLES, ELECTCAST, TRENT, TVSMOTOR, PRESTIGE, NEWGEN, ASHAPURMIN, HBLENGINE, V2RETAIL, DIACABS"
2023-12-29,Bull,Bull (exp=1.00),1.0,638,1.1365255874641877,0.053732893540889295,0.05368743251739073,0.008309679013235094,22688826.08098015,4559001.658085345,"TITAGARH, AURIONPRO, PFC, JAIBALAJI, ANANDRATHI, RECLTD, BSE, SUZLON, CUPID, BSOFT, MAHSEAMLES, ELECTCAST, TRENT, TVSMOTOR, PRESTIGE, NEWGEN, ASHAPURMIN, HBLENGINE, V2RETAIL, DIACABS"
2024-01-05,Bull,Bull (exp=1.00),1.0,642,3.869703030627082,0.024459294345855764,0.02430450622463068,0.007911957775667888,23240266.795694895,4595072.2867033165,"AURIONPRO, PFC, JAIBALAJI, ANANDRATHI, RECLTD, BSE, SUZLON, CUPID, BSOFT, MAHSEAMLES, ELECTCAST, TRENT, TVSMOTOR, PRESTIGE, NEWGEN, ASHAPURMIN, HBLENGINE, V2RETAIL, DIACABS, INOXWIND"
2024-01-12,Bull,Bull (exp=1.00),1.0,641,1.8775600246178623,0.012986509707647444,0.01291140730666273,-0.007049671825621773,23540331.346209623,4562678.535067049,"AURIONPRO, PFC, JAIBALAJI, ANANDRATHI, RECLTD, BSE, SUZLON, CUPID, BSOFT, MAHSEAMLES, ELECTCAST, TRENT, TVSMOTOR, PRESTIGE, NEWGEN, ASHAPURMIN, HBLENGINE, V2RETAIL, DIACABS, INOXWIND"
2024-01-19,Bull,Bull (exp=1.00),1.0,640,4.904942540458033,0.01789381766429182,0.017697619962673498,-0.01088420107719934,23956939.18417025,4513017.424440757,"AURIONPRO, PFC, JAIBALAJI, ANANDRATHI, RECLTD, BSE, SUZLON, CUPID, BSOFT, MAHSEAMLES, ELECTCAST, TRENT, TVSMOTOR, PRESTIGE, NEWGEN, HBLENGINE, V2RETAIL, DIACABS, INOXWIND, IRFC"
2024-01-26,Correction,Correction (exp=0.50),0.5011072646899138,637,25.057956968577432,0.02149448641288262,0.020492168134139524,0.026700355798483955,24447868.80991162,4633516.595398083,"AURIONPRO, PFC, JAIBALAJI, ANANDRATHI, RECLTD, BSE, SUZLON, CUPID, BSOFT, MAHSEAMLES, ELECTCAST, TRENT, NEWGEN, HBLENGINE, V2RETAIL, DIACABS, INOXWIND, IRFC, GVT&D, TARIL"
2024-02-02,Bull,Bull (exp=1.00),1.0,635,24.03765473102893,0.024323152654894716,0.023361646465653557,0.002546356751109924,25019011.277887456,4645315.181662155,"AURIONPRO, PFC, JAIBALAJI, ANANDRATHI, RECLTD, BSE, SUZLON, CUPID, BSOFT, ELECTCAST, TRENT, NEWGEN, HBLENGINE, V2RETAIL, DIACABS, INOXWIND, IRFC, GVT&D, TARIL, MEDANTA"
2024-02-09,Bull,Bull (exp=1.00),1.0,631,5.642410839404404,0.002010764023822397,0.001785067590246221,0.010189615008892261,25063671.90405962,4692649.154958255,"AURIONPRO, PFC, JAIBALAJI, ANANDRATHI, RECLTD, BSE, SUZLON, CUPID, BSOFT, ELECTCAST, TRENT, HBLENGINE, V2RETAIL, DIACABS, INOXWIND, IRFC, GVT&D, TARIL, MEDANTA, WEBELSOLAR"
2024-02-16,Bull,Bull (exp=1.00),1.0,629,1.7382100815656287,0.017874734041988763,0.01780520563872614,0.007369240611160954,25509935.736372963,4727230.415684903,"AURIONPRO, PFC, JAIBALAJI, ANANDRATHI, RECLTD, BSE, SUZLON, CUPID, BSOFT, ELECTCAST, TRENT, HBLENGINE, V2RETAIL, DIACABS, INOXWIND, IRFC, GVT&D, TARIL, MEDANTA, WEBELSOLAR"
2024-02-23,Bull,Bull (exp=1.00),1.0,630,5.314726382749918,0.008624055563575088,0.00841146650826509,0.0017869889482362566,25724511.70644746,4735677.924193499,"AURIONPRO, PFC, JAIBALAJI, ANANDRATHI, RECLTD, BSE, SUZLON, CUPID, BSOFT, ELECTCAST, TRENT, HBLENGINE, V2RETAIL, DIACABS, INOXWIND, IRFC, GVT&D, MEDANTA, WEBELSOLAR, BAJAJ-AUTO"
