Ticker,EntryDate,ExitDate,EntryPrice,ExitPrice,PnL
CHAMBLFERT,2025-05-12,2025-05-13,689.35,657.55,-9222.00000000002
COROMANDEL,2025-05-12,2025-05-29,2424.5,2308.9,-9479.199999999993
MAZDOCK,2025-05-12,2025-10-08,2904.4,2814.7,-6099.600000000019
