CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,41,4,8,28.16,"2,116.30","-1,421.85",240,"2,094.80","2,138.60",360,"52,100.00",360,454.60,468.60,240,317.15,460.35,32.00,"6,745",63,582,
,86,-13,46,28.32,"2,025.65","-1,323.80",120,"2,020.15","2,058.40",360,"52,200.00",240,476.20,493.25,360,332.30,482.90,31.79,"8,681",151,664,
,130,10,142,25.62,"1,928.35",-845.40,240,"1,940.05","1,979.95",360,"52,300.00",360,497.35,513.60,240,345.35,503.00,31.61,"8,933",464,942,
,141,59,113,30.28,"1,848.05","-1,308.35",120,"1,862.55","1,907.60",360,"52,400.00",240,522.35,538.40,480,368.25,534.30,31.45,"14,803",353,903,
,618,333,"2,085",22.61,"1,816.50","-1,260.50",30,"1,802.90","1,812.90",120,"52,500.00",240,546.95,556.80,120,380.10,553.70,31.25,"67,374","2,878","15,544",
,152,62,251,28.12,"1,720.85","-1,301.30",360,"1,705.80","1,744.30",240,"52,600.00",240,571.55,588.55,360,394.20,577.50,31.08,"12,887",245,"1,451",
,407,93,472,23.37,"1,648.55","-1,246.85",360,"1,638.95","1,667.85",120,"52,700.00",240,596.20,613.90,360,417.55,610.15,30.93,"18,315",-17,"1,398",
,277,150,420,25.10,"1,577.65","-1,255.80",240,"1,568.45","1,618.00",480,"52,800.00",600,623.00,646.90,360,430.35,636.35,30.73,"14,690",299,"2,150",
,517,66,575,24.96,"1,507.40","-1,222.60",240,"1,498.60","1,536.50",360,"52,900.00",360,654.60,673.30,480,448.70,662.60,30.59,"13,307","1,108","2,150",
,"3,935","1,714","18,051",22.64,"1,448.05","-1,202.45",30,"1,445.40","1,456.30",240,"53,000.00",120,687.35,694.75,120,464.65,686.85,30.41,"1,20,477","-2,225","17,478",
,653,368,"1,896",22.99,"1,379.35","-1,152.70",120,"1,375.70","1,390.60",240,"53,100.00",360,716.05,738.20,480,495.10,732.80,30.26,"12,277",724,"1,723",
,895,393,"3,258",22.94,"1,269.95","-1,204.35",30,"1,311.60","1,323.05",240,"53,200.00",240,751.35,768.60,90,520.45,768.60,30.14,"18,823",740,"4,972",
,"1,307","1,015","6,790",22.71,"1,244.40","-1,143.90",360,"1,234.60","1,254.75",120,"53,300.00",240,788.90,803.55,360,527.90,788.80,29.91,"23,185","1,013","2,504",
,"1,502","1,202","11,341",22.59,"1,172.65","-1,125.40",30,"1,183.60","1,191.80",120,"53,400.00",120,824.40,832.45,120,552.80,824.00,29.86,"29,389",466,"3,210",
,"5,541","4,033","45,383",22.61,"1,110.55","-1,084.50",270,"1,112.35","1,131.05",120,"53,500.00",120,862.05,874.30,240,593.75,880.00,29.65,"1,11,301",251,"16,918",
,"2,001","1,417","23,508",22.48,"1,051.90","-1,061.50",240,"1,052.80","1,068.70",120,"53,600.00",120,900.60,909.70,120,606.45,909.45,29.58,"46,960",-866,"3,397",
,"3,337","2,308","42,949",22.53,998.70,"-1,042.35",120,"1,002.05","1,011.30",90,"53,700.00",120,943.55,950.90,120,630.05,948.00,29.47,"62,824","-1,142","5,259",
,"4,553","3,265","53,604",22.40,947.70,"-1,020.55",30,945.65,953.10,120,"53,800.00",240,983.50,994.40,120,664.40,"1,000.40",29.31,"65,599",-679,"2,719",
