CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"2,330","2,141","13,981",13.21,528.10,-560.45,520,527.80,531.75,325,"22,700.00",130,137.10,137.85,"1,300",106.50,137.45,29.29,"6,12,956","7,479","24,804",
,800,744,"8,911",14.56,491.05,-545.65,260,492.25,494.55,325,"22,750.00",455,149.25,150.20,195,116.00,149.25,28.97,"3,41,252","2,936","9,934",
,"3,993","3,200","40,819",15.49,455.60,-546.95,260,455.95,458.40,"1,300","22,800.00",195,163.15,163.95,130,127.35,163.15,28.89,"8,19,494","5,518","35,634",
,"1,912","1,676","27,136",16.11,421.70,-528.65,130,421.65,424.90,520,"22,850.00",260,177.75,179.05,390,138.85,177.95,28.61,"3,07,447","1,603","9,649",
,"5,755","5,114","90,642",16.60,385.55,-506.00,65,387.60,389.70,260,"22,900.00",65,194.10,195.30,585,153.45,195.35,28.47,"6,68,167","6,640","28,757",
,"5,839","5,446","1,02,949",16.90,354.45,-513.35,195,355.30,356.90,65,"22,950.00",130,211.05,212.30,195,165.65,211.25,28.33,"4,22,786","3,083","14,807",
,"51,945","40,947","5,54,235",17.11,325.20,-481.80,260,323.90,325.20,130,"23,000.00",65,229.15,230.00,715,180.15,230.00,28.30,"19,08,410","19,312","1,03,904",
,"11,388","10,718","1,84,487",17.32,294.50,-485.05,260,294.50,296.25,260,"23,050.00",65,250.30,250.75,260,196.85,251.20,28.17,"5,37,665","3,250","14,741",
,"25,470","20,402","5,63,466",17.49,267.25,-446.50,65,267.25,268.45,195,"23,100.00","6,565",272.65,272.90,195,213.65,272.65,28.02,"11,30,083","1,128","28,260",
,"11,191","9,946","4,20,066",17.52,240.05,-426.00,195,239.65,241.00,325,"23,150.00",195,293.90,295.50,390,230.95,295.50,28.10,"7,26,742","2,163","11,152",
,"43,521","38,899","13,54,956",17.62,213.35,-417.60,65,213.40,214.75,"1,040","23,200.00",260,317.10,319.85,65,249.90,320.60,28.09,"19,06,730","-3,903","27,753",
,"31,578","29,134","9,49,528",17.67,189.95,-399.95,520,189.95,191.85,520,"23,250.00",780,344.75,347.45,780,270.55,347.50,28.12,"10,77,251","5,221","14,032",
,"70,034","61,002","18,34,380",17.73,169.25,-376.60,"1,040",168.45,170.00,"26,390","23,300.00",260,371.50,374.65,260,290.30,374.90,28.35,"16,12,676",7,"34,747",
,"24,085","21,482","6,58,998",17.79,150.10,-354.05,130,149.55,150.40,130,"23,350.00",260,401.70,406.15,130,313.55,406.25,28.63,"3,90,189","-7,562","7,105",
,"44,611","34,806","9,43,146",17.86,132.40,-331.50,65,131.65,132.40,65,"23,400.00",325,435.15,437.35,260,332.75,435.15,28.84,"4,86,204","-24,162","14,950",
