date,score,dyn_n,allow_new,held,turnover,gross,net,nifty_ret,equity,nifty_equity
2017-09-01,0.5757118794326241,20,True,20,41.28279719150264,0.019485344388209657,0.017834032500549553,-0.0006053510750692048,2035668.065001099,1998789.2978498617
2017-09-08,0.5765921985815602,20,True,20,1.3807388898362896,0.030457463686356344,0.030402234130762894,0.01573151846581977,2097556.922125779,2030233.2885982697
2017-09-15,0.5926083708905426,20,True,20,0.9857769583762459,-0.005449195729665474,-0.005488626808000524,-0.016832440703902107,2086044.2149716923,1996059.5071528512
2017-09-22,0.541283253517936,19,True,20,1.1222700104181267,0.004561252764244325,0.0045163619638276,-0.01579308766308085,2095465.545719053,1964535.5643756604
2017-09-29,0.5235527836504581,18,True,19,4.904707981778433,0.07623844644002951,0.07604225812075838,0.021790697674418658,2254809.4776297766,2007344.164929614
2017-10-06,0.5683321684787808,20,True,20,3.9186005040404246,0.02714465953642079,0.026987915516259176,0.017047135671529823,2315662.0853173095,2041563.6332486228
2017-10-13,0.5833727186850558,20,True,20,9.223116661901958,0.009434433143503939,0.00906550847702786,5.035134046438294e-05,2336654.7395816855,2041666.4287142002
2017-10-20,0.4904247338247338,18,True,18,6.631341807309396,0.008179755213796604,0.007914501541504228,0.018662623844075465,2355148.197120068,2079769.2812883703
2017-10-27,0.6070770596369152,21,True,21,18.82310710737116,0.034213366258900146,0.0334604419746053,0.01715644547446571,2433952.496711401,2115450.729562263
2017-11-03,0.6308779346948415,21,True,21,11.285305731266076,0.005222564686685515,0.004771152457434872,-0.011413885634377618,2445565.2551473654,2091305.2168698786
2017-11-10,0.6075821507149388,21,True,21,5.0318181605559245,-0.01016900292194537,-0.010370275648367608,-0.0019497648812937252,2420204.069335417,2087227.6634019592
2017-11-17,0.5974136391498978,20,True,20,3.4915592925704675,0.008072866433650884,0.007933204061948066,0.011923914589968332,2439404.0420890115,2112115.5877901833
2017-11-24,0.627341021564551,21,True,21,9.159261791054165,0.000434354436619093,6.798396497692636e-05,-0.020078844479534452,2439569.8824479734,2069706.7473801437
2017-12-01,0.6034933149384761,21,True,21,11.567438096460043,0.011068765338427945,0.010606067814569544,0.014364707959913403,2465444.1260595983,2099437.4803689215
2017-12-08,0.6101562825485377,21,True,21,0.9049676940128034,-0.005701930805362319,-0.005738129513122831,0.002850754307413661,2451297.0883569005,2105422.460809229
2017-12-15,0.5993432148206341,20,True,20,9.008350278356957,0.032827583284251526,0.03246724927311725,0.023299970163018324,2530883.9619670506,2154478.7413266324
2017-12-22,0.6581473176522503,22,True,22,7.67771213173906,0.003402073396322366,0.0030949649110528035,0.006271536871123251,2538716.9590232847,2167990.6341909138
2017-12-29,0.6583687159687159,22,True,22,5.406839094351611,0.035410140046211284,0.03519386648243722,0.008724376096473918,2628064.224715849,2186904.9998572282
2018-01-05,0.6804234739715297,23,True,23,5.31792203055408,0.024663845324151397,0.024451128442929234,0.00958379685484334,2692323.360630643,2207863.8531167014
2018-01-12,0.681605862984859,23,True,23,10.045055110418808,-0.023610155594239783,-0.024011957798656537,0.005990564085585293,2627675.405714843,2221090.2030210444
2018-01-19,0.6272302590217528,21,True,21,4.820317367969396,0.005704268291916796,0.0055114555971980195,0.008937478787629516,2642157.7220372898,2240941.149595957
2018-01-26,0.499310606060606,18,True,20,5.4554542420716094,-0.09515161769763306,-0.09536983586731593,-0.0407951070336392,2390175.573751032,2149521.715542103
2018-02-02,0.4884935012965107,18,True,18,17.703943597144086,0.023670841208383402,0.02296268346449764,-0.016865395651342152,2445060.418875651,2113269.181348334
2018-02-09,0.5011742312670148,18,True,18,9.095842901711135,-0.007697535392507438,-0.008061369108575883,-0.001675476429830014,2425349.884346325,2109728.4486450986
2018-02-16,0.4959567010309278,18,True,18,5.312522907416696,-0.01289126372409961,-0.013103764640396278,0.0017053575295595813,2393568.6702912385,2113326.2899403214
2018-02-23,0.4800656751732296,17,True,17,11.583374232255695,-0.0019622660506883063,-0.002425601019978534,-0.0028104006442303264,2387762.8276831913,2107386.996373604
2018-03-02,0.4770780487804878,17,True,17,9.688383469671132,-0.028711663648360225,-0.02909919898714707,-0.025901456313310645,2318280.842026325,2052802.6041517942
2018-03-09,0.42491694994803714,16,True,16,12.221241788504472,0.011781197478490612,0.011292347806950433,0.002008590759369877,2344459.675608676,2056925.844493304
2018-03-16,0.4344309776990104,16,True,16,10.94095858456525,-0.022724019192245273,-0.023161657535627884,-0.022616595127964656,2290158.1034961385,2010405.185460152
2018-03-23,0.37715455817457755,15,False,14,5.097148310743398,0.00112118398282135,0.0009172980503916139,0.012646577583856233,2292258.8610595637,2035829.9306130607
2018-03-30,0.45725136612021855,17,True,17,13.15744992348615,0.026695840088821317,0.02616954209188187,0.029168209512909327,2352246.2258095513,2095211.4445618342
2018-04-06,0.48355384912585725,17,True,17,10.89486040061314,0.004023803366095503,0.0035880089500709774,0.01042296978320012,2360686.106320527,2117049.7701379173
2018-04-13,0.4884419979143663,18,True,18,9.687995127897404,0.018088678228180964,0.017701158423065067,0.008632177520730755,2402472.9850756354,2135324.5195739698
2018-04-20,0.5053822123052386,18,True,18,0.7503540146357894,0.016583665756155413,0.01655365159556998,0.010269960899263353,2442242.6858383464,2157254.218897233
2018-04-27,0.5086268106162842,18,True,18,5.922336968119151,-0.019372208286104493,-0.01960910176482926,-0.011002101941516185,2394352.5004773326,2133519.8880671593
2018-05-04,0.47055596585123455,17,True,17,2.8105131220774338,0.012913524988181742,0.012801104463298645,0.008201504322920883,2425002.8569579036,2151017.96065218
2018-05-11,0.45566903230927996,17,True,17,0.45955658203306393,0.009560351005405724,0.009541968742124401,-0.021998969876863117,2448142.158418558,2103697.781331201
2018-05-18,0.4138054164093415,16,True,16,2.132365490104938,0.01270125036089953,0.012615955741295332,0.0006895278634406754,2479027.8115375657,2105148.3395676874
2018-05-25,0.3996146464646464,15,False,13,8.333231849166753,0.00112118398282135,0.0007878547088546798,0.004307936042884153,2480980.9252722673,2114217.1839753287
2018-06-01,0.4043567010309278,15,True,15,11.807804011147807,-0.009812964916981842,-0.010285277077427754,0.006590853839712585,2455463.349032029,2128151.6804203186
2018-06-08,0.40785040091638025,15,True,15,1.268740901132008,0.010975579611511854,0.010924829975466574,0.002946464510935165,2482288.8686311934,2134422.2038205643
2018-06-15,0.40678181818181813,15,True,15,0.6466691857570619,0.0006221331521839126,0.0005962663847536301,-0.005035478450720943,2483768.9740408063,2123674.3668084857
2018-06-22,0.37247599404347487,14,False,15,0.5765575719824226,0.00112118398282135,0.001098121679942053,-0.014435307341891801,2486496.4545991677,2093018.4746295079
2018-06-29,0.34403836960746215,14,False,15,0.7111608774924838,0.00112118398282135,0.0010927375477216505,0.0034979727038073616,2489213.542637385,2100339.7961223265
2018-07-06,0.34163765265142204,14,False,14,2.909589790129219,0.00112118398282135,0.0010048003912161811,0.0168089618793843,2491714.7053788477,2135644.3276891005
2018-07-13,0.34850522088353414,14,False,12,4.916394458487434,0.00112118398282135,0.0009245282044818525,-0.006733304453393596,2494018.3659014925,2121264.3842266067
2018-07-20,0.32213215653310917,13,False,11,2.6984558825022127,0.00112118398282135,0.0010132457475212613,0.03154715111833806,2496545.4194049817,2188184.2323177517
2018-07-27,0.39545682809057237,15,False,11,0.011959928462658073,0.00112118398282135,0.0011207055856828436,0.011133671919449473,2499343.3118014196,2212546.75765969
2018-08-03,0.44161972783219205,16,True,16,15.180239676235333,0.001281839360041714,0.0006746297729923006,0.004000743363928194,2501029.44321249,2221398.589417778
2018-08-10,0.4155851615318549,16,True,16,4.783400604344047,0.01420698677629614,0.014015650752122378,0.0047046362519216345,2536082.9984093313,2231849.4617515206
2018-08-17,0.4101657952832555,15,True,16,0.6452468792216423,0.003631613174492968,0.0036058032993241023,0.008249575238991946,2545227.6148523553,2250261.2718083435
2018-08-24,0.412432967032967,15,True,16,0.3838120660197161,0.013884823800389846,0.013869471317749058,0.014333861209242071,2580528.5762536926,2282516.204562977
2018-08-31,0.44897715617715617,16,True,16,4.610891031233342,-0.02497635572755037,-0.025160791368799704,-0.011689351481184884,2515600.4351253477,2255835.0703863404
2018-09-07,0.4253095238095238,16,True,16,5.797414803511542,-0.0105370547889608,-0.010768951381101262,-0.008349197990926815,2488510.0563452058,2237000.6567488085
2018-09-14,0.41477912087912083,16,True,16,0.3925023249593238,-0.042143954524093086,-0.04215965461709146,-0.03749712797733029,2383595.331858533,2153119.5568373264
2018-09-21,0.3523536723163842,14,False,13,9.292461011531161,0.00112118398282135,0.0007494855423601035,-0.03284158484120281,2385381.8020985983,2082407.6982382003
2018-09-28,0.2903210631368841,12,False,9,10.401615093590216,0.00112118398282135,0.0007051193790777412,-0.05386682755594552,2387063.781033757,1970235.0018560297
2018-10-05,0.26615369261477045,12,False,5,10.0,0.00112118398282135,0.0007211839828213499,0.016481254963796932,2388785.2931986116,2002706.9472602159
2018-10-12,0.27660718545867646,12,False,4,2.5,0.00112118398282135,0.0010211839828213499,-0.014423241436735124,2391224.682478425,1973821.421432855
2018-10-19,0.2662258861839998,12,False,4,0.0,0.00112118398282135,0.00112118398282135,-0.02585453640640456,2393905.685291747,1922789.1836326781
2018-10-26,0.25550491469785935,11,False,3,2.5,0.00112118398282135,0.0010211839828213499,0.057281178532180954,2396350.303433952,2032928.814140088
2018-11-02,0.325023422585057,13,False,3,0.0,0.00112118398282135,0.00112118398282135,0.005275636559768149,2399037.0530113913,2043653.8077153715
2018-11-09,0.35297377251418705,14,False,3,0.0,0.00112118398282135,0.00112118398282135,0.005242361409960372,2401726.8149294225,2054367.3795722572
2018-11-16,0.34723625298133065,14,False,1,5.0,0.00112118398282135,0.0009211839828213499,-0.01270397242376231,2403939.247202448,2028268.7530338943
2018-11-23,0.4325888307155323,16,True,16,34.804854876965365,-0.0019915122247154697,-0.0033837064197940843,0.0259207117918685,2395805.0225388943,2080842.9228177385
2018-11-30,0.3554897532610404,14,False,16,1.0635064312563467,0.00112118398282135,0.001078643725571096,-0.018497883995762465,2398389.242594148,2042351.7318180527
2018-12-07,0.3299121070001737,13,False,16,0.38503872158936053,0.00112118398282135,0.0011057824339577756,0.016850005312812888,2401041.339288402,2076765.3693498196
2018-12-14,0.3784123802624164,15,False,15,4.056764764755097,0.00112118398282135,0.000958913392231146,-0.000962458614279571,2403343.7299839463,2074766.5686302513
2018-12-21,0.3836107883392814,15,False,11,10.52976011510014,0.00112118398282135,0.0006999935782173443,0.007707086666189467,2405026.0551611837,2090756.9743867973
2018-12-28,0.38288539547546346,15,False,9,5.0,0.00112118398282135,0.0009211839828213499,-0.010669157775701765,2407241.526641466,2068450.3583564158
2019-01-04,0.36721241765480894,14,False,9,0.0,0.00112118398282135,0.00112118398282135,0.004781941269368151,2409940.487283919,2078341.5664886797
2019-01-11,0.3769331863044124,15,False,8,2.5,0.00112118398282135,0.0010211839828213499,0.004605306544151588,2412401.479909086,2087912.9665058122
2019-01-18,0.35897868839515523,14,False,6,5.0,0.00112118398282135,0.0009211839828213499,-0.015946215030470112,2414623.745512513,2054618.657377004
2019-01-25,0.3211903707121981,13,False,5,2.5,0.00112118398282135,0.0010211839828213499,0.006887657251496648,2417089.5206059706,2068770.166471547
2019-02-01,0.3279104161822832,13,False,4,2.5,0.00112118398282135,0.0010211839828213499,-0.0021421551847884412,2419557.813709459,2064338.5397333044
2019-02-08,0.32060252305289394,13,False,4,0.0,0.00112118398282135,0.00112118398282135,-0.023221458686053853,2422270.5831757,2016401.5876188588
2019-02-15,0.29299941866500573,12,False,3,2.5,0.00112118398282135,0.0010211839828213499,0.010501809777898607,2424744.1670972984,2037577.4535278848
2019-02-22,0.31599299802761344,13,False,3,0.0,0.00112118398282135,0.00112118398282135,0.013201042630118565,2427462.7514198874,2064475.6003540747
2019-03-01,0.38429336673824865,15,False,3,0.0,0.00112118398282135,0.00112118398282135,0.019203319502074656,2430184.3837756747,2104120.3849119116
2019-03-08,0.4294729050884341,16,True,16,35.77549285906071,0.02531598039925385,0.02388496068489142,0.03130479152756749,2488229.242239194,2169989.434910484
2019-03-15,0.4656678573554801,17,True,17,3.849627761323416,0.004205775761530637,0.004051790651077701,6.842537423401573e-05,2498311.026220637,2170137.9172496516
2019-03-22,0.4484229922009882,16,True,16,1.94289890428901,0.016041702283165805,0.015963986326994244,0.017226225125131167,2538194.029283802,2207521.201564777
2019-03-29,0.47433126934984515,17,True,17,4.008821952228284,0.016663267736666404,0.016502914858577272,0.0021989507124600127,2580081.629243622,2212375.4318837286
2019-04-05,0.47584952496462507,17,True,17,5.859062221756388,-0.008204032727215683,-0.008438395216085939,-0.0010686683978751166,2558309.8807663014,2210011.136175439
2019-04-12,0.4815797062329892,17,True,17,4.683996574969068,0.00016314066940612112,-2.4219193592641612e-05,0.006625596923903965,2558247.9205640294,2224653.7791610765
2019-04-19,0.45350495495495496,17,True,17,0.544229108646473,-0.008439583588283105,-0.008461352752628964,-0.0050314723731093025,2536601.6824794575,2213460.4951314945
2019-04-26,0.4327877578344002,16,True,16,3.3187243382464393,0.0005926753918413762,0.0004599264183115186,-0.006723634374645404,2537768.3326059636,2198577.9960595085
2019-05-03,0.39465110246433205,15,False,15,2.676399261097815,0.00112118398282135,0.0010141280123774374,-0.03473928651209657,2540341.9545609835,2122200.965135206
2019-05-10,0.3607648092881518,14,False,13,4.77497693655417,0.00112118398282135,0.0009301849053591832,0.004251792211147132,2542704.9423015667,2131224.1226692568
2019-05-17,0.34771498934406825,14,False,12,2.5,0.00112118398282135,0.0010211839828213499,0.04205387097119928,2545301.5118616857,2220850.346934697
2019-05-24,0.45004620934797607,17,True,17,16.734826137527367,0.011116449632381528,0.010447056586880433,0.008537294089209668,2571892.420786777,2239810.3994746017
2019-05-31,0.4670242025703858,17,True,17,0.7616755970690434,0.0045779882154490074,0.004547521191566246,-0.0070575876716588715,2583588.1560727335,2224002.7412124164
2019-06-07,0.4503052351037502,17,True,17,1.1387078777758175,0.0024899168711965064,0.002444368556085474,-0.006768797793721082,2589903.3977233125,2208948.916364468
2019-06-14,0.420087268937524,16,True,16,2.7828083040375353,-0.008423813743924303,-0.008535126076085805,-0.009136551895304601,2567798.2456988613,2188766.7399560274
2019-06-21,0.3990685853804604,15,False,13,7.709399500818885,0.00112118398282135,0.0008128080027885945,0.007968397762377899,2569885.3726625117,2206207.7039490603
2019-06-28,0.4203406834512643,16,True,16,8.492928165275654,0.0035863774218496034,0.0032466602952385772,-3.1062492558020516e-05,2578228.9174652495,2206139.173638675
2019-07-05,0.4132164868536722,16,True,16,5.745015904229982,-0.014845225467911347,-0.015075026104080546,-0.020698617158418364,2539362.049232166,2160475.1434853384
2019-07-12,0.3732226850668711,14,False,12,11.557568915099022,0.00112118398282135,0.000658881226217389,-0.016187782506410175,2541035.187212974,2125501.8417520924
2019-07-19,0.3436361469997129,14,False,10,5.046761811239335,0.00112118398282135,0.0009193135103717765,-0.012042365913817243,2543371.195190909,2099905.770823221
