Rebalance_Date,Regime,Eligible_Count,Turnover_Pct,Gross_Return,Net_Return,Nifty_Return,Equity,Nifty_Equity,Top20_Tickers
2020-04-10,NOT BUY  |  Death Cross: EMA50 (8095) < EMA200 (9091),77,0.0,0.00112118398282135,0.00112118398282135,0.023213937769177573,2002242.3679656426,2046427.8755383552,CASH
2020-04-17,NOT BUY  |  Death Cross: EMA50 (7973) < EMA200 (9010),90,0.0,0.00112118398282135,0.00112118398282135,-0.015884376969951597,2004487.250038332,2013921.6437214867,CASH
2020-04-24,NOT BUY  |  Death Cross: EMA50 (7893) < EMA200 (8938),84,0.0,0.00112118398282135,0.00112118398282135,0.06932053993821263,2006734.6490368447,2153527.779457513,CASH
2020-05-01,NOT BUY  |  Death Cross: EMA50 (7882) < EMA200 (8883),100,0.0,0.00112118398282135,0.00112118398282135,-0.057519749404085885,2008984.5677831175,2029657.4012483791,CASH
2020-05-08,NOT BUY  |  Death Cross: EMA50 (7822) < EMA200 (8818),82,0.0,0.00112118398282135,0.00112118398282135,-0.006349311440677963,2011237.0091022511,2016770.474289976,CASH
2020-05-15,NOT BUY  |  Death Cross: EMA50 (7773) < EMA200 (8757),89,0.0,0.00112118398282135,0.00112118398282135,-0.0117336638215364,2013491.9758225142,1993106.367539457,CASH
2020-05-22,NOT BUY  |  Death Cross: EMA50 (7701) < EMA200 (8689),85,0.0,0.00112118398282135,0.00112118398282135,0.05480043149946057,2015749.4707753456,2102329.456504942,CASH
2020-05-29,NOT BUY  |  Death Cross: EMA50 (7684) < EMA200 (8636),101,0.0,0.00112118398282135,0.00112118398282135,0.06097233585600348,2018009.4967953595,2230513.3942069304,CASH
2020-06-05,NOT BUY  |  Death Cross: EMA50 (7773) < EMA200 (8613),135,0.0,0.00112118398282135,0.00112118398282135,-0.012404585901305665,2020272.0567203478,2202844.7992044776,CASH
2020-06-12,NOT BUY  |  Death Cross: EMA50 (7856) < EMA200 (8595),134,0.0,0.00112118398282135,0.00112118398282135,0.025254989995607824,2022537.1533912842,2258477.622570263,CASH
2020-06-19,NOT BUY  |  Death Cross: EMA50 (7922) < EMA200 (8576),147,0.0,0.00112118398282135,0.00112118398282135,0.018516314824951863,2024804.7896523275,2300296.305254883,CASH
2020-06-26,NOT BUY  |  Death Cross: EMA50 (8033) < EMA200 (8574),172,0.0,0.00112118398282135,0.00112118398282135,0.016035751840168144,2027074.9683508256,2337183.285964806,CASH
2020-07-03,NOT BUY  |  Death Cross: EMA50 (8132) < EMA200 (8574),180,0.0,0.00112118398282135,0.00112118398282135,0.013534569498347082,2029347.6923373186,2368816.055579072,CASH
