date,long_ret,short_ret,ls_ret,n_long,n_short
2016-10-31,,,,0,0
2016-11-30,,,,0,0
2016-12-31,,,,0,0
2017-01-31,9.28446255110934,7.7729887385605965,1.5114738125487444,132,131
2017-02-28,5.533344766973337,6.175488429611965,-0.6421436626386283,132,131
2017-03-31,5.40452909228443,5.9152855454041635,-0.5107564531197335,132,131
2017-04-30,8.92858678217357,5.089438620344446,3.839148161829123,132,131
2017-05-31,-0.01290734768261281,-3.6050089894958908,3.592101641813278,132,131
2017-06-30,1.4756607140087634,0.7719832111118442,0.7036775028969192,132,131
2017-07-31,5.189204663975225,6.097497457347004,-0.9082927933717793,132,131
2017-08-31,2.3416921935842208,-5.091690139060004,7.433382332644225,132,131
2017-09-30,3.0982055144779532,1.081896876986005,2.0163086374919486,132,131
2017-10-31,10.848228431194068,10.598043999736344,0.25018443145772373,132,131
2017-11-30,2.492750207706299,4.515749579455219,-2.0229993717489205,132,131
2017-12-31,5.621078705166658,5.96061898321661,-0.33954027804995146,132,131
2018-01-31,-0.5555703869532703,-2.6707857981196748,2.1152154111664045,132,131
2018-02-28,-1.7817657408564025,-4.859087438485096,3.0773216976286935,132,131
2018-03-31,-4.732491189124735,-8.493961787986924,3.7614705988621893,132,131
2018-04-30,10.622123694046465,5.202776915817375,5.41934677822909,132,131
2018-05-31,-4.881043087109505,-7.623718173285843,2.7426750861763374,132,131
2018-06-30,-4.991568142555397,-7.054020481793334,2.062452339237937,132,131
2018-07-31,5.005267796843941,4.480210432634533,0.5250573642094079,132,131
2018-08-31,6.2589422064972045,4.095771309628129,2.163170896869075,132,131
2018-09-30,-13.093538285281483,-14.347851428349905,1.2543131430684227,132,131
2018-10-31,-2.4266993822979157,0.22452319761774686,-2.651222579915663,132,131
2018-11-30,1.9049881870713925,2.3142373611163887,-0.40924917404499617,132,131
2018-12-31,0.8110952136103619,3.134813181264172,-2.3237179676538102,132,131
2019-01-31,-2.9064043094015237,-7.293336477333871,4.386932167932347,132,131
2019-02-28,-1.0639355318285457,-0.4526140518953127,-0.611321479933233,132,131
2019-03-31,8.962716248458408,9.911862942667431,-0.9491466942090234,132,131
2019-04-30,-1.2385243582903644,-3.399961547386065,2.1614371890957007,132,131
2019-05-31,3.151908594502931,0.7309516834363391,2.420956911066592,132,131
2019-06-30,-1.9035287516763513,-7.6078335392311685,5.704304787554817,132,131
2019-07-31,-8.588716753324876,-12.016697671912763,3.4279809185878864,132,131
2019-08-31,-0.43320805953865293,-3.5896576479691817,3.1564495884305286,132,131
2019-09-30,5.748146601906406,7.875960871329061,-2.1278142694226556,132,131
2019-10-31,3.6363909018520237,4.519277483378013,-0.8828865815259892,132,131
2019-11-30,0.9258080013808475,2.5410892354736263,-1.615281234092779,132,131
2019-12-31,1.8007459425283905,-1.1904145362012188,2.9911604787296096,132,131
2020-01-31,6.829515825947537,6.198887210879815,0.6306286150677218,132,131
2020-02-29,-3.847979516258562,-12.01460023693015,8.166620720671588,132,131
2020-03-31,-25.428701389837823,-34.39291779819125,8.964216408353426,132,131
2020-04-30,14.06123696735974,23.639174731011387,-9.577937763651647,132,131
2020-05-31,1.2957820910352793,-5.937177089380868,7.232959180416147,132,131
2020-06-30,9.55187974761449,28.780768436920347,-19.228888689305855,132,131
2020-07-31,8.89144956941064,-0.04131533354686451,8.932764902957503,132,131
2020-08-31,9.42626643475423,18.548110940490165,-9.121844505735934,132,131
2020-09-30,6.0367839192554715,-3.0203457657014927,9.057129684956964,132,131
2020-10-31,2.5946772266529483,1.938650293592628,0.6560269330603203,132,131
2020-11-30,10.237757477571051,19.226223564380255,-8.988466086809204,132,131
2020-12-31,9.431508083879523,12.645492488070094,-3.2139844041905707,132,131
2021-01-31,3.4556634333977443,0.37293541938269065,3.0827280140150535,132,131
2021-02-28,13.582437126322613,11.932292762627425,1.6501443636951887,132,131
2021-03-31,3.6345301962613066,-2.1249920374719915,5.759522233733298,132,131
2021-04-30,6.0279289386743455,2.1499469208410367,3.877982017833309,132,131
2021-05-31,8.810807489281917,11.293254973572875,-2.482447484290958,132,131
2021-06-30,9.565216076069476,6.331466466995033,3.233749609074443,132,131
2021-07-31,8.31397422505678,2.472881507514464,5.841092717542317,132,131
2021-08-31,-0.8368664734714141,-2.103415607214687,1.2665491337432728,132,131
2021-09-30,5.899690550503472,7.919278355352297,-2.0195878048488254,132,131
2021-10-31,1.5977955173695808,0.11326759718051096,1.4845279201890698,132,131
2021-11-30,2.5245144012407557,-5.407937578411484,7.932451979652239,132,131
2021-12-31,8.455026574795191,3.6959446497184656,4.759081925076726,132,131
2022-01-31,1.7202833081712843,0.12886860929336155,1.5914146988779228,132,131
2022-02-28,-8.884364983830492,-8.947334945088212,0.06296996125771948,132,131
2022-03-31,7.080674387756946,1.144619757986732,5.936054629770213,132,131
2022-04-30,3.764917553907977,5.303121857135257,-1.53820430322728,132,131
2022-05-31,-7.554363543066056,-5.405588689107486,-2.14877485395857,132,131
2022-06-30,-4.870221958246166,-6.389785376575337,1.519563418329171,132,131
2022-07-31,10.180091043619205,9.07459202623996,1.1054990173792447,132,131
2022-08-31,7.003123552149073,6.883293741354616,0.11982981079445665,132,131
2022-09-30,-0.15366559174787134,-3.61060588847836,3.4569402967304885,132,131
2022-10-31,2.9609200720325153,1.0517610438868177,1.9091590281456976,132,131
2022-11-30,2.27133532194706,5.738755579426805,-3.467420257479745,132,131
2022-12-31,-2.112824320551558,-1.4819790144028204,-0.6308453061487376,132,131
2023-01-31,-1.2439167963289477,-2.21593190534035,0.9720151090114024,132,131
2023-02-28,-5.776303987855466,-2.8266411209263715,-2.9496628669290947,132,131
2023-03-31,1.702704440276631,-3.024885654042472,4.727590094319103,132,131
2023-04-30,9.028418203908211,8.76395024610357,0.2644679578046407,132,131
2023-05-31,8.337464815753732,4.067882196825898,4.269582618927834,132,131
2023-06-30,8.361594541933991,7.865547602492137,0.49604693944185385,132,131
2023-07-31,12.24521833058842,6.101173286220617,6.144045044367803,132,131
2023-08-31,7.776380134247711,6.29309410003405,1.483286034213661,132,131
2023-09-30,2.5306638771507077,2.6228912494205665,-0.09222737226985878,132,131
2023-10-31,2.0019753035303895,-3.099319663021449,5.101294966551839,132,131
2023-11-30,12.316162549450988,7.95128646475335,4.364876084697638,132,131
2023-12-31,7.371106173074606,9.089878440243389,-1.7187722671687826,132,131
2024-01-31,11.788127459374126,1.902651282846827,9.885476176527298,132,131
2024-02-29,2.9465076499084897,-2.8666332918924815,5.813140941800971,132,131
2024-03-31,-1.9736918611486132,-2.683488618357478,0.709796757208865,132,131
2024-04-30,10.794281797060586,8.875953439090024,1.9183283579705623,132,131
2024-05-31,1.7096580641197936,1.6576837922285903,0.051974271891203294,132,131
2024-06-30,10.00691016109158,9.272898261605283,0.7340118994862976,132,131
2024-07-31,4.580085088072337,6.445455137626697,-1.8653700495543593,132,131
2024-08-31,4.409135529503758,-0.6144637104433552,5.023599239947114,132,131
2024-09-30,2.090017990314556,1.6400437160847754,0.44997427422978076,132,131
2024-10-31,-1.5114085643952242,-6.89903247103572,5.387623906640496,132,131
2024-11-30,1.6211915472731686,0.70575713332209,0.9154344139510786,132,131
2024-12-31,2.593597382232848,-1.591325143161131,4.184922525393979,132,131
2025-01-31,-12.779028413270819,-3.347196562599866,-9.431831850670953,132,131
2025-02-28,-11.922011003492509,-12.025389740040168,0.1033787365476595,132,131
2025-03-31,11.871082455985944,5.83214301881713,6.038939437168813,132,131
2025-04-30,-0.2949525028791847,5.22409281637284,-5.519045319252025,132,131
2025-05-31,10.05698167466054,11.311435435395271,-1.254453760734732,132,131
2025-06-30,4.731230203992828,4.5418495778992645,0.18938062609356354,132,131
2025-07-31,-1.3010899318585571,-3.0223896016428635,1.7212996697843064,132,131
2025-08-31,-2.2819531578987937,-3.078622839375682,0.7966696814768883,132,131
2025-09-30,2.075579636886997,1.0465146257726126,1.0290650111143846,132,131
2025-10-31,3.1697487219247544,3.9329950373784768,-0.7632463154537223,132,131
2025-11-30,-1.0088844931994199,-3.296620849374612,2.287736356175192,132,131
2025-12-31,1.6237562933874172,-1.2190373267052754,2.8427936200926927,132,131
2026-01-31,-3.3762002487682277,-5.627178853209621,2.2509786044413933,132,131
2026-02-28,4.1098704769766785,0.6972626900542993,3.412607786922379,132,131
2026-03-31,-10.22108565722494,-13.199601011056897,2.9785153538319573,132,131
2026-04-30,15.695292057016985,20.07277208124513,-4.377480024228145,132,131
2026-05-31,3.055956948109991,-1.673890721725351,4.729847669835342,132,131
2026-06-30,3.5934800931401254,0.9353687989505972,2.658111294189528,132,131
2026-07-31,-0.12150497290885393,3.3425897763232753,-3.464094749232129,132,131
2026-08-31,4.8950077173686894,-0.8146344134126924,5.709642130781382,132,131
