,RS_12M_before,RS_9M_before,RS_6M_before,RS_3M_before,RZ_12M_before,RZ_9M_before,RZ_6M_before,RZ_3M_before,RES_MOM_before,RS_12M_after,RS_9M_after,RS_6M_after,RS_3M_after,RZ_12M_after,RZ_9M_after,RZ_6M_after,RZ_3M_after,RES_MOM_after,RANK_before,COMPOSITE_before,RANK_after,COMPOSITE_after
AVALON,2.0574049379383106,2.1012529671192355,2.8317971367703616,2.407351336798014,1.8717617937361914,1.68058785670298,1.789201270437301,1.1730166534173874,1.628641893573465,1.7392006998652216,1.4640096455387008,2.6727859175745987,3.1584533293675534,1.6173435919705477,1.245065071867678,1.7211358805218548,1.6946678755096776,1.5695531049674396,12.0,2.897610924870423,12.0,2.897610924870423
SAILIFE,2.1916805044797476,2.5902843554689565,3.26742881056847,3.0357138557590124,1.9904326137059924,2.0869142075209726,2.094794419811768,1.477494468590333,1.9124089274072664,1.7718316027233245,1.7844368336524805,2.472566922400663,2.090912895520418,1.6462149661579981,1.5115620817913868,1.5766971586441687,1.1391951030725262,1.46841732741652,13.0,2.839045515639979,13.0,2.839045515639979
SYRMA,1.9028069799929352,2.1938960922563466,3.2252439978032617,3.084479672594168,1.7351303357011745,1.7575631672088512,2.0652020128219433,1.5011243142877555,1.7647549575049313,1.596450786893442,1.8091395429991706,3.781431291727248,2.98187098591315,1.491040431725295,1.5321071491954978,2.5209167440663323,1.6027868743108864,1.7867127998245032,14.0,2.8287528812992955,14.0,2.8287528812992955
ENTERO,0.9016963828166715,1.7314630256024954,2.3892164338073814,4.6857588872720015,0.850363147541873,1.3733368272491329,1.4787334165008965,2.277036279204331,1.4948674176240584,-0.1932569706625327,0.4047305693341014,0.010226201272602637,-0.3731129143422876,-0.09246838441984302,0.3640702095246142,-0.19964452301369742,-0.142910196703991,-0.0177382236532293,15.0,2.8275933958120074,15.0,2.8275933958120074
AETHER,1.655136322949583,1.927409496376059,2.1204682261160652,3.4948768565896455,1.5162425610238364,1.536144811198313,1.2902080724617617,1.6999853764381356,1.5106452052805117,1.655477976376238,2.059438782576905,1.682432274200002,2.249704627556716,1.5432668773802658,1.7402792438492092,1.0066911080282703,1.221819124456366,1.3780140884285277,16.0,2.8180057918699624,16.0,2.8180057918699624
SONACOMS,2.205590534597636,2.9664946078291017,3.749733577290878,3.6559561201072315,2.002726098830742,2.3994997442033257,2.433128479261552,1.7780375529215422,2.1533479688042902,2.4842620029427116,3.2878383862269667,4.709253548758309,4.837855502515039,2.2765635886491897,2.7619304442085473,3.190251143726141,2.5685103563920366,2.6993138832439785,17.0,2.755500590328269,17.0,2.755500590328269
RUBICON,,2.50582640495873,2.9472883372392342,3.4023681607888006,0.0,2.0167397940867056,1.8702176927938565,1.6551595876108294,1.385529268622848,,2.6645016831609345,3.3707044135891517,2.7414624631540656,0.0,2.2435057483496736,2.2246168586956077,1.4776952296101191,1.48645445916385,18.0,2.724113829214727,18.0,2.724113829214727
AKUMS,1.334552332206371,2.3582565919657226,2.260946105549946,3.0111860995345703,1.2329150277235181,1.8941270026937285,1.388752508451376,1.4656093586403292,1.4953509743772382,1.0761123219543678,1.7753206533041277,2.4046010747727977,2.346230725746085,1.0306521123855763,1.5039802195310015,1.5276663453880428,1.2720445001646807,1.3335857943673253,19.0,2.717111997468157,19.0,2.717111997468157
RADICO,1.3198432442558417,1.234553751575728,3.106578944239533,3.436303429139068,1.2199153467461263,0.9604648995713043,1.981959150513369,1.671603178774863,1.4584856439014158,1.4877521245130676,1.4812844268833902,2.5608122401922953,3.827718430829917,1.3948653498127255,1.2594323844622974,1.6403576565027298,2.0429062462709706,1.5843904092621806,20.0,2.672826297184247,20.0,2.672826297184247
WELENT,1.5387353673685034,1.4950355917197307,2.5318031164378056,3.968452237873678,1.4133690658685405,1.1768940247389885,1.5787571659771178,1.9294599123341998,1.5246200422297116,0.6050617619278695,0.6206774846987038,0.8589689319735946,0.8328186028287698,0.6138730536242268,0.5436717208248344,0.4126416145674549,0.484571537920655,0.5136894817342927,21.0,2.6584564717894343,21.0,2.6584564717894343
GLAND,1.4031751151747438,1.977143883986446,2.417085888028108,2.827428301874362,1.2935628591437895,1.5774681141791116,1.4982836806320727,1.3765681267649996,1.4364706951799935,1.0047884773046893,1.1806720031580804,2.218504929399465,3.2191460142398807,0.9675457553128631,1.0094151729382017,1.3934158994663794,1.7262480694431221,1.2741562242901416,22.0,2.6498532010048392,22.0,2.6498532010048392
KTKBANK,1.8229329614659227,2.5870350327495064,2.7140014796215843,2.7914703018993583,1.664538823655991,2.084214410586302,1.70656828478481,1.3591444056804238,1.7036164811768817,1.588387819637729,2.0620991934214623,2.728863783714747,1.4279280490644692,1.4839064291599002,1.7424918885982912,1.7615906600689926,0.7942245342130809,1.4455533780100662,23.0,2.6389525516252723,23.0,2.6389525516252723
SUDEEPPHRM,,1.8767807348216727,2.9458288366150356,4.463809332826657,0.0,1.494078390884784,1.8691938613805565,2.1694889424728707,1.3831902986845528,,,2.3458741467872493,1.709724998334588,0.0,0.0,1.485300522851242,0.9408517978861854,0.6065380801843568,24.0,2.6144233603738263,24.0,2.6144233603738263
GRANULES,2.270427096788728,2.0548204589644086,2.5353309045370667,0.8956825475327557,2.060027722628884,1.6420080189924702,1.5812318893281077,0.44052609847200835,1.4309484323553676,2.3384777945698647,1.9317644952608766,2.217591002288891,1.6414967241217213,2.1475757255533776,1.6340934485234382,1.3927565890766431,0.9053506145735821,1.5199440944317604,25.0,2.603722551187805,25.0,2.603722551187805
INOXINDIA,1.5139696533693474,1.9224398985996993,2.541072425849356,2.0554960022266604,1.3914814830184585,1.5320156722971972,1.5852595339773723,1.0025224875585208,1.3778197942128871,1.1331128284337901,1.5339046097463536,2.2435934753862186,1.9635095833100764,1.0810853767852142,1.303196215731319,1.4115148691118327,1.0729034022550485,1.2171749659708535,26.0,2.584680700802029,26.0,2.584680700802029
ALIVUS,0.9118564165098472,1.7091972507741005,2.4509045583527347,3.1976105523433627,0.8593424396077745,1.3548366424968061,1.5220072861313116,1.5559427384540863,1.3230322766724947,0.868415337109153,1.3536083665153522,2.2778594727475268,1.6057308753963833,0.8468846759420459,1.1532451145017997,1.4362344860414447,0.8867405886484413,1.080776216283433,27.0,2.5621484474544145,27.0,2.5621484474544145
WELSPUNLIV,1.1662346215899109,1.380556986765206,2.104558156552337,3.727354367313639,1.0841582490423352,1.0817760529562823,1.2790472488642566,1.8126341140794717,1.3144039162355865,0.4038745738527604,0.6929107378705722,1.0730013530614724,2.1418762054645843,0.4358653958558767,0.6037476029641795,0.567045392867628,1.1657128162847954,0.69309280199312,28.0,2.5491331031064113,28.0,2.5491331031064113
