Date,Ticker,Action,Reason,Entry Price,Exit Price,Peak Price,PnL %,Days Held
2022-11-11,TUBE INVESTMENTS OF INDIA LIMITED,SELL,TSL_EXIT,1989.4938,2562.2266,2872.8027,28.79,119.0
2022-11-11,INOX WIND LIMITED,SELL,TSL_EXIT,37.6125,32.15,38.0125,-14.52,28.0
2022-11-11,GODFREY PHILLIPS INDIA LIMITED,BUY,STREAK_6,534.5635,,534.5635,,
2022-11-11,GMR AIRPORTS LIMITED,BUY,STREAK_5,38.15,,38.15,,
2022-11-11,BHARAT FORGE LTD,BUY,STREAK_5,867.2837,,867.2837,,
2022-11-18,ZF COMMERCIAL VEHICLE CONTROL SYSTEMS INDIA LIMITED,SELL,TSL_EXIT,10138.7988,9570.9258,10718.2793,-5.6,70.0
2022-11-18,EICHER MOTORS LIMITED,SELL,TSL_EXIT,3545.7449,3274.0391,3718.4644,-7.66,49.0
2022-11-18,ASTER DM HEALTHCARE LIMITED,SELL,TSL_EXIT,190.6245,167.4384,203.577,-12.16,49.0
2022-11-18,State Bank of India,BUY,STREAK_6,570.0147,,570.0147,,
2022-11-18,SONATA SOFTWARE LIMITED,BUY,STREAK_6,251.6107,,251.6107,,
2022-11-18,ACTION CONSTRUCTION EQUIPMENT LIMITED,BUY,STREAK_5,322.5858,,322.5858,,
2022-11-25,TVS MOTOR COMPANY LIMITED,SELL,TSL_EXIT,751.1567,1020.4772,1152.285,35.85,168.0
2022-11-25,Anant Raj Limited,SELL,TSL_EXIT,105.7999,103.1648,117.6825,-2.49,35.0
2022-11-25,JINDAL STEEL LIMITED,BUY,STREAK_6,517.0755,,517.0755,,
2022-11-25,RAIL VIKAS NIGAM LIMITED,BUY,STREAK_5,70.5506,,70.5506,,
2022-12-09,DATA PATTERNS (INDIA) LIMITED,SELL,TSL_EXIT,1173.5321,1264.9149,1426.3364,7.79,77.0
2022-12-09,RAILTEL CORPORATION OF INDIA LIMITED,SELL,TSL_EXIT,98.9852,121.7322,137.7748,22.98,70.0
2022-12-09,RAIL VIKAS NIGAM LIMITED,SELL,TSL_EXIT,70.5506,64.8237,77.0955,-8.12,14.0
2022-12-09,BANK OF INDIA LIMITED,BUY,STREAK_6,87.4771,,87.4771,,
2022-12-09,REC LIMITED,BUY,STREAK_6,92.9903,,92.9903,,
2022-12-09,BALKRISHNA INDUSTRIES LIMITED,BUY,STREAK_5,2016.1132,,2016.1132,,
2022-12-16,SONATA SOFTWARE LIMITED,SELL,TSL_EXIT,251.6107,254.6558,285.0342,1.21,28.0
2022-12-16,BANK OF INDIA LIMITED,SELL,TSL_EXIT,87.4771,83.6198,93.4926,-4.41,7.0
2022-12-16,POWER FINANCE CORPORATION LIMITED,BUY,STREAK_5,97.0354,,97.0354,,
2022-12-16,CASTROL INDIA LIMITED,BUY,STREAK_5,108.8188,,108.8188,,
2022-12-23,THE PHOENIX MILLS LIMITED,SELL,TSL_EXIT,555.0162,650.7219,768.4881,17.24,210.0
2022-12-23,IIFL FINANCE LIMITED,SELL,TSL_EXIT,319.9955,433.315,500.788,35.41,189.0
2022-12-23,IDFC FIRST BANK LIMITED,SELL,TSL_EXIT,44.5043,52.8271,62.4954,18.7,126.0
2022-12-23,Mazagon Dock Shipbuilders Ltd,SELL,TSL_EXIT,237.4893,340.8543,444.836,43.52,84.0
2022-12-23,Fortis Healthcare Limited,SELL,TSL_EXIT,272.7318,270.4462,301.9477,-0.84,63.0
2022-12-23,GODFREY PHILLIPS INDIA LIMITED,SELL,TSL_EXIT,534.5635,529.9069,645.7357,-0.87,42.0
2022-12-23,GMR AIRPORTS LIMITED,SELL,TSL_EXIT,38.15,37.8,43.85,-0.92,42.0
2022-12-23,ACTION CONSTRUCTION EQUIPMENT LIMITED,SELL,TSL_EXIT,322.5858,267.5611,338.4066,-17.06,35.0
2022-12-23,JM FINANCIAL LIMITED,BUY,STREAK_5,63.3444,,63.3444,,
2022-12-23,MULTI COMMODITY EXCHANGE OF INDIA LIMITED,BUY,STREAK_5,304.1226,,304.1226,,
2022-12-23,SUNDARAM FINANCE LIMITED,BUY,STREAK_5,2227.5762,,2227.5762,,
2022-12-30,FERTILISERS AND CHEMICALS TRAVANCORE LTD,BUY,STREAK_5,372.122,,372.122,,
2022-12-30,APAR INDUSTRIES LIMITED,BUY,STREAK_5,1752.2701,,1752.2701,,
2022-12-30,CRAFTSMAN AUTOMATION LIMITED,BUY,STREAK_5,3471.9822,,3471.9822,,
2022-12-30,RBL BANK LIMITED,BUY,STREAK_5,176.3692,,176.3692,,
2022-12-30,HINDUSTAN ZINC LIMITED,BUY,STREAK_5,254.4064,,254.4064,,
2023-01-06,AIA ENGINEERING LIMITED,SELL,TSL_EXIT,1881.1787,2478.0723,2796.0366,31.73,245.0
2023-01-06,SWAN CORP LIMITED,BUY,STREAK_6,310.6269,,310.6269,,
