date,equity,regime
2020-04-01,1000054.794520548,HOLD
2020-04-03,1000109.5920435354,HOLD
2020-04-07,1000164.3925691269,HOLD
2020-04-08,1000219.1960974869,HOLD
2020-04-09,1000274.00262878,HOLD
2020-04-13,1000328.8121631707,BUY
2020-04-15,1000383.6247008236,BUY
2020-04-16,1000438.4402419032,BUY
2020-04-17,1000493.258786574,BUY
2020-04-20,1000548.0803350008,BUY
2020-04-21,1000602.904887348,BUY
2020-04-22,1000657.7324437802,BUY
2020-04-23,1000712.563004462,BUY
2020-04-24,1000767.3965695583,BUY
2020-04-27,1000822.2331392334,BUY
2020-04-28,1000877.072713652,BUY
2020-04-29,1000931.9152929789,BUY
2020-04-30,1000986.7608773785,BUY
2020-05-04,1001041.6094670157,BUY
2020-05-05,1001096.4610620551,BUY
2020-05-06,1001151.3156626613,BUY
2020-05-07,1001206.1732689991,BUY
2020-05-08,1001261.0338812331,BUY
2020-05-11,1001315.897499528,BUY
2020-05-12,1001370.7641240486,BUY
2020-05-13,1001425.6337549596,BUY
2020-05-14,1001480.5063924256,BUY
2020-05-15,1001535.3820366116,BUY
2020-05-18,1001590.2606876821,BUY
2020-05-19,1001645.142345802,BUY
2020-05-20,1001700.0270111362,BUY
2020-05-21,1001754.9146838492,BUY
2020-05-22,1001809.805364106,BUY
2020-05-26,1001864.6990520712,BUY
2020-05-27,1001919.5957479097,BUY
2020-05-28,1001974.4954517864,BUY
2020-05-29,1002029.398163866,BUY
2020-06-01,1002084.3038843134,BUY
2020-06-02,1002139.2126132934,BUY
2020-06-03,1002194.124350971,BUY
2020-06-04,1002249.0390975109,BUY
2020-06-05,1002303.9568530779,BUY
2020-06-08,1002358.877617837,BUY
2020-06-09,1002413.8013919531,BUY
2020-06-10,1002468.7281755911,BUY
2020-06-11,1002523.6579689159,BUY
2020-06-12,1002578.5907720923,BUY
2020-06-15,1002633.5265852854,BUY
2020-06-16,1002688.46540866,BUY
2020-06-17,1002743.4072423811,BUY
2020-06-18,1002798.3520866137,BUY
