TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,HOLDING_DAYS,ENTRY_PRICE,EXIT_PRICE,SHARES,GROSS_PNL,COSTS,NET_PNL,REGIME
BUY,NEW BUY (rank=120),IDFNIFTYET,Bandhan Nifty 50 ETF,2020-04-13,,,104.0,,1923.7093,,20.0,,BULL
BUY,NEW BUY (rank=120),MIDSELIETF,ICICI Pru BSE MC Sel ETF,2020-04-13,,,4.969,,40262.7817,,20.0,,BULL
BUY,NEW BUY (rank=120),LOWVOLIETF,ICICI Nifty 100 LowVol 30 ETF,2020-04-13,,,7.824,,25570.7774,,20.0,,BULL
BUY,NEW BUY (rank=120),CONSUMBEES,Nippon ETF Nifty IN Consumpt,2020-04-13,,,48.54,,4121.668,,20.0,,BULL
BUY,NEW BUY (rank=120),HDFCSENSEX,HDFC BSE Sensex ETF,2020-04-13,,,32.8044,,6098.7478,,20.0,,BULL
SELL,Rank 120 | TSL 7.4%,IDFNIFTYET,Bandhan Nifty 50 ETF,2020-04-13,2020-04-20,7.0,104.0,96.33,1923.7093,-14754.85,20.0,-14774.85,BULL
SELL,Rank 120,MIDSELIETF,ICICI Pru BSE MC Sel ETF,2020-04-13,2020-04-20,7.0,4.969,5.2,40262.7817,9300.7,20.0,9280.7,BULL
SELL,Rank 120,LOWVOLIETF,ICICI Nifty 100 LowVol 30 ETF,2020-04-13,2020-04-20,7.0,7.824,8.053,25570.7774,5855.71,20.0,5835.71,BULL
SELL,Rank 120,CONSUMBEES,Nippon ETF Nifty IN Consumpt,2020-04-13,2020-04-20,7.0,48.54,54.07,4121.668,22792.82,20.0,22772.82,BULL
SELL,Rank 120,HDFCSENSEX,HDFC BSE Sensex ETF,2020-04-13,2020-04-20,7.0,32.8044,33.6868,6098.7478,5381.54,20.0,5361.54,BULL
BUY,NEW BUY (rank=120),IDFNIFTYET,Bandhan Nifty 50 ETF,2020-04-20,,,96.33,,2136.0006,,20.0,,BULL
BUY,NEW BUY (rank=120),MIDSELIETF,ICICI Pru BSE MC Sel ETF,2020-04-20,,,5.2,,39569.4119,,20.0,,BULL
BUY,NEW BUY (rank=120),LOWVOLIETF,ICICI Nifty 100 LowVol 30 ETF,2020-04-20,,,8.053,,25550.8434,,20.0,,BULL
BUY,NEW BUY (rank=120),CONSUMBEES,Nippon ETF Nifty IN Consumpt,2020-04-20,,,54.07,,3805.4548,,20.0,,BULL
BUY,NEW BUY (rank=120),HDFCSENSEX,HDFC BSE Sensex ETF,2020-04-20,,,33.6868,,6108.0584,,20.0,,BULL
SELL,Rank 120,IDFNIFTYET,Bandhan Nifty 50 ETF,2020-04-20,2020-04-27,7.0,96.33,97.0,2136.0006,1431.12,20.0,1411.12,BULL
SELL,Rank 120,MIDSELIETF,ICICI Pru BSE MC Sel ETF,2020-04-20,2020-04-27,7.0,5.2,5.096,39569.4119,-4115.22,20.0,-4135.22,BULL
SELL,Rank 120,LOWVOLIETF,ICICI Nifty 100 LowVol 30 ETF,2020-04-20,2020-04-27,7.0,8.053,8.322,25550.8434,6873.18,20.0,6853.18,BULL
SELL,Rank 120,CONSUMBEES,Nippon ETF Nifty IN Consumpt,2020-04-20,2020-04-27,7.0,54.07,53.26,3805.4548,-3082.42,20.0,-3102.42,BULL
SELL,Rank 120,HDFCSENSEX,HDFC BSE Sensex ETF,2020-04-20,2020-04-27,7.0,33.6868,33.591,6108.0584,-585.15,20.0,-605.15,BULL
BUY,NEW BUY (rank=120),IDFNIFTYET,Bandhan Nifty 50 ETF,2020-04-27,,,97.0,,2121.9096,,20.0,,BULL
BUY,NEW BUY (rank=120),MIDSELIETF,ICICI Pru BSE MC Sel ETF,2020-04-27,,,5.096,,40389.5668,,20.0,,BULL
BUY,NEW BUY (rank=120),LOWVOLIETF,ICICI Nifty 100 LowVol 30 ETF,2020-04-27,,,8.322,,24732.6643,,20.0,,BULL
BUY,NEW BUY (rank=120),CONSUMBEES,Nippon ETF Nifty IN Consumpt,2020-04-27,,,53.26,,3864.5368,,20.0,,BULL
BUY,NEW BUY (rank=120),HDFCSENSEX,HDFC BSE Sensex ETF,2020-04-27,,,33.591,,6127.3922,,20.0,,BULL
SELL,Rank 120,IDFNIFTYET,Bandhan Nifty 50 ETF,2020-04-27,2020-05-04,7.0,97.0,96.7,2121.9096,-636.57,20.0,-656.57,BULL
SELL,Rank 120,MIDSELIETF,ICICI Pru BSE MC Sel ETF,2020-04-27,2020-05-04,7.0,5.096,4.937,40389.5668,-6421.94,20.0,-6441.94,BULL
SELL,Rank 120,LOWVOLIETF,ICICI Nifty 100 LowVol 30 ETF,2020-04-27,2020-05-04,7.0,8.322,8.065,24732.6643,-6356.29,20.0,-6376.29,BULL
SELL,Rank 120,CONSUMBEES,Nippon ETF Nifty IN Consumpt,2020-04-27,2020-05-04,7.0,53.26,51.8,3864.5368,-5642.22,20.0,-5662.22,BULL
SELL,Rank 120,HDFCSENSEX,HDFC BSE Sensex ETF,2020-04-27,2020-05-04,7.0,33.591,34.1762,6127.3922,3585.75,20.0,3565.75,BULL
BUY,NEW BUY (rank=120),IDFNIFTYET,Bandhan Nifty 50 ETF,2020-05-04,,,96.7,,2096.0803,,20.0,,BULL
BUY,NEW BUY (rank=120),MIDSELIETF,ICICI Pru BSE MC Sel ETF,2020-05-04,,,4.937,,41055.4927,,20.0,,BULL
BUY,NEW BUY (rank=120),LOWVOLIETF,ICICI Nifty 100 LowVol 30 ETF,2020-05-04,,,8.065,,25132.172,,20.0,,BULL
BUY,NEW BUY (rank=120),CONSUMBEES,Nippon ETF Nifty IN Consumpt,2020-05-04,,,51.8,,3912.953,,20.0,,BULL
BUY,NEW BUY (rank=120),HDFCSENSEX,HDFC BSE Sensex ETF,2020-05-04,,,34.1762,,5930.7637,,20.0,,BULL
SELL,Rank 214,LOWVOLIETF,ICICI Nifty 100 LowVol 30 ETF,2020-05-04,2020-05-11,7.0,8.065,7.946,25132.172,-2990.73,20.0,-3010.73,BULL
SELL,Rank 234,CONSUMBEES,Nippon ETF Nifty IN Consumpt,2020-05-04,2020-05-11,7.0,51.8,52.72,3912.953,3599.92,20.0,3579.92,BULL
SELL,Rank 221,HDFCSENSEX,HDFC BSE Sensex ETF,2020-05-04,2020-05-11,7.0,34.1762,33.5524,5930.7637,-3699.61,20.0,-3719.61,BULL
BUY,NEW BUY (rank=1),PSUBNKBEES,NipponINETFNifty PSU Bank BeES,2020-05-11,,,12.83,,15745.2803,,20.0,,BULL
BUY,NEW BUY (rank=5),NIF100IETF,ICICI Prudential Nifty 100 ETF,2020-05-11,,,107.07,,1886.7278,,20.0,,BULL
BUY,NEW BUY (rank=6),PSUBANK,Kotak Nifty PSU Bank ETF,2020-05-11,,,113.33,,1782.5108,,20.0,,BULL
SELL,Rank 221,MIDSELIETF,ICICI Pru BSE MC Sel ETF,2020-05-04,2020-05-18,14.0,4.937,4.966,41055.4927,1190.61,20.0,1170.61,BULL
BUY,NEW BUY (rank=5),ICICIB22,Bharat 22 ETF,2020-05-18,,,22.13,,9007.8737,,20.0,,BULL
SELL,TSL 6.2%,PSUBNKBEES,NipponINETFNifty PSU Bank BeES,2020-05-11,2020-05-26,15.0,12.83,12.03,15745.2803,-12596.22,20.0,-12616.22,BULL
SELL,TSL 6.6%,NIF100IETF,ICICI Prudential Nifty 100 ETF,2020-05-11,2020-05-26,15.0,107.07,99.97,1886.7278,-13395.77,20.0,-13415.77,BULL
SELL,TSL 5.9%,PSUBANK,Kotak Nifty PSU Bank ETF,2020-05-11,2020-05-26,15.0,113.33,106.61,1782.5108,-11978.47,20.0,-11998.47,BULL
BUY,NEW BUY (rank=1),PSUBNKBEES,NipponINETFNifty PSU Bank BeES,2020-05-26,,,12.03,,16125.1083,,20.0,,BULL
BUY,NEW BUY (rank=2),PSUBANK,Kotak Nifty PSU Bank ETF,2020-05-26,,,106.61,,1819.5765,,20.0,,BULL
BUY,NEW BUY (rank=3),CONSUMBEES,Nippon ETF Nifty IN Consumpt,2020-05-26,,,47.44,,4089.061,,20.0,,BULL
SELL,Rank 220,ICICIB22,Bharat 22 ETF,2020-05-18,2020-06-01,14.0,22.13,24.78,9007.8737,23870.87,20.0,23850.87,BULL
