date,nav,n_positions,invested_frac
2022-01-21,1500000.0,0,0.0
2022-01-28,1500000.0,0,0.0
2022-02-04,1500000.0,0,0.0
2022-02-11,1500000.0,0,0.0
2022-02-18,1500000.0,0,0.0
2022-02-25,1500000.0,0,0.0
2022-03-04,1500000.0,0,0.0
2022-03-11,1500000.0,1,0.039926880000000047
2022-03-18,1502908.0799999998,1,0.04178459137700551
2022-03-25,1502343.5999999999,1,0.04142455827015866
2022-04-01,1506002.64,3,0.12171277468676948
2022-04-08,1510609.8000000003,7,0.28430873412842944
2022-04-15,1520752.2300000002,7,0.2890819301971367
2022-04-22,1543662.9400000004,11,0.4595790969756649
2022-04-29,1547718.4600000002,11,0.4609951735020334
2022-05-06,1529080.7700000003,9,0.39054691662887103
2022-05-13,1475243.4500000002,5,0.2274767530742128
2022-05-20,1541250.7300000004,5,0.2605616738296695
2022-05-27,1509102.7200000004,4,0.19877195635827888
2022-06-03,1506285.4400000004,5,0.23632685449047416
2022-06-10,1532223.4000000004,5,0.24925455387249654
2022-06-17,1479861.7900000005,1,0.038155779398831566
2022-06-24,1478491.8700000006,1,0.037264567440604246
2022-07-01,1481999.2300000004,1,0.039543016496708945
2022-07-08,1483378.5100000005,1,0.04043607184251306
2022-07-15,1485332.5900000005,2,0.08169791790537635
2022-07-22,1496468.0800000005,2,0.08853117000664659
2022-07-29,1491149.0900000005,2,0.0852799232838616
2022-08-05,1499800.0000000005,2,0.09055606747566339
2022-08-12,1510672.7400000005,3,0.1367798759643997
2022-08-19,1521474.7500000007,4,0.18264799990929848
2022-08-26,1532475.1900000006,4,0.18851513021884542
2022-09-02,1540157.7600000007,5,0.23255230035655555
2022-09-09,1536502.2500000007,5,0.2307264567949704
2022-09-16,1532308.730000001,8,0.343536181510889
2022-09-23,1536369.7200000007,6,0.2812384443504912
2022-09-30,1529828.3800000006,6,0.2781651167956498
2022-10-07,1570435.0700000008,7,0.33673885033655027
2022-10-14,1542821.0200000007,7,0.33554161065293214
2022-10-21,1543950.4900000007,6,0.2809945285227376
2022-10-28,1572118.250000001,6,0.29387700320888704
2022-11-04,1594673.3600000008,11,0.5037406469247092
2022-11-11,1611045.3900000006,11,0.5087838152095762
2022-11-18,1608165.4600000007,12,0.5283056446194284
2022-11-25,1680116.5900000005,12,0.5485059938608187
2022-12-02,1721939.5600000008,13,0.5994427527990586
2022-12-09,1720396.9500000007,13,0.5969274009698747
2022-12-16,1811704.3000000007,14,0.6657365443135502
2022-12-23,1615211.270000001,3,0.12139796424278292
2022-12-30,1667907.1100000008,4,0.18900333124666627
2023-01-06,1669577.250000001,4,0.18981460127107025
2023-01-13,1663600.8100000008,4,0.1869040325845957
2023-01-20,1669986.8300000008,5,0.23000239468954362
2023-01-27,1642939.250000001,3,0.13252581919873177
2023-02-03,1633967.7600000007,2,0.08048270181291695
2023-02-10,1631998.6800000009,2,0.07937326272837426
2023-02-17,1630673.0700000008,2,0.07862486500742905
2023-02-24,1637618.970000001,3,0.12240072548744345
2023-03-03,1639529.350000001,3,0.12342330437695427
2023-03-10,1649702.4300000009,3,0.12882881550947334
2023-03-17,1651462.270000001,3,0.12975715757647913
2023-03-24,1644255.1500000008,2,0.09338616333359202
