date,nav,n_positions,invested_frac
2022-01-21,150000.0,0,0.0
2022-01-28,150000.0,0,0.0
2022-02-04,150000.0,0,0.0
2022-02-11,150000.0,0,0.0
2022-02-18,150000.0,0,0.0
2022-02-25,150000.0,0,0.0
2022-03-04,150000.0,0,0.0
2022-03-11,150000.0,1,0.03961
2022-03-18,150288.5,1,0.04145360423452227
2022-03-25,150232.5,1,0.041096300733862515
2022-04-01,150595.5,3,0.10857774634700244
2022-04-08,151015.08,7,0.2693618412147979
2022-04-15,152124.55,7,0.27469050853396115
2022-04-22,154521.90000000002,10,0.40434753908669263
2022-04-29,155089.44,10,0.40652729160670126
2022-05-06,153649.98,8,0.33796821841434677
2022-05-13,149337.87,5,0.22253524842693945
2022-05-20,155859.92,5,0.2550687181156002
2022-05-27,152709.0,4,0.19538448945379766
2022-06-03,152422.48,5,0.22603352208939256
2022-06-10,154986.77000000002,5,0.23883896670664212
2022-06-17,149832.92,1,0.03140458051541679
2022-06-24,149718.76,1,0.030666030095360116
2022-07-01,150011.04,1,0.03255467064290733
2022-07-08,150125.98,1,0.0332953696621997
2022-07-15,150288.82,2,0.07431517527384932
2022-07-22,151339.66,2,0.08074274780318647
2022-07-29,150726.1,2,0.07700073179097706
2022-08-05,151617.32,2,0.08242620302218764
2022-08-12,152648.42,3,0.12789146458246992
2022-08-19,153818.51,4,0.17216068469262888
2022-08-26,154875.60000000003,4,0.1778110302720377
2022-09-02,155543.06000000003,5,0.2212406648036884
2022-09-09,155122.45,5,0.21912908157394353
2022-09-16,154842.92000000004,8,0.3389496917262991
2022-09-23,155243.03000000003,6,0.27778232620169796
2022-09-30,154562.80000000005,6,0.27460385034432605
2022-10-07,158585.44000000003,7,0.3322116456592735
2022-10-14,155868.95000000004,7,0.33128753353377943
2022-10-21,155989.20000000004,6,0.27965019373136085
2022-10-28,158823.91000000003,6,0.29250709165893213
2022-11-04,161086.77000000005,10,0.4600065542316106
2022-11-11,163208.12000000005,10,0.46702529261411735
2022-11-18,162729.90000000002,10,0.4459370404578382
2022-11-25,168560.28000000003,10,0.4651016835045597
2022-12-02,172093.11000000004,10,0.4760823951638737
2022-12-09,170979.10000000003,10,0.4726688232655335
2022-12-16,177671.36000000004,10,0.5006107906192645
2022-12-23,163626.26000000004,2,0.07579223530501769
2022-12-30,168101.46000000002,3,0.14023911511535944
2023-01-06,168793.11000000002,3,0.14376208839329985
2023-01-13,168100.04000000004,3,0.1402318524135985
2023-01-20,168919.65000000002,4,0.18438062120067147
2023-01-27,167102.04,3,0.1315268203787338
2023-02-03,166196.16,2,0.07987621374645476
2023-02-10,165995.98,2,0.07876660627564597
2023-02-17,165861.26,2,0.07801833894183609
2023-02-24,166562.98,3,0.1217373752558942
2023-03-03,166756.43,3,0.12275622595182678
2023-03-10,167782.31,3,0.12812000263913395
2023-03-17,167964.89,3,0.12906774743221636
2023-03-24,167236.13999999998,2,0.09290467957464213
2023-03-31,168231.41,2,0.09827112546937583
2023-04-07,169021.85,2,0.10248811026503384
2023-04-14,169273.71,3,0.1428726882632867
2023-04-21,169825.06,4,0.18203697381293435
2023-04-28,170072.49,5,0.22261172280125965
2023-05-05,172105.16999999998,7,0.2971128060824669
