ticker,close,rsi,roc_12m_pct
THELEELA,510.05,59.5,19.3
EXIDEIND,476.1,63.0,27.1
NUVOCO,331.55,44.4,-26.4
USHAMART,487.95,42.7,40.4
DELHIVERY,459.7,41.3,-0.8
AARTIIND,534.1,68.9,43.9
SKYGOLD,773.4,66.6,183.0
PCBL,309.8,45.6,-17.2
SHILPAMED,822.0,80.4,89.2
TMPV,334.5,43.4,-48.4
TRIVENI,266.42,40.6,-20.8
TMCV,474.3,71.9,
BLS,278.12,75.5,-26.8
LTFOODS,419.8,62.7,-7.6
SWSOLAR,202.01,37.0,-27.0
STARHEALTH,585.15,51.3,31.5
ZYDUSWELL,510.3,38.5,31.7
TI,568.75,84.9,15.5
THYROCARE,624.05,61.0,41.2
AADHARHFC,498.2,45.7,-1.6
POONAWALLA,497.9,61.7,11.4
AARTIDRUGS,416.35,52.3,-14.5
APOLLOTYRE,444.1,59.6,0.7
LENSKART,611.85,76.4,
VTL,590.6,39.6,49.5
REFEX,297.25,41.4,-26.7
ASKAUTOLTD,644.7,69.7,37.2
SAREGAMA,527.3,55.2,9.6
SENCO,341.85,37.5,1.6
HSCL,781.05,61.3,66.7
TENNIND,538.25,41.8,
AVL,624.65,50.6,48.6
BERGEPAINT,545.1,60.1,2.2
MINDACORP,720.05,56.4,57.3
BALRAMCHIN,624.85,54.4,12.3
HEG,701.0,72.4,39.5
SKIPPER,525.35,46.4,2.4
LICHSGFIN,500.0,32.9,-11.2
WEWORK,708.5,48.0,
WELENT,561.7,37.2,26.7
VBL,435.0,36.8,-15.1
SUMICHEM,564.95,64.9,-4.7
GRANULES,858.4,54.2,95.3
ELGIEQUIP,609.5,62.1,18.1
IIFL,631.15,69.3,41.5
AKUMS,726.6,61.2,52.0
VARROC,847.9,84.4,62.7
PRICOLLTD,792.05,74.2,91.0
SONATSOFTW,325.9,56.9,-10.5
ABDL,599.45,43.1,23.7
RELAXO,396.25,45.9,-8.5
INDGN,555.8,60.7,-2.8
CONCOR,527.0,62.5,-0.9
JSWENERGY,560.0,50.3,5.4
SONACOMS,792.0,65.3,81.0
TSFINV,415.45,36.5,-10.3
BORORENEW,577.05,51.0,-1.7
BBOX,795.85,48.3,60.3
ELECON,432.35,40.0,-20.4
TMB,849.4,54.2,101.4
NAVA,572.65,48.2,-6.6
ASTERDM,822.35,50.6,37.0
HINDZINC,561.9,50.7,35.1
RATEGAIN,942.6,53.9,97.7
PICCADIL,641.9,37.0,6.7
HINDCOPPER,529.05,57.0,122.6
BLUESTONE,845.25,62.9,
JUBLFOOD,504.1,70.2,-20.1
PNGJL,610.7,44.6,5.2
SUDEEPPHRM,1105.55,77.5,
AWFIS,266.55,36.4,-53.6
KALYANKJIL,608.25,63.2,16.7
KIMS,809.1,52.7,10.0
CGPOWER,890.15,51.3,35.5
SUPRIYA,791.65,36.5,19.7
MARICO,865.2,54.8,23.4
ATGL,654.05,39.0,6.9
YATHARTH,844.7,48.6,19.1
TRITURBINE,592.4,40.2,15.8
BALUFORGE,493.75,64.7,-13.9
FIVESTAR,550.2,54.5,-3.9
PRAJIND,335.25,56.1,-18.0
CHOICEIN,804.35,49.4,5.1
CELLO,377.6,55.8,-33.5
BAJAJELEC,362.4,60.7,-36.4
JUBLINGREA,736.95,53.4,6.5
HDBFS,686.95,45.5,-7.0
ANTHEM,890.1,73.5,20.0
WESTLIFE,582.9,65.3,-14.0
JBMA,622.95,34.3,3.8
SPLPETRO,726.55,53.9,1.1
INDHOTEL,720.0,44.2,-3.2
HEXT,569.85,53.8,-16.5
DLF,665.0,55.9,-11.1
RUBICON,1619.1,64.1,
ASHAPURMIN,603.45,32.8,11.4
ATHERENERG,1511.5,70.0,276.8
CEMPRO,1298.8,44.9,71.6
ANANTRAJ,629.95,63.4,17.6
TATATECH,867.9,68.8,33.7
AEGISLOG,1265.4,48.2,79.8
AARTIPHARM,851.2,70.6,-0.1
SYRMA,1465.2,59.2,118.0
LICI,413.5,49.3,-7.6
RKFORGE,732.6,73.3,25.5
SHYAMMETL,999.6,49.0,6.0
TDPOWERSYS,1484.6,73.7,201.2
ARVIND,571.85,62.6,95.4
BLUEJET,584.5,51.3,-24.6
HDFCBANK,727.0,33.9,-25.0
VMART,807.5,59.7,6.9
PGEL,601.0,51.3,16.7
SCHNEIDER,1369.2,51.0,62.2
SFL,699.95,41.2,5.6
HINDALCO,1029.5,55.8,55.1
ZYDUSLIFE,1135.2,50.7,18.9
CAMS,762.25,41.9,2.9
FACT,807.7,35.4,-14.7
SAILIFE,1449.9,70.1,65.4
WELCORP,1873.3,74.0,114.4
INDUSINDBK,1020.8,54.5,30.6
MOTILALOFS,903.7,52.0,-0.0
BAJFINANCE,1087.0,53.8,28.2
CHENNPETRO,1321.9,59.2,110.4
HBLENGINE,678.5,33.4,-1.6
APLLTD,831.25,58.0,-11.0
SHRIRAMFIN,1122.0,60.4,85.5
PNBHOUSING,1150.5,62.7,51.1
LAURUSLABS,1787.3,61.6,115.5
TATACHEM,670.65,41.5,-28.0
CCL,1133.4,41.9,31.6
ASTRAMICRO,1739.3,49.7,77.5
SUBROS,758.25,37.0,-3.5
QPOWER,1249.3,59.6,51.7
TATACONSUM,1079.5,46.4,4.0
AETHER,1625.1,67.0,121.0
INTELLECT,700.6,39.4,-24.1
SBIN,1067.7,56.2,32.5
JUBLPHARMA,865.8,29.6,-21.1
ALIVUS,1386.7,73.5,50.3
VIJAYA,1474.1,63.9,40.7
AVALON,1940.8,62.0,119.8
ADANIENSOL,1616.0,47.3,105.4
JSWSTEEL,1270.0,49.6,21.9
MAXHEALTH,1008.6,31.2,-19.8
KPRMILL,1110.0,56.0,16.7
KAJARIACER,1253.4,62.9,0.7
BRIGADE,591.55,60.1,-18.5
GABRIEL,1459.0,55.2,37.8
ADANIGREEN,1348.0,38.2,44.8
