Rebalance_Date,Regime,Eligible_Count,Turnover_Pct,Gross_Return,Net_Return,Nifty_Return,Equity,Nifty_Equity,Top20_Tickers
2024-09-30,BUY  |  EMA50 (23544) > EMA200 (21556)  |  price (24245) > EMA50  |  EMA21 > EMA63,411,45.0,-0.05752020696368541,-0.05932020696368541,-0.06417146486727276,635.810619958585,283.1602790500316,"TRENT LIMITED, BAJAJ AUTO LIMITED., PCBL CHEMICAL LIMITED, CHOICE INTERNATIONAL LIMITED, COLGATE-PALMOLIVE (INDIA) LIMITED, HIMADRI SPECIALITY CHEMICAL LIMITED, PG ELECTROPLAST LIMITED, GLENMARK PHARMACEUTICALS LIMITED, Anant Raj Limited, KALYAN JEWELLERS INDIA LIMITED, SUN PHARMACEUTICAL INDUSTRIES LIMITED, SUZLON ENERGY LIMITED, BHARTI AIRTEL LIMITED, GE VERNOVA T&D INDIA LIMITED, JUBILANT PHARMOVA LIMITED, LUPIN LIMITED, NAVA LIMITED, VEDANTA LIMITED, PIRAMAL PHARMA LIMITED, VOLTAS LIMITED"
2024-10-31,NOT BUY  |  price (22689) below EMA50 (23341)  &  EMA21 (23167) < EMA63 (23288),366,60.0,0.0064237605885143715,0.004023760588514372,-0.0001035728216101095,638.3689696729332,283.1309513409625,"CHOICE INTERNATIONAL LIMITED, TRENT LIMITED, POLY MEDICURE LIMITED, GLENMARK PHARMACEUTICALS LIMITED, WOCKHARDT LIMITED, MULTI COMMODITY EXCHANGE OF INDIA LIMITED, PG ELECTROPLAST LIMITED, Anant Raj Limited, JUBILANT PHARMOVA LIMITED, PIRAMAL PHARMA LIMITED, TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED, GE VERNOVA T&D INDIA LIMITED, DIXON TECHNOLOGIES (INDIA) LIMITED, NEULAND LABORATORIES LTD., JSW Dulux Limited, DIVI'S LABORATORIES LIMITED, GODFREY PHILLIPS INDIA LIMITED, SARDA ENERGY & MINERALS LIMITED, LT FOODS LIMITED, ZEN TECHNOLOGIES LIMITED"
2024-11-29,NOT BUY  |  price (22687) below EMA50 (22792)  &  EMA21 (22484) < EMA63 (22845),353,40.0,0.0483656736832663,0.046765673683266305,-0.013734737955657383,668.2227245981804,279.2422219171584,"WOCKHARDT LIMITED, CHOICE INTERNATIONAL LIMITED, PG ELECTROPLAST LIMITED, TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED, DIXON TECHNOLOGIES (INDIA) LIMITED, DIVI'S LABORATORIES LIMITED, DEEPAK FERTILISERS AND PETROCHEMICALS CORPORATION LTD, JUBILANT PHARMOVA LIMITED, NEULAND LABORATORIES LTD., KALYAN JEWELLERS INDIA LIMITED, KRISHNA INSTITUTE OF MEDICAL SCIENCES LIMITED, PIRAMAL PHARMA LIMITED, COFORGE LIMITED, ZEN TECHNOLOGIES LIMITED, DOMS INDUSTRIES LIMITED, GE VERNOVA T&D INDIA LIMITED, RADICO KHAITAN LIMITED, MULTI COMMODITY EXCHANGE OF INDIA LIMITED, NAVA LIMITED, LLOYDS METALS AND ENERGY LIMITED"
2024-12-31,NOT BUY  |  price (22375) below EMA50 (22797)  &  EMA21 (22663) < EMA63 (22831),327,40.0,-0.16594559271765083,-0.16754559271765082,-0.03550774511293653,556.2649521379748,269.3269602765539,"TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED, PG ELECTROPLAST LIMITED, CHOICE INTERNATIONAL LIMITED, ZEN TECHNOLOGIES LIMITED, COFORGE LIMITED, WOCKHARDT LIMITED, DIXON TECHNOLOGIES (INDIA) LIMITED, KFIN TECHNOLOGIES LIMITED, Anant Raj Limited, GE VERNOVA T&D INDIA LIMITED, LLOYDS METALS AND ENERGY LIMITED, KAYNES TECHNOLOGY INDIA LIMITED, CARTRADE TECH LIMITED, Fortis Healthcare Limited, PB FINTECH LIMITED, DIVI'S LABORATORIES LIMITED, ONE 97 COMMUNICATIONS LIMITED, THE INDIAN HOTELS COMPANY LIMITED, KALYAN JEWELLERS INDIA LIMITED, RADICO KHAITAN LIMITED"
2025-01-31,NOT BUY  |  price (21581) below EMA50 (22089)  &  EMA21 (21628) < EMA63 (22214),241,65.0,-0.10526915452280283,-0.10786915452280284,-0.07877335977646904,496.26112206018405,248.11117073718614,"CARTRADE TECH LIMITED, PG ELECTROPLAST LIMITED, BLUE JET HEALTHCARE LIMITED, LLOYDS METALS AND ENERGY LIMITED, WOCKHARDT LIMITED, KRISHNA INSTITUTE OF MEDICAL SCIENCES LIMITED, BSE Limited, MUTHOOT FINANCE LIMITED, SARDA ENERGY & MINERALS LIMITED, DIXON TECHNOLOGIES (INDIA) LIMITED, CHOICE INTERNATIONAL LIMITED, ASTER DM HEALTHCARE LIMITED, PERSISTENT SYSTEMS LIMITED, Jubilant FoodWorks Limited, LT FOODS LIMITED, COROMANDEL INTERNATIONAL LIMITED, WIPRO LIMITED, MAHINDRA AND MAHINDRA LIMITED, THE INDIAN HOTELS COMPANY LIMITED, NEULAND LABORATORIES LTD."
2025-02-28,CASH  |  Death Cross: EMA50 (21374) < EMA200 (21857)  |  EXIT ALL -> LIQUID FUNDS (~2% p.a.),142,100.0,0.0016515813019202241,-0.0003484186980797759,0.07336941486552417,496.08821540612826,266.3149421557737,CASH
2025-03-31,CASH  |  Death Cross: EMA50 (21057) < EMA200 (21643)  |  EXIT ALL -> LIQUID FUNDS (~2% p.a.),224,100.0,0.0016515813019202241,-0.002348418698079776,0.032357758247010926,494.92319256517146,274.9322966716169,CASH
2025-04-30,CASH  |  Death Cross: EMA50 (21312) < EMA200 (21593)  |  EXIT ALL -> LIQUID FUNDS (~2% p.a.),240,100.0,0.0016515813019202241,-0.002348418698079776,0.03503850422491106,493.7609056856381,284.5655131101098,CASH
2025-05-30,BUY  |  EMA50 (22040) > EMA200 (21772)  |  price (22802) > EMA50  |  EMA21 > EMA63,318,100.0,0.05080204573289342,0.048802045732893415,0.03575352108043384,517.8574479860235,294.7397321818566,"Solar Industries India Limited, CHOICE INTERNATIONAL LIMITED, PARADEEP PHOSPHATES LTD, Max Financial Services Limited, BHARAT DYNAMICS LIMITED, GARDEN REACH SHIPBUILDERS & ENGINEERS LIMITED, BSE Limited, FORCE MOTORS LIMITED, COROMANDEL INTERNATIONAL LIMITED, ASTER DM HEALTHCARE LIMITED, BHARTI HEXACOM LIMITED, BLUE JET HEALTHCARE LIMITED, Mazagon Dock Shipbuilders Ltd, AUTHUM INVESTMENT & INFRASTRUCTURE LIMITED, ANUPAM RASAYAN INDIA LIMITED, HITACHI ENERGY INDIA LIMITED, BHARAT ELECTRONICS LIMITED, RELIANCE POWER LIMITED, KRISHNA INSTITUTE OF MEDICAL SCIENCES LIMITED, ZEN TECHNOLOGIES LIMITED"
2025-06-30,BUY  |  EMA50 (22672) > EMA200 (22028)  |  price (23617) > EMA50  |  EMA21 > EMA63,345,35.0,-0.03094243680507981,-0.03234243680507981,-0.02973468489067288,501.1086762004957,285.97573912066775,"Max Financial Services Limited, Solar Industries India Limited, NARAYANA HRUDAYALAYA Limited, FORCE MOTORS LIMITED, CHOICE INTERNATIONAL LIMITED, ANUPAM RASAYAN INDIA LIMITED, MULTI COMMODITY EXCHANGE OF INDIA LIMITED, BSE Limited, DEEPAK FERTILISERS AND PETROCHEMICALS CORPORATION LTD, BHARAT ELECTRONICS LIMITED, AUTHUM INVESTMENT & INFRASTRUCTURE LIMITED, J. K. CEMENT LIMITED., RELIANCE POWER LIMITED, PARADEEP PHOSPHATES LTD, ASTER DM HEALTHCARE LIMITED, COROMANDEL INTERNATIONAL LIMITED, LLOYDS METALS AND ENERGY LIMITED, HDFC LIFE INSURANCE COMPANY LIMITED, GARDEN REACH SHIPBUILDERS & ENGINEERS LIMITED, JM FINANCIAL LIMITED"
2025-07-31,NOT BUY  |  price (22915) below EMA50 (23043),332,65.0,-0.0001026273000585276,-0.002702627300058528,-0.01972511395399068,499.75436621190005,280.33483507843584,"GALLANTT ISPAT LIMITED, LAURUS LABS LIMITED, GABRIEL INDIA LIMITED, FORCE MOTORS LIMITED, CHOICE INTERNATIONAL LIMITED, ANUPAM RASAYAN INDIA LIMITED, PARADEEP PHOSPHATES LTD, J. K. CEMENT LIMITED., E.I.D PARRY (INDIA) LIMITED, GE VERNOVA T&D INDIA LIMITED, AUTHUM INVESTMENT & INFRASTRUCTURE LIMITED, ALLIED BLENDERS AND DISTILLERS LIMITED, Fortis Healthcare Limited, SYRMA SGS TECHNOLOGY LIMITED, COROMANDEL INTERNATIONAL LIMITED, THE RAMCO CEMENTS LIMITED, HDFC ASSET MANAGEMENT COMPANY LIMITED, GLENMARK PHARMACEUTICALS LIMITED, Anand Rathi Wealth Ltd, CARTRADE TECH LIMITED"
2025-08-29,NOT BUY  |  price (22463) below EMA50 (22895)  &  EMA21 (22840) < EMA63 (22855),312,30.0,-0.015061450511704044,-0.016261450511704044,0.012070988004692085,491.6276353177372,283.718753509965,"FORCE MOTORS LIMITED, GABRIEL INDIA LIMITED, LAURUS LABS LIMITED, J. K. CEMENT LIMITED., PARADEEP PHOSPHATES LTD, CHOICE INTERNATIONAL LIMITED, AUTHUM INVESTMENT & INFRASTRUCTURE LIMITED, ANUPAM RASAYAN INDIA LIMITED, CARTRADE TECH LIMITED, Fortis Healthcare Limited, L&T Finance Limited, Max Financial Services Limited, ONE 97 COMMUNICATIONS LIMITED, NUVOCO VISTAS CORPORATION LIMITED, Anand Rathi Wealth Ltd, DALMIA BHARAT LIMITED, GE VERNOVA T&D INDIA LIMITED, ADITYA BIRLA CAPITAL LIMITED, ALLIED BLENDERS AND DISTILLERS LIMITED, SYRMA SGS TECHNOLOGY LIMITED"
2025-09-30,NOT BUY  |  price (22734) below EMA50 (22997),341,50.0,0.01637824144356127,0.01437824144356127,0.042944299532420516,498.69637615866276,295.9028566436619,"EICHER MOTORS LIMITED, MARUTI SUZUKI INDIA LIMITED, L&T Finance Limited, GABRIEL INDIA LIMITED, Fortis Healthcare Limited, CHOICE INTERNATIONAL LIMITED, GE VERNOVA T&D INDIA LIMITED, GUJARAT MINERAL DEVELOPMENT CORPORATION LIMITED, AUTHUM INVESTMENT & INFRASTRUCTURE LIMITED, FORCE MOTORS LIMITED, TATA INVESTMENT CORPORATION LIMITED, Anand Rathi Wealth Ltd, Indian Bank, PARADEEP PHOSPHATES LTD, NETWEB TECHNOLOGIES INDIA LIMITED, GALLANTT ISPAT LIMITED, TVS MOTOR COMPANY LIMITED, HYUNDAI MOTOR INDIA LIMITED, MUTHOOT FINANCE LIMITED, CARTRADE TECH LIMITED"
2025-10-31,BUY  |  EMA50 (23328) > EMA200 (22719)  |  price (23710) > EMA50  |  EMA21 > EMA63,388,40.0,-0.02319943291287894,-0.024799432912878942,0.009396720426479543,486.3289888342202,298.68337306093906,"L&T Finance Limited, Indian Bank, ALLIED BLENDERS AND DISTILLERS LIMITED, GABRIEL INDIA LIMITED, EICHER MOTORS LIMITED, RBL BANK LIMITED, ADITYA BIRLA CAPITAL LIMITED, MARUTI SUZUKI INDIA LIMITED, Fortis Healthcare Limited, CUMMINS INDIA LIMITED, CHOICE INTERNATIONAL LIMITED, CARTRADE TECH LIMITED, THE CANARA BANK LIMITED, TVS MOTOR COMPANY LIMITED, Anand Rathi Wealth Ltd, NETWEB TECHNOLOGIES INDIA LIMITED, LAURUS LABS LIMITED, GE VERNOVA T&D INDIA LIMITED, HBL Engineering Limited, GODAWARI POWER AND ISPAT LIMITED"
2025-11-28,BUY  |  EMA50 (23587) > EMA200 (22912)  |  price (23933) > EMA50  |  EMA21 > EMA63,369,50.0,0.019392869328374345,0.017392869328374347,-0.002575919643006408,494.78764538761413,297.913988693232,"L&T Finance Limited, ADITYA BIRLA CAPITAL LIMITED, THE CANARA BANK LIMITED, MUTHOOT FINANCE LIMITED, Indian Bank, LAURUS LABS LIMITED, ALLIED BLENDERS AND DISTILLERS LIMITED, RBL BANK LIMITED, AU SMALL FINANCE BANK LIMITED, State Bank of India, CUMMINS INDIA LIMITED, SHRIRAM FINANCE LIMITED, EICHER MOTORS LIMITED, HERO MOTOCORP LIMITED, MULTI COMMODITY EXCHANGE OF INDIA LIMITED, MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED, CITY UNION BANK LIMITED, THE FEDERAL BANK LTD, CARTRADE TECH LIMITED, GMR AIRPORTS LIMITED"
2025-12-31,BUY  |  EMA50 (23662) > EMA200 (23075)  |  price (23872) > EMA50  |  EMA21 > EMA63,370,45.0,0.015515391566625148,0.013715391566625148,-0.03317966365820402,501.57385168643367,288.02930274931657,"L&T Finance Limited, LAURUS LABS LIMITED, SHRIRAM FINANCE LIMITED, THE CANARA BANK LIMITED, NATIONAL ALUMINIUM CO LTD, THE FEDERAL BANK LTD, ASHOK LEYLAND LIMITED, ADITYA BIRLA CAPITAL LIMITED, AU SMALL FINANCE BANK LIMITED, MUTHOOT FINANCE LIMITED, HINDUSTAN COPPER LTD, MULTI COMMODITY EXCHANGE OF INDIA LIMITED, MARUTI SUZUKI INDIA LIMITED, MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED, CITY UNION BANK LIMITED, JK Tyre & Industries Limited, ANUPAM RASAYAN INDIA LIMITED, VEDANTA LIMITED, IIFL FINANCE LIMITED, FORCE MOTORS LIMITED"
2026-01-30,NOT BUY  |  price (23080) below EMA50 (23441)  &  EMA21 (23243) < EMA63 (23458),347,30.0,0.010781162229303799,0.009581162229303799,0.003784744036915866,506.3795121294182,289.1194199353541,"NATIONAL ALUMINIUM CO LTD, ASHOK LEYLAND LIMITED, SHRIRAM FINANCE LIMITED, State Bank of India, HINDUSTAN COPPER LTD, MULTI COMMODITY EXCHANGE OF INDIA LIMITED, VEDANTA LIMITED, THE FEDERAL BANK LTD, MUTHOOT FINANCE LIMITED, L&T Finance Limited, Indian Bank, HINDALCO INDUSTRIES LIMITED, CITY UNION BANK LIMITED, BANK OF INDIA LIMITED, JK Tyre & Industries Limited, UNION BANK OF INDIA LIMITED, THE KARUR VYSYA BANK LIMITED, ADITYA BIRLA CAPITAL LIMITED, THE CANARA BANK LIMITED, AU SMALL FINANCE BANK LIMITED"
2026-02-27,NOT BUY  |  price (23167) below EMA50 (23443)  &  EMA21 (23401) < EMA63 (23452),335,40.0,-0.13176185291895046,-0.13336185291895045,-0.11390413457159687,438.84780211164485,256.18752261977545,"ASHOK LEYLAND LIMITED, State Bank of India, SHRIRAM FINANCE LIMITED, BHARAT FORGE LTD, NATIONAL ALUMINIUM CO LTD, THE KARUR VYSYA BANK LIMITED, THE FEDERAL BANK LTD, UNION BANK OF INDIA LIMITED, INDIAN OIL CORPORATION LIMITED, EICHER MOTORS LIMITED, VEDANTA LIMITED, APL Apollo Tubes Limited, Indian Bank, BANK OF INDIA LIMITED, GE VERNOVA T&D INDIA LIMITED, MULTI COMMODITY EXCHANGE OF INDIA LIMITED, THE GREAT EASTERN SHIPPING COMPANY LIMITED, THE CANARA BANK LIMITED, CUMMINS INDIA LIMITED, THE BANK OF MAHARASHTRA LIMITED"
2026-03-31,CASH  |  Death Cross: EMA50 (22329) < EMA200 (22886)  |  EXIT ALL -> LIQUID FUNDS (~2% p.a.),226,100.0,0.0016515813019202241,-0.0003484186980797759,0.11405613294979311,438.69489933177795,285.40728075977466,CASH
