Date,Equity,Nifty,Net_Return,Nifty_Return,Holdings,Cash_Wt,Regime_Score
2020-04-10,2002242.3679656426,2046427.8755383552,0.00112118398282135,0.023213937769177573,0,1.0,0.12616233766233764
2020-04-17,2004487.250038332,2013921.6437214867,0.00112118398282135,-0.015884376969951597,0,1.0,0.14575082997499517
2020-04-24,2006734.6490368447,2153527.779457513,0.00112118398282135,0.06932053993821263,0,1.0,0.13128571428571428
2020-05-01,2008984.5677831175,2029657.4012483791,0.00112118398282135,-0.057519749404085885,0,1.0,0.35371576266020877
2020-05-08,2011237.0091022511,2016770.474289976,0.00112118398282135,-0.006349311440677963,0,1.0,0.15547418012977884
2020-05-15,2013491.9758225142,1993106.367539457,0.00112118398282135,-0.0117336638215364,0,1.0,0.15732719380977395
2020-05-22,2015749.4707753456,2102329.456504942,0.00112118398282135,0.05480043149946057,0,1.0,0.16404546759388688
2020-05-29,2018009.4967953595,2230513.3942069304,0.00112118398282135,0.06097233585600348,0,1.0,0.3570323722548576
2020-06-05,2039569.260920694,2202844.7992044776,0.010683678228260048,-0.012404585901305665,14,0.4738655538837153,0.46416666666666667
2020-06-12,2130848.49318575,2258477.622570263,0.044754171390017465,0.025254989995607824,13,0.5024237926621462,0.43714787207307026
2020-06-19,2158926.7910386403,2300296.305254883,0.013177050335902418,0.018516314824951863,14,0.5954163777698822,0.4643163265306122
2020-06-26,2136184.1482864576,2337183.285964806,-0.010534235272165527,0.016035751840168144,14,0.5026878401383841,0.4717558139534883
2020-07-03,2136162.4107325324,2368816.055579072,-1.0175880175102795e-05,0.013534569498347082,14,0.34209809976080474,0.4749999999999999
2020-07-10,2146159.1525409613,2390679.4864042243,0.004679766743485017,0.00922968703021887,14,0.3478614755233347,0.4763877005347594
2020-07-17,2223695.5015875683,2441918.122996916,0.0361279586161201,0.02143266668915067,14,0.3683605537585346,0.4730195530726257
2020-07-24,2241910.272569821,2428426.4914367106,0.008191216364492545,-0.005525013895079867,15,0.32697156614688994,0.5228127307629096
2020-07-31,2333772.038347366,2472207.104607177,0.040974773567653326,0.018028387239576116,16,0.22831441570031552,0.569819253004482
2020-08-07,2340029.542977679,2476440.036819791,0.0026812835733281666,0.0017122077696183347,17,0.22139098524701217,0.6222241038766078
2020-08-14,2381124.0839697253,2532650.6890272987,0.017561547936592897,0.022698168084736903,18,0.1824995046782285,0.6649641392811144
2020-08-21,2399090.127600795,2591105.4672014937,0.007545194201352637,0.023080473919064426,19,0.214075733456348,0.7187999916369422
2020-08-28,2418454.7339442247,2520395.342430778,0.008071646046409591,-0.02728955870989136,20,0.13521124221348158,0.7531629213483146
2020-09-04,2454250.1446198113,2538791.800205599,0.014800943004299414,0.007299036569826001,18,0.1593696467412542,0.680683411648661
2020-09-11,2603008.7395990575,2569188.2848561807,0.06061264590545261,0.011972815040650397,18,0.19985100487278917,0.6826183738324622
2020-09-18,2512561.3198286677,2460771.4686930985,-0.034747259352007176,-0.04219885977300064,19,0.13728424549658902,0.7023969134385202
2020-09-25,2593571.319489211,2542903.7914978527,0.032241999039477005,0.0333766559998252,16,0.2138370945388992,0.5462988928698771
