Aditya Birla Sun Life Nifty Midcap 150 Index Fund - Direct - Payout of IDCW;INF209KB1W82
Aditya Birla Sun Life Nifty Midcap 150 Index Fund - Direct - Payout of IDCW;INF209KB1W90
Aditya Birla Sun Life Nifty Midcap 150 Index Fund-Direct Growth;INF209KB1W74
Axis Nifty Midcap 50 Index Fund - Direct Plan - Growth Option;INF846K019H0
Axis Nifty Midcap 50 Index Fund - Direct Plan - IDCW Option;INF846K010I7
Axis Nifty Midcap 50 Index Fund - Direct Plan - IDCW Option;INF846K011I5
Bandhan Nifty Midcap 150 Index Fund-Direct Plan-Growth;INF194KB1IT0
Baroda BNP Paribas Nifty Midcap 150 Index Fund - Direct Plan - Growth Option;INF251K01UA7
DSP Nifty Midcap 150 Index Fund - Direct - Growth;INF740KA1XB7
DSP Nifty Midcap 150 Index Fund - Direct - IDCW;INF740KA1XC5
DSP Nifty Midcap 150 Index Fund - Direct - IDCW;INF740KA1XD3
DSP Nifty Midcap 150 Quality 50 Index Fund - Direct - Growth;INF740KA1RB9
DSP Nifty Midcap 150 Quality 50 Index Fund - Direct - IDCW;INF740KA1RC7
DSP Nifty Midcap 150 Quality 50 Index Fund - Direct - IDCW;INF740KA1RD5
Edelweiss NIFTY Large Midcap 250 Index Fund - Direct Plan Growth;INF754K01NR9
Edelweiss NIFTY Large Midcap 250 Index Fund - Direct Plan Payout;INF754K01NS7
Edelweiss NIFTY Large Midcap 250 Index Fund - Direct Plan Payout;INF754K01NT5
Edelweiss Nifty LargeMidcap 250 Plus 8-13 yr G-Sec 70-30 Index Fund Direct Plan Growth;INF754K01WR0
Edelweiss Nifty LargeMidcap250 Plus 8-13 yr G-Sec 70-30 Index Fund - Direct Plan - Quarterly IDCW;INF754K01WZ3
Edelweiss Nifty LargeMidcap250 Plus 8-13 yr G-Sec 70-30 Index Fund - Direct Plan - Quarterly IDCW;INF754K01XA4
Edelweiss Nifty LargeMidcap250 Plus 8-13 yr G-Sec 70-30 Index Fund Direct Plan Monthly IDCW;INF754K01WS8
Edelweiss Nifty LargeMidcap250 Plus 8-13 yr G-Sec 70-30 Index Fund Direct Plan Monthly IDCW;INF754K01WT6
Edelweiss Nifty Midcap150 Momentum 50 Index Fund - Direct Plan - Growth;INF754K01QD2
Edelweiss Nifty Midcap150 Momentum 50 Index Fund - Direct Plan - IDCW;INF754K01QE0
Edelweiss Nifty Midcap150 Momentum 50 Index Fund - Direct Plan - IDCW;INF754K01QF7
Groww Nifty Midcap 150 Index Fund Direct Growth;INF666M01MP7
Groww Nifty Midcap 150 Index fund Direct IDCW;INF666M01MQ5
Groww Nifty Midcap 150 Index fund Direct IDCW;INF666M01MR3
HDFC NIFTY LargeMidcap 250 Index Fund - Growth Option - Direct;INF179KC1IQ4
HDFC NIFTY Midcap 150 Index Fund - Growth Option - Direct Plan;INF179KC1GC8
ICICI Prudential Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth;INF109KC12U0
ICICI Prudential Nifty LargeMidcap 250 Index Fund - Direct Plan - IDCW;INF109KC13U8
ICICI Prudential Nifty LargeMidcap 250 Index Fund - Direct Plan - IDCW;INF109KC14U6
ICICI Prudential Nifty Midcap 150 Index Fund - Direct Plan - Growth;INF109KC1W58
ICICI Prudential Nifty Midcap 150 Index Fund - Direct Plan - IDCW;INF109KC1W66
ICICI Prudential Nifty Midcap 150 Index Fund - Direct Plan - IDCW;INF109KC1W74
JioBlackRock Nifty Midcap 150 Index Fund - Direct Plan - Growth Option;INF22M001077
KOTAK NIFTY MIDCAP 150 INDEX FUND-DIRECT PLAN-GROWTH;INF174KA1VQ4
KOTAK NIFTY MIDCAP 150 INDEX FUND-DIRECT PLAN-IDCW-PAYOUT AND REINVESTMENT;INF174KA1VR2
KOTAK NIFTY MIDCAP 150 INDEX FUND-DIRECT PLAN-IDCW-PAYOUT AND REINVESTMENT;INF174KA1VS0
Kotak Nifty Midcap 150 Momentum 50 Index Fund-Direct Plan-Growth;INF174KA1TM7
Kotak Nifty Midcap 150 Momentum 50 Index Fund-Direct Plan-IDCW option;INF174KA1TN5
Kotak Nifty Midcap 150 Momentum 50 Index Fund-Direct Plan-IDCW option;INF174KA1TO3
KOTAK NIFTY MIDCAP 50 INDEX FUND-DIRECT PLAN- GROWTH;INF174KA1SR8
KOTAK NIFTY MIDCAP 50 INDEX FUND-DIRECT PLAN-IDCW PAYOUT AND REINVESTMENT;INF174KA1SS6
KOTAK NIFTY MIDCAP 50 INDEX FUND-DIRECT PLAN-IDCW PAYOUT AND REINVESTMENT;INF174KA1ST4
Mirae Asset Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth;INF769K01MJ6
Mirae Asset Nifty LargeMidcap 250 Index Fund - Direct Plan - IDCW;INF769K01ML2
Mirae Asset Nifty LargeMidcap 250 Index Fund - Direct Plan - IDCW;INF769K01MK4
Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan;INF247L01916
Navi Nifty Midcap 150 Index Fund Direct Plan- Growth;INF959L01FX6
Nippon India Nifty Midcap 150 Index Fund - Direct Plan - Growth Option;INF204KB18Z7
NIPPON INDIA NIFTY MIDCAP 150 INDEX FUND - DIRECT Plan - IDCW Option;INF204KB19Z5
NIPPON INDIA NIFTY MIDCAP 150 INDEX FUND - DIRECT Plan - IDCW Option;INF204KC1014
SBI Nifty Midcap 150 Index Fund - Direct Plan - Growth;INF200KA10P5
SBI Nifty Midcap 150 Index Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW);INF200KA11P3
SBI Nifty Midcap 150 Index Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW);INF200KA12P1
Tata Nifty Midcap 150 Index Fund - Direct Plan - Growth Option;INF277KA1DZ9
Tata Nifty Midcap 150 Index Fund - Direct Plan - IDCW Payout Option;INF277KA1EB8
Tata Nifty Midcap 150 Index Fund - Direct Plan - IDCW Reinvestment Option;INF277KA1EA0
Tata Nifty Midcap 150 Momentum 50 Index Fund - Growth - Direct Plan;INF277KA1612
Tata Nifty Midcap 150 Momentum 50 Index Fund - IDCW Payout - Direct Plan;INF277KA1638
Tata Nifty Midcap 150 Momentum 50 Index Fund - IDCW Reinvestment - Direct Plan;INF277KA1620
UTI Nifty Midcap 150 Index Fund - Direct Plan - Growth Option;INF789F1AZO5
UTI Nifty Midcap 150 Quality 50 Index Fund - Direct Plan - Growth Option;INF789F1AVH8
Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option;INF0R8F01026
Zerodha Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option;INF0R8F01018
BANK OF INDIA Midcap Tax Fund Series 2 Direct Plan Growth;INF761K01EL6
BANK OF INDIA Midcap Tax Fund Series 2 Direct Plan IDCW;INF761K01EK8
