state,mean,std,count,mean_annlzd_%,std_annlzd_%
Bull,0.011549844408501321,0.03868959902829963,60,13.86,13.4
Bear,0.048901113406504826,0.05001984195224733,12,58.68,17.33
Correction,-0.00912643035321865,0.06427898521054921,30,-10.95,22.27
Rebound,0.022153025426287738,0.0364672841968007,6,26.58,12.63
