w1,w3,w6,label,CAGR,MaxDD,Vol,Sharpe,Buys,WinRate,CAGR_H1,CAGR_H2,Sharpe_H1,Sharpe_H2
,,,BASELINE,0.10710377080050204,-0.21465649855369948,0.1253212109803327,0.8546340237432783,179,0.4885057471264368,0.0693571375092219,0.14613925241320014,0.6954026138532459,0.9974762305331046
0.0,1.0,0.0,"(0,1,0)",0.11663711746424554,-0.1736610349027487,0.11987016067928688,0.9730287905119994,130,0.536,0.0881397012297982,0.14584841009015093,0.875373083318783,1.0692754560548867
0.0,1.0,0.5,"(0,1,0.5)",0.1119599721103377,-0.17062346701226985,0.11093725078298068,1.0092189171819095,126,0.5371900826446281,0.11252699288555301,0.11139386090592174,1.1133952214432328,0.9279875354959992
0.0,1.0,1.0,"(0,1,1)",0.11912076215478784,-0.1215271621784432,0.10851263182681622,1.0977594050515884,122,0.4915254237288136,0.09931042000825685,0.13926581379687097,1.005497126529947,1.1854519646275234
0.0,1.0,1.5,"(0,1,1.5)",0.14271598774570626,-0.1451042834928454,0.11395640728581967,1.2523735272537442,119,0.5478260869565217,0.12822669724702984,0.15737518100884462,1.1045568189432804,1.4073641585649646
0.0,1.0,2.0,"(0,1,2)",0.13670306963879542,-0.11572320680980124,0.11527376905741284,1.1858991924755196,126,0.5371900826446281,0.12642505770459533,0.1470634510669644,1.0331230135333787,1.3648070653892128
0.5,1.0,0.0,"(0.5,1,0)",0.12631220816795885,-0.1750414155968822,0.10921916285857523,1.1565022553003534,123,0.5677966101694916,0.12562780351701908,0.12699627864561513,1.2621881267746786,1.0748428620662391
0.5,1.0,0.5,"(0.5,1,0.5)",0.12127088176169543,-0.18148055688452766,0.11108439450615293,1.0917004346184582,122,0.5384615384615384,0.10677514797194076,0.1359402803576566,1.0083090723713666,1.1711261177643477
0.5,1.0,1.0,"(0.5,1,1)",0.10220414918652132,-0.17108447144659714,0.11379804695219944,0.8981186577784757,127,0.4672131147540984,0.07628026564860413,0.12872302463588237,0.7036147241492522,1.0820372846047095
0.5,1.0,1.5,"(0.5,1,1.5)",0.11027484370249385,-0.16697113407501407,0.111149123968282,0.9921341686324254,127,0.45901639344262296,0.07148082120136112,0.15042862627354103,0.6594124040740507,1.3215114291065226
