Ticker,EntryDate,ExitDate,EntryPrice,ExitPrice,PnL
NETWEB,2024-10-16,2024-10-17,4027.5,3889.5,-6762.0
GVT&D,2024-10-16,2024-10-22,3012.4,2917.9,-6237.0
GMDCLTD,2024-10-16,2024-10-23,606.55,567.1,-12979.049999999977
SILVERBEES,2024-10-16,2024-10-24,153.92,148.82,-6624.899999999992
HBLENGINE,2024-10-16,2024-11-07,882.5,577.05,-69031.70000000001
