YEAR,ANNUAL EXPENSE,MONTHLY EXPENSE,AMT TO WDRAW FROM DEBT,AMT TO WDRAW FROM EQTY,DEBT PF YEAR END,EQUITY PF YEAR END,TOTAL CORPUS REMAINING
1,1200000.0,100000.0,480000.0,720000.0,9520000.0,24280000.0,33800000.0
2,1272000.0,106000.0,508800.0,763200.0,9011200.0,23516800.0,32528000.0
3,1348320.0,112360.0,539328.0,808992.0,8471872.0,22707808.0,31179680.0
4,1429219.2,119101.6,571687.68,857531.52,7900184.32,21850276.48,29750460.8
5,1514972.35,126247.7,605988.94,908983.41,7294195.38,20941293.07,28235488.45
6,1605870.69,133822.56,642348.28,963522.41,6651847.1,19977770.66,26629617.759999998
7,1702222.93,141851.91,680889.17,1021333.76,5970957.93,18956436.9,24927394.83
8,1804356.31,150363.03,721742.52,1082613.79,5249215.41,17873823.11,23123038.52
9,1912617.69,159384.81,765047.08,1147570.61,4484168.33,16726252.5,21210420.83
10,2027374.75,168947.9,810949.9,1216424.85,3673218.43,15509827.65,19183046.080000002
11,2149017.24,179084.77,859606.9,1289410.34,2813611.53,14220417.31,17034028.84
12,2277958.27,189829.86,911183.31,1366774.96,1902428.22,12853642.35,14756070.57
13,2414635.77,201219.65,965854.31,1448781.46,936573.91,11404860.89,12341434.8
14,2559513.91,213292.83,1023805.56,1535708.35,-87231.65,9869152.54,9781920.889999999
15,2713084.75,226090.4,1085233.9,1627850.85,-1172465.55,8241301.69,7068836.140000001
16,2875869.83,239655.82,1150347.93,1725521.9,-2322813.48,6515779.79,4192966.31
17,3048422.02,254035.17,1219368.81,1829053.21,-3542182.29,4686726.58,1144544.29
18,3231327.34,269277.28,1292530.94,1938796.4,-4834713.23,2747930.18,0.0
19,3425206.98,285433.91,1370082.79,2055124.19,0.0,0.0,0.0
20,3630719.4,302559.95,1452287.76,2178431.64,0.0,0.0,0.0
21,3848562.57,320713.55,1539425.03,2309137.54,0.0,0.0,0.0
22,4079476.32,339956.36,1631790.53,2447685.79,0.0,0.0,0.0
23,4324244.9,360353.74,1729697.96,2594546.94,0.0,0.0,0.0
24,4583699.59,381974.97,1833479.84,2750219.75,0.0,0.0,0.0
25,4858721.57,404893.46,1943488.63,2915232.94,0.0,0.0,0.0
26,5150244.86,429187.07,2060097.94,3090146.92,0.0,0.0,0.0
27,5459259.56,454938.3,2183703.82,3275555.74,0.0,0.0,0.0
28,5786815.13,482234.59,2314726.05,3472089.08,0.0,0.0,0.0
29,6134024.04,511168.67,2453609.62,3680414.42,0.0,0.0,0.0
30,6502065.48,541838.79,2600826.19,3901239.29,0.0,0.0,0.0
31,6892189.41,574349.12,2756875.76,4135313.65,0.0,0.0,0.0
32,7305720.77,608810.06,2922288.31,4383432.46,0.0,0.0,0.0
33,7744064.02,645338.67,3097625.61,4646438.41,0.0,0.0,0.0
34,8208707.86,684058.99,3283483.14,4925224.72,0.0,0.0,0.0
35,8701230.33,725102.53,3480492.13,5220738.2,0.0,0.0,0.0
36,9223304.15,768608.68,3689321.66,5533982.49,0.0,0.0,0.0
37,9776702.4,814725.2,3910680.96,5866021.44,0.0,0.0,0.0
38,10363304.54,863608.71,4145321.82,6217982.72,0.0,0.0,0.0
39,10985102.82,915425.24,4394041.13,6591061.69,0.0,0.0,0.0
40,11644208.99,970350.75,4657683.6,6986525.39,0.0,0.0,0.0
41,12342861.52,1028571.79,4937144.61,7405716.91,0.0,0.0,0.0
42,13083433.22,1090286.1,5233373.29,7850059.93,0.0,0.0,0.0
43,13868439.21,1155703.27,5547375.68,8321063.53,0.0,0.0,0.0
44,14700545.56,1225045.46,5880218.22,8820327.34,0.0,0.0,0.0
45,15582578.3,1298548.19,6233031.32,9349546.98,0.0,0.0,0.0
46,16517532.99,1376461.08,6607013.2,9910519.79,0.0,0.0,0.0
47,17508584.97,1459048.75,7003433.99,10505150.98,0.0,0.0,0.0
48,18559100.07,1546591.67,7423640.03,11135460.04,0.0,0.0,0.0
49,19672646.08,1639387.17,7869058.43,11803587.65,0.0,0.0,0.0
50,20853004.84,1737750.4,8341201.94,12511802.9,0.0,0.0,0.0
