,Z Equal Weight,Z Weighted v1 (PRIMARY),Z Weighted v2 (Trend+Vol),NIFTY500 Buy & Hold
2016-09-30,0.0,0.0,0.0,0.0
2016-10-31,0.0,0.0,0.0,0.013421502802626106
2016-11-30,0.0,0.0,0.0,-0.055336865000467084
2016-12-30,0.0,0.0,0.0,-0.013645224171539905
2017-01-31,0.0,0.0,0.0,0.05678237956120746
2017-02-28,0.0,0.0,0.0,0.04469258601764392
2017-03-31,0.0,0.0,0.0,0.037092527013529386
2017-04-28,0.0,0.0,0.0,0.02742321811620929
2017-05-31,0.0,0.0,0.0,0.016635623242394537
2017-06-30,0.0,0.0,0.0,-0.0023171016471180694
2017-07-31,0.0,0.0,0.0,0.0554155264294971
2017-08-31,0.0,0.0,0.0,-0.011184651950917002
2017-09-29,0.0,0.0,0.0,-0.010920131800642996
2017-10-31,0.21660425122723778,0.21892588230440083,0.21660425122723784,0.06437209302325586
2017-11-30,0.03906332660249696,0.011439528415379091,0.03894187003872485,9.832197168324619e-05
2017-12-29,0.05269266801024257,0.05269266801024257,0.05269266801024257,0.03671964607570044
2018-01-31,0.02385301999802576,0.02385301999802576,0.02385301999802576,0.02183728195645185
2018-02-28,-0.02812902091485094,-0.02812902091485094,-0.020165749125207993,-0.044958186823951585
2018-03-30,-0.05231271984808489,-0.0523127198480849,-0.05231271984808489,-0.037767628672302545
2018-04-30,0.13234956176372084,0.1344745863719486,0.13234956176372084,0.06557377049180313
2018-05-31,-0.018345794284304433,-0.02501709420342905,-0.01107218510119815,-0.019075448849576127
2018-06-29,-0.05447686549189438,-0.0626764770307441,-0.05380373766762957,-0.01641376867213784
2018-07-31,0.07471674314833988,0.07471674314833988,0.07212856302550888,0.05327723480073554
2018-08-31,0.10753500968514462,0.10753500968514462,0.09755475208404618,0.03537603879551532
2018-09-28,-0.17798322391210192,-0.18030137098158133,-0.16248946550625085,-0.08767013610888708
2018-10-31,0.012721030582949266,0.016480852065537076,0.05277688610538254,-0.03977073277753396
2018-11-30,-0.04611602007782351,-0.04611602007782351,-0.04690830867086236,0.04063540661110743
2018-12-31,-0.003986782369653097,-0.013519601663455704,-0.0029510437473643956,0.006680096386600276
2019-01-31,-0.08184592184475244,-0.07911921345439372,-0.07504580875047032,-0.018118865866957434
2019-02-28,-0.011737029207984218,-0.010736168193332563,-0.008011180027255338,-0.005319946467344461
2019-03-29,0.10683389145703433,0.10683389145703429,0.09019335945868517,0.07902567566813135
2019-04-30,-0.0002619349506606805,-0.011160745132598382,-0.0030952660130891376,6.20880201163132e-05
2019-05-31,0.05557139735969435,0.05843717872647909,0.05675595332956944,0.014563910474633346
2019-06-28,0.002310103731747859,0.00044668897188022695,-0.023624618495462286,-0.015002473215332768
2019-07-31,-0.08153240875659946,-0.07344888160789823,-0.09352179682197616,-0.06347102646006653
2019-08-30,-0.04537181538407535,-0.04869270204939657,-0.04537181538407535,-0.0074516719274292376
2019-09-30,0.08045276545783989,0.08511746501795778,0.08511746501795778,0.040473180322025515
2019-10-31,0.048198105176598297,0.05194235690919702,0.05982162932534352,0.037335802759905334
2019-11-29,0.03944683703626349,0.03582120529731291,0.04356885759668751,0.012797159856135165
2019-12-31,0.018851697193521633,0.008810639149065585,0.018851697193521633,0.006001844369831755
2020-01-31,0.07222126530697798,0.06628666047213584,0.07030309657589133,-0.001124329580503347
2020-02-28,-0.05812153690135924,-0.06707921130018266,-0.058121536901359225,-0.06341866561205511
2020-03-31,-0.1287230907795278,-0.14820351406516977,-0.12839126261814315,-0.2424521305103372
2020-04-30,0.22832256343698418,0.21793985068347319,0.2276878763567698,0.14523171472469354
2020-05-29,0.017538463762289867,0.01747405693622962,0.02456391990025509,-0.023774164160291544
2020-06-30,0.11197723301812082,0.11674896097579295,0.12702425168288592,0.08340151360196346
2020-07-31,0.04196118764402597,0.04196118764402597,0.05627543556342276,0.06619035257469208
2020-08-31,0.1401695095515519,0.14016950955155189,0.1401695095515519,0.03721882522203468
2020-09-30,0.10923609294857455,0.12228388311796601,0.10923609294857455,-0.0032330173227841374
2020-10-30,0.10653547503381022,0.10944943856791425,0.10653547503381022,0.025680413198811758
2020-11-30,0.16557315120271884,0.14706805036837106,0.16557315120271884,0.11870606837027031
2020-12-31,0.0750714440561687,0.10130670249528753,0.0750714440561687,0.07456351075888246
2021-01-29,0.0482233408470692,0.048568756052706955,0.04856875605270695,-0.01874408549872808
2021-02-26,0.22946988207728972,0.22946988207728972,0.22391160949091535,0.0777710928652322
2021-03-31,-0.007823041959770165,-0.007823041959770165,-0.012788831192225542,0.010860820595333998
2021-04-30,0.06866419201418125,0.06866419201418125,0.06866419201418125,0.0041133046931465245
2021-05-31,0.11915934178891766,0.12752050432132042,0.11915934178891766,0.06971656415420147
2021-06-30,-0.005476778116963626,0.01559720076529309,-0.010131954741741084,0.01868996359539854
2021-07-30,0.07109206805049337,0.06016039299416072,0.07109206805049337,0.014153656608688836
2021-08-31,-0.038746323264404595,-0.04956836379100883,-0.052447204946632665,0.06525422178312024
2021-09-30,0.07574486024345821,0.07574486024345821,0.07574486024345821,0.0341270550086219
2021-10-29,0.041539723126620846,0.045505856321460966,0.0482348044360059,0.0022753468658343046
2021-11-30,0.13436906217709205,0.13436906217709202,0.09438411457853567,-0.02906826452087563
2021-12-31,0.16956687760845301,0.169566877608453,0.17597419373536632,0.0237467018469657
2022-01-31,0.02379322392891815,0.02898657352944849,0.02379322392891815,-0.004984596097678096
